,ltable_ABV,ltable_Beer_Name,ltable_Brew_Factory_Name,ltable_Style,rtable_ABV,rtable_Beer_Name,rtable_Brew_Factory_Name,rtable_Style,outcome
0,5.60 %,Brewmaster 's Reserve Imperial Red Ale,Rock Bottom Restaurant & Brewery,American Amber / Red Ale,5.40 %,Rock Bottom La Jolla Ragtop Red Ale,Rock Bottom La Jolla,Amber Ale,0
1,5.60 %,Rock Bottom Red Ale,Rock Bottom Restaurant & Brewery,American Amber / Red Ale,5.40 %,Salty Nut Bee Transfixed Honey Amber Ale,Rock Bottom La Jolla,Amber Ale,0
2,5.60 %,Rock Bottom Red Ale,Central City Brewers + Distillers,American Amber / Red Ale,5.40 %,Rock Bottom La Jolla Ragtop Red Ale,Rock Bottom La Jolla,Amber Ale,0
3,5.60 %,Rock Bottom Red Ale,Rock Bottom Restaurant & Brewery,American Amber / Red Ale,5.40 %,Rock Bottom La Jolla Ragtop Red Ale,Blue Cat Brew Pub,Amber Ale,0
4,5.60 %,Rock Bottom Red Ale,Great Storm Brewing Co. .,American Amber / Red Ale,5.40 %,Rock Bottom La Jolla Ragtop Red Ale,Rock Bottom La Jolla,Amber Ale,0
5,5.60 %,Batch 200 _ `` Olympus Mons Imperial Red Ale,Rock Bottom Restaurant & Brewery,American Amber / Red Ale,5.40 %,Rock Bottom La Jolla Ragtop Red Ale,Rock Bottom La Jolla,Amber Ale,0
6,5.60 %,Rock Bottom Red Ale,Howe Sound Inn & Brewing Company,American Amber / Red Ale,5.40 %,Rock Bottom La Jolla Ragtop Red Ale,Rock Bottom La Jolla,Amber Ale,0
7,5.60 %,Rock Bottom Red Ale,Rock Bottom Restaurant & Brewery,American Amber / Red Ale,5.40 %,Good People Stepchild Belgian India Red Ale,Rock Bottom La Jolla,Amber Ale,0
8,5.60 %,Rock Bottom Red Ale,Rock Bottom Restaurant & Brewery,American Amber / Red Ale,5.40 %,Rock Bottom La Jolla Ragtop Red Ale,Brannon_s Pub and Brewery,Amber Ale,0
9,5.60 %,Rock Bottom Red Ale,Rock Bottom Restaurant & Brewery,American Amber / Red Ale,5.40 %,Bainbridge Island Arrow Point Amber,Rock Bottom La Jolla,Amber Ale,0
