,ltable_name,ltable_addr,ltable_city,ltable_phone,ltable_res_type,ltable_class,rtable_name,rtable_addr,rtable_city,rtable_phone,rtable_res_type,rtable_class,outcome
0,` border grill ',' 4th st. ',` los angeles ',310/451 -1655,mexican,116.0,` jackson diner ',' 37-03 74th st. ',queens,718-672-1232,indian,7.0,1
1,` border grill ',' 4th st. ',` los angeles ',310/451 -1655,mexican,116.0,` jackson diner ',' 37-03 74th st. ',queens,718-672-1232,chinese,616.0,1
2,` border grill ',' 4th st. ',` las vegas ',310/451 -1655,mexican,116.0,` jackson diner ',' 37-03 74th st. ',queens,718-672-1232,indian,662.0,1
3,` border grill ',' 4th st. ',` los angeles ',310/451 -1655,mexican,116.0,` jackson diner ',' 37-03 74th st. ',queens,718-672-1232,indian,82.0,1
4,` border grill ',' 4th st. ',` las vegas ',310/451 -1655,mexican,116.0,` jackson diner ',' 37-03 74th st. ',queens,718-672-1232,indian,5.0,1
5,` border grill ',' 4th st. ',` los angeles ',818/585 -0855,mexican,116.0,` jackson diner ',' 37-03 74th st. ',queens,718-672-1232,indian,623.0,1
6,` border grill ',' 4th st. ',` los angeles ',310/451 -1655,mexican,84.0,` jackson diner ',' 37-03 74th st. ',venice,718-672-1232,indian,616.0,1
7,` border grill ',' 4th st. ',` los angeles ',310/451 -1655,mexican,118.0,` jackson diner ',' 37-03 74th st. ',` w. hollywood ',718-672-1232,indian,616.0,1
8,` border grill ',' 4th st. ',` los angeles ',310/451 -1655,mexican,116.0,nava,'13 w. 54th st. ',queens,718-672-1232,indian,616.0,1
9,` dining room ritz-carlton buckhead ',' 4th st. ',` los angeles ',310/451 -1655,mexican,116.0,` jackson diner ',' 37-03 74th st. ',queens,718-672-1232,indian,71.0,1
