,ltable_Beer_Name,ltable_Brew_Factory_Name,ltable_Style,ltable_ABV,rtable_Beer_Name,rtable_Brew_Factory_Name,rtable_Style,rtable_ABV,outcome
0,Real McCoy Amber Ale,Three Heads Brewing,American Amber / Red Ale,9.20 %,Pizza Port Rhino Chaser Imperial Red Ale,Marble Brewery,Premium Bitter/ESB,9.50 %,0
1,Buffalo Soul Jah Imperial Red Ale,Red Rock Brewing Company,American Amber / Red Ale,9.20 %,Kern River Dirty Hippie Imperial Red Ale,Bainbridge Island Brewing Company,American Strong Ale,9.50 %,1
2,Inception Series - Runnin ' With The Devil,Three Heads Brewing,American Amber / Red Ale,9.20 %,Pizza Port Rhino Chaser Imperial Red Ale,Bristol Brewing Company,American Strong Ale,9.50 %,0
3,Buffalo Soul Jah Imperial Red Ale,The Pike Brewing Company,American Amber / Red Ale,9.20 %,Big Time Lift Ticket American Red Ale,Good People Brewing Company,American Strong Ale,9.50 %,0
4,Buffalo Soul Jah Imperial Red Ale,Capitol City Brewing,American Amber / Red Ale,9.20 %,Marble Imperial Red Ale,Riverbend Brewing & Sports Pub,American Strong Ale,9.50 %,0
5,Buffalo Soul Jah Imperial Red Ale,Three Heads Brewing,American Amber / Red Ale,9.20 %,Kern River Dirty Hippie Imperial Red Ale,Bainbridge Island Brewing Company,American Strong Ale,9.50 %,0
6,Red Rock Opie Red Ale,Central City Brewers + Distillers,American Amber / Red Ale,9.20 %,Pizza Port Rhino Chaser Imperial Red Ale,Pizza Port &#40; Ocean Beach &#41;,American Strong Ale,9.50 %,0
7,Inception Series - Runnin ' With The Devil,Three Heads Brewing,American Amber / Red Ale,9.20 %,Pizza Port Rhino Chaser Imperial Red Ale,Pizza Port &#40; Ocean Beach &#41;,American Strong Ale,4.60 %,0
8,Buffalo Soul Jah Imperial Red Ale,Three Heads Brewing,American Barleywine,9.20 %,Mammoth Real McCoy Amber Ale,Pizza Port &#40; Ocean Beach &#41;,American Strong Ale,9.50 %,0
9,Arrow Point Amber,Central City Brewers + Distillers,American Barleywine,9.20 %,Pizza Port Rhino Chaser Imperial Red Ale,Pizza Port &#40; Ocean Beach &#41;,American Strong Ale,9.50 %,0
