,ltable_Beer_Name,ltable_Brew_Factory_Name,ltable_Style,ltable_ABV,rtable_Beer_Name,rtable_Brew_Factory_Name,rtable_Style,rtable_ABV,alteredAttributes,droppedValues,copiedValues,nomatch_score,match_score,attr_count
0,Hop Lab - Imperial Red,Three Heads Brewing,American Amber / Red Ale,9.20 %,Pizza Port Rhino Chaser Imperial Red Ale,Pizza Port &#40; Ocean Beach &#41;,American Strong Ale,9.50 %,"('ltable_Beer_Name',)",['Buffalo Soul Jah Imperial Red Ale'],['Hop Lab - Imperial Red'],0.4166048,0.5833952,2
1,Hop Lab - Imperial Red,Three Heads Brewing,American Amber / Red Ale,9.20 %,Pizza Port Rhino Chaser Imperial Red Ale,Pizza Port &#40; Ocean Beach &#41;,American Strong Ale,9.50 %,"('ltable_Beer_Name', 'ltable_Style')","['Buffalo Soul Jah Imperial Red Ale', 'American Amber / Red Ale']","['Hop Lab - Imperial Red', 'American Amber / Red Ale']",0.4166048,0.5833952,2
2,Hop Lab - Imperial Red,Three Heads Brewing,American Amber / Red Ale,9.20 %,Pizza Port Rhino Chaser Imperial Red Ale,Pizza Port &#40; Ocean Beach &#41;,American Strong Ale,9.50 %,"('ltable_Beer_Name', 'ltable_ABV')","['Buffalo Soul Jah Imperial Red Ale', '9.20 %']","['Hop Lab - Imperial Red', '9.20 %']",0.4166048,0.5833952,2
22,Buffalo Soul Jah Imperial Red Ale,Three Heads Brewing,American Amber / Red Ale,9.20 %,Gotlands Sleepy Bulldog Creamy Amber Ale,Pizza Port &#40; Ocean Beach &#41;,Cream Ale,9.50 %,"('rtable_Beer_Name', 'rtable_Style')","['Pizza Port Rhino Chaser Imperial Red Ale', 'American Strong Ale']","['Gotlands Sleepy Bulldog Creamy Amber Ale', 'Cream Ale']",0.23322076,0.76677924,2
4,Buffalo Soul Jah Imperial Red Ale,Three Heads Brewing,American Amber / Red Ale,9.20 %,Sunriver Chalk Rock Amber,Pizza Port &#40; Ocean Beach &#41;,American Strong Ale,9.50 %,"('rtable_Beer_Name',)",['Pizza Port Rhino Chaser Imperial Red Ale'],['Sunriver Chalk Rock Amber'],0.10644882,0.89355123,2
5,Buffalo Soul Jah Imperial Red Ale,Three Heads Brewing,American Amber / Red Ale,9.20 %,Sunriver Chalk Rock Amber,Sunriver Brewing Company,American Strong Ale,9.50 %,"('rtable_Beer_Name', 'rtable_Brew_Factory_Name')","['Pizza Port Rhino Chaser Imperial Red Ale', 'Pizza Port &#40; Ocean Beach &#41;']","['Sunriver Chalk Rock Amber', 'Sunriver Brewing Company']",0.07972358,0.92027634,2
6,Buffalo Soul Jah Imperial Red Ale,Three Heads Brewing,American Amber / Red Ale,9.20 %,Sunriver Chalk Rock Amber,Pizza Port &#40; Ocean Beach &#41;,Amber Ale,9.50 %,"('rtable_Beer_Name', 'rtable_Style')","['Pizza Port Rhino Chaser Imperial Red Ale', 'American Strong Ale']","['Sunriver Chalk Rock Amber', 'Amber Ale']",0.27063212,0.72936785,2
7,Buffalo Soul Jah Imperial Red Ale,Three Heads Brewing,American Amber / Red Ale,9.20 %,Sunriver Chalk Rock Amber,Pizza Port &#40; Ocean Beach &#41;,American Strong Ale,5 %,"('rtable_Beer_Name', 'rtable_ABV')","['Pizza Port Rhino Chaser Imperial Red Ale', '9.50 %']","['Sunriver Chalk Rock Amber', '5 %']",0.2922103,0.70778966,2
8,Buffalo Soul Jah Imperial Red Ale,Three Heads Brewing,American Amber / Red Ale,9.20 %,Pizza Port Rhino Chaser Imperial Red Ale,Sunriver Brewing Company,Amber Ale,9.50 %,"('rtable_Brew_Factory_Name', 'rtable_Style')","['Pizza Port &#40; Ocean Beach &#41;', 'American Strong Ale']","['Sunriver Brewing Company', 'Amber Ale']",0.47206172,0.52793825,2
21,Buffalo Soul Jah Imperial Red Ale,Three Heads Brewing,American Amber / Red Ale,9.20 %,Gotlands Sleepy Bulldog Creamy Amber Ale,Pizza Port &#40; Ocean Beach &#41;,American Strong Ale,9.50 %,"('rtable_Beer_Name',)",['Pizza Port Rhino Chaser Imperial Red Ale'],['Gotlands Sleepy Bulldog Creamy Amber Ale'],0.29937503,0.70062494,2
11,Red Jacket Ale,The Cannon Brewpub,American Amber / Red Ale,9.20 %,Pizza Port Rhino Chaser Imperial Red Ale,Pizza Port &#40; Ocean Beach &#41;,American Strong Ale,9.50 %,"('ltable_Beer_Name', 'ltable_Brew_Factory_Name')","['Buffalo Soul Jah Imperial Red Ale', 'Three Heads Brewing']","['Red Jacket Ale', 'The Cannon Brewpub']",0.49262342,0.50737655,2
23,Buffalo Soul Jah Imperial Red Ale,Three Heads Brewing,American Amber / Red Ale,9.20 %,Gotlands Sleepy Bulldog Creamy Amber Ale,Pizza Port &#40; Ocean Beach &#41;,American Strong Ale,4.80 %,"('rtable_Beer_Name', 'rtable_ABV')","['Pizza Port Rhino Chaser Imperial Red Ale', '9.50 %']","['Gotlands Sleepy Bulldog Creamy Amber Ale', '4.80 %']",0.25623766,0.7437623,2
13,Buffalo Soul Jah Imperial Red Ale,Three Heads Brewing,American Amber / Red Ale,9.20 %,Blue Cat Red Toad Amber Ale,Blue Cat Brew Pub,American Strong Ale,9.50 %,"('rtable_Beer_Name', 'rtable_Brew_Factory_Name')","['Pizza Port Rhino Chaser Imperial Red Ale', 'Pizza Port &#40; Ocean Beach &#41;']","['Blue Cat Red Toad Amber Ale', 'Blue Cat Brew Pub']",0.3687946,0.6312054,2
14,Buffalo Soul Jah Imperial Red Ale,Three Heads Brewing,American Amber / Red Ale,9.20 %,Blue Cat Red Toad Amber Ale,Pizza Port &#40; Ocean Beach &#41;,Premium Bitter/ESB,9.50 %,"('rtable_Beer_Name', 'rtable_Style')","['Pizza Port Rhino Chaser Imperial Red Ale', 'American Strong Ale']","['Blue Cat Red Toad Amber Ale', 'Premium Bitter/ESB']",0.37492886,0.62507117,2
18,Buffalo Soul Jah Imperial Red Ale,Three Heads Brewing,American Amber / Red Ale,9.20 %,CraftHaus Unite Smokey Red,Pizza Port &#40; Ocean Beach &#41;,American Strong Ale,9.50 %,"('rtable_Beer_Name',)",['Pizza Port Rhino Chaser Imperial Red Ale'],['CraftHaus Unite Smokey Red'],0.47825864,0.52174133,2
19,Buffalo Soul Jah Imperial Red Ale,Three Heads Brewing,American Amber / Red Ale,9.20 %,CraftHaus Unite Smokey Red,CraftHaus Brewery,Smoked,9.50 %,"('rtable_Beer_Name', 'rtable_Brew_Factory_Name', 'rtable_Style')","['Pizza Port Rhino Chaser Imperial Red Ale', 'Pizza Port &#40; Ocean Beach &#41;', 'American Strong Ale']","['CraftHaus Unite Smokey Red', 'CraftHaus Brewery', 'Smoked']",0.35608593,0.6439141,3
12,Red Jacket Ale,The Cannon Brewpub,American Amber / Red Ale,9.20 %,Pizza Port Rhino Chaser Imperial Red Ale,Pizza Port &#40; Ocean Beach &#41;,American Strong Ale,9.50 %,"('ltable_Beer_Name', 'ltable_Brew_Factory_Name', 'ltable_Style')","['Buffalo Soul Jah Imperial Red Ale', 'Three Heads Brewing', 'American Amber / Red Ale']","['Red Jacket Ale', 'The Cannon Brewpub', 'American Amber / Red Ale']",0.49262342,0.50737655,3
15,Buffalo Soul Jah Imperial Red Ale,Three Heads Brewing,American Amber / Red Ale,9.20 %,Blue Cat Red Toad Amber Ale,Blue Cat Brew Pub,American Strong Ale,5.70 %,"('rtable_Beer_Name', 'rtable_Brew_Factory_Name', 'rtable_ABV')","['Pizza Port Rhino Chaser Imperial Red Ale', 'Pizza Port &#40; Ocean Beach &#41;', '9.50 %']","['Blue Cat Red Toad Amber Ale', 'Blue Cat Brew Pub', '5.70 %']",0.40102535,0.5989747,3
10,Buffalo Soul Jah Imperial Red Ale,Three Heads Brewing,American Amber / Red Ale,9.20 %,Sunriver Chalk Rock Amber,Sunriver Brewing Company,American Strong Ale,5 %,"('rtable_Beer_Name', 'rtable_Brew_Factory_Name', 'rtable_ABV')","['Pizza Port Rhino Chaser Imperial Red Ale', 'Pizza Port &#40; Ocean Beach &#41;', '9.50 %']","['Sunriver Chalk Rock Amber', 'Sunriver Brewing Company', '5 %']",0.12468149,0.8753185,3
9,Buffalo Soul Jah Imperial Red Ale,Three Heads Brewing,American Amber / Red Ale,9.20 %,Sunriver Chalk Rock Amber,Sunriver Brewing Company,Amber Ale,9.50 %,"('rtable_Beer_Name', 'rtable_Brew_Factory_Name', 'rtable_Style')","['Pizza Port Rhino Chaser Imperial Red Ale', 'Pizza Port &#40; Ocean Beach &#41;', 'American Strong Ale']","['Sunriver Chalk Rock Amber', 'Sunriver Brewing Company', 'Amber Ale']",0.09358989,0.9064101,3
3,Hop Lab - Imperial Red,Three Heads Brewing,American Amber / Red Ale,9.20 %,Pizza Port Rhino Chaser Imperial Red Ale,Pizza Port &#40; Ocean Beach &#41;,American Strong Ale,9.50 %,"('ltable_Beer_Name', 'ltable_Style', 'ltable_ABV')","['Buffalo Soul Jah Imperial Red Ale', 'American Amber / Red Ale', '9.20 %']","['Hop Lab - Imperial Red', 'American Amber / Red Ale', '9.20 %']",0.4166048,0.5833952,3
16,Buffalo Soul Jah Imperial Red Ale,Three Heads Brewing,American Amber / Red Ale,9.20 %,Blue Cat Red Toad Amber Ale,Pizza Port &#40; Ocean Beach &#41;,Premium Bitter/ESB,5.70 %,"('rtable_Beer_Name', 'rtable_Style', 'rtable_ABV')","['Pizza Port Rhino Chaser Imperial Red Ale', 'American Strong Ale', '9.50 %']","['Blue Cat Red Toad Amber Ale', 'Premium Bitter/ESB', '5.70 %']",0.42847785,0.57152206,3
24,Buffalo Soul Jah Imperial Red Ale,Three Heads Brewing,American Amber / Red Ale,9.20 %,Gotlands Sleepy Bulldog Creamy Amber Ale,Pizza Port &#40; Ocean Beach &#41;,Cream Ale,4.80 %,"('rtable_Beer_Name', 'rtable_Style', 'rtable_ABV')","['Pizza Port Rhino Chaser Imperial Red Ale', 'American Strong Ale', '9.50 %']","['Gotlands Sleepy Bulldog Creamy Amber Ale', 'Cream Ale', '4.80 %']",0.17594936,0.8240506,3
