,ltable_addr,ltable_city,ltable_class,ltable_name,ltable_phone,ltable_res_type,rtable_addr,rtable_city,rtable_class,rtable_name,rtable_phone,rtable_res_type,outcome
0,' 1931 peachtree rd. ',` las vegas ',84.0,` luna si ',404/355 -5993,` dive american ',' 3060 peachtree rd. ',` manhattan beach ',749.0,nava,404-240-1984,southwestern,1
1,' 1931 peachtree rd. ',` los angeles ',22.0,` luna si ',404/355 -5993,continental,' 3570 las vegas blvd. s. ',atlanta,74.0,nava,404-240-1984,southwestern,1
2,' 1402 n. highland ave. ',atlanta,90.0,` le colonial ',404/355 -5993,continental,' 3060 peachtree rd. ',atlanta,84.0,nava,702-737-7111,southwestern,1
3,' 1931 peachtree rd. ',atlanta,84.0,` luna si ',404/355 -5993,continental,' 3060 peachtree rd. ',atlanta,749.0,nava,404-240-1984,southwestern,1
4,' 1931 peachtree rd. ',atlanta,84.0,` luna si ',404/355 -5993,continental,' 3060 peachtree rd. ',atlanta,22.0,nava,404-240-1984,southwestern,1
5,' 1931 peachtree rd. ',atlanta,22.0,` luna si ',404/355 -5993,continental,' 3570 las vegas blvd. s. ',atlanta,74.0,nava,404-240-1984,southwestern,1
6,' 1402 n. highland ave. ',atlanta,90.0,` le colonial ',404/355 -5993,continental,' 3060 peachtree rd. ',atlanta,84.0,nava,404-240-1984,southwestern,1
7,' 160 central park s ',atlanta,74.0,` luna si ',404/237 -2663,continental,' 3060 peachtree rd. ',` santa monica ',20.0,nava,404-240-1984,vegetarian,1
8,' 1931 peachtree rd. ',atlanta,84.0,` luna si ',404/355 -5993,buffets,' 3060 peachtree rd. ',atlanta,22.0,nava,404-240-1984,southwestern,1
9,' 3130 piedmont road ',atlanta,84.0,` luna si ',404/355 -5993,buffets,' 3060 peachtree rd. ',atlanta,22.0,` chinois on main ',404-240-1984,southwestern,1
