,ltable_id,ltable_title,ltable_authors,ltable_venue,ltable_year,rtable_id,rtable_title,rtable_authors,rtable_venue,rtable_year,match
0,1133,"cure : an efficient clustering algorithm for large databases s guha , r rastogi , k shim",,sigmod conference,1998.0,19588,"efficient algorithm for projected clustering enk ka , aw fu",,,,0.7997297
1,1829,open object database management systems,,,1994.0,59186,performance evaluation of a temporal database management system,"i ahn , r snodgrass","proceedings of the 1986 acm sigmod international conference & hellip ; ,",1986.0,5.0811544e-10
2,1953,"an efficient algorithm for mining association rules in large databases a savasere , e omiecinski , s navathe",,vldb,1995.0,5130,mining association rules between sets of items in large databases . 1993 proc . acm sigmod international conference on management of,"r agrawal , t imielinski , a swami",,,3.6535813e-11
3,2310,formal query languages for secure relational databases acm trans . database syst .,"m winslett , k smith , x qian",,1994.0,28595,"a visual query language for odmg-compliant databases m chavda , pt wood",,,,8.6104995e-12
4,1845,"a language based multidatabase system e kќhn , t tschernko , k schwarz sigmod conference",,,1994.0,48451,"a classification of multi-database languages parallel and distributed information systems , 1994. , & hellip ; , 1994.0","m tresch , mh scholl , ibmar center , ca san jose",,,1.5478515e-06
5,211,"using unknowns to prevent discovery of association rules y saygin , v verykios , c clifton 2001",,sigmod record,,2457,"on the discovery of interesting patterns in association rules vldb ,","s ramaswamy , s mahajan , a silberschatz",,1998.0,9.351887e-08
6,1360,"the distributed information search component ( disco ) and the world wide web a tomasic , r amouroux , p bonnet , o kapitskaia , h naacke , l raschid",,sigmod conference,1997.0,11549,"the distributed information search component ( disco ) and the world wide web sigmod conference ,","a tomasic , r amouroux , p bonnet , o kapitskaia , h",,1997.0,1.0
7,652,open issues in parallel query optimization sigmod record 1996,"w hasan , d florescu , p valduriez",,,31280,"multi-query optimization acm trans . on database systems ,",tk sellis,,,6.8207576e-13
8,1532,"partition based spatial-merge join j patel , d dewitt sigmod conference 1996",,,,60672,"size separation spatial join n koudas , kc sevcik",,"proceedings of the 1997 acm sigmod international conference & hellip ; ,",1997.0,0.00016282922
9,1991,interview with jim gray 2003,,,,30712,interview with authors e larson,,"san diego ,",,3.5668565e-06
10,1712,"the ecrc multi database system w jonker , h schќtz sigmod conference 1995",,,,41920,the o 2 object-oriented database system f bancilhon,,proceedings of the 1992 acm sigmod-international conference,,1.0929163e-12
11,709,"outlier detection for high dimensional data c aggarwal , p yu 2001",,sigmod conference,,45026,an effective and efficient algorithm for high-dimensional outlier detection,"cc aggarwal , ps yu","the vldb journal the international journal on very large & hellip ; ,",2005.0,4.8797634e-18
12,2295,guest editorial,,,2003.0,8559,guest editor 's introduction portal.acm.org,,,,0.0023400208
13,2579,"schemasql - a language for interoperability in relational multi-database systems l lakshmanan , f sadri , i subramanian",,vldb,1996.0,42314,panel : interoperability in multidatabases : semantic and systems issues y breitbartâ ? ¦,,"proc of vldb ,",,0.9991134
14,696,"database research at arizona state university s urban , s dietrich , f golshani sigmod record 1996",,,,46108,database research at hp labs,ma neimat,"sigmod record ,",1991.0,9.004965e-07
15,659,"olap , relational , and multidimensional database systems g colliat sigmod record 1996",,,,12273,cmd : a multidimensional declustering method for parallel database systems,"l jianzhong , j srivastava , d rotem","proceedings of international conference on vldb , august ,",,1.4167843e-13
16,612,"mining fuzzy association rules in databases c kuok , a fu , m wong sigmod record",,,1998.0,42439,"mining association rules from quantitative data intelligent data analysis ,","tp hong , cs kuo , sc chi",,1999.0,5.199362e-09
17,2185,grid data management systems & services,,,2003.0,10241,research directions in data base management systems,d tsichritzis,"acm sigmod record ,",1977.0,1.4844829e-06
18,980,"data integration and warehousing in telecom italia s trisolini , m lenzerini , d nardi sigmod conference 1999",,,,58492,"enterprise modeling and data warehousing in telecom italia d calvanese , l dragone , d nardi , r rosati , sm",,,,2.4827474e-13
19,603,"dyda : data warehouse maintenance in fully concurrent environments j chen , x zhang , s chen , a koeller , e rundensteiner",,sigmod conference,2001.0,1832,"efficient data view maintenance warehouses d agrawal , a el abbadi , a singh , t yurek",,"proc . acm sigmod ,",,1.3901135e-12
20,2310,formal query languages for secure relational databases acm trans . database syst .,"m winslett , k smith , x qian",,1994.0,35508,"on completeness of historical relational query languages j clifford , a croker , a tuzhilin acm transactions on database systems ( tods ) ,",,,1994.0,3.6305944e-11
21,1381,using sql to build new aggregates and extenders for object - relational systems,"h wang , c zaniolo",vldb,2000.0,47050,using sql to build new aggregates and extenders for object-relational systems,hwc zaniolo,,,0.53478116
22,1084,merge replication in microsoft 's sql server 7.0 sigmod conference 1999,b hammond,,,26734,"data cleaning in microsoft sql server 2005 proceedings of the 2005 acm sigmod international conference & hellip ; ,","s chaudhuri , k ganjam , v ganti , r kapoor , v",,2005.0,1.569767e-16
23,1883,multiple-view self-maintenance in data warehousing environments n huyn 1997,,vldb,,15003,"j , hammer , j. widom . view maintenance in a warehousing environment y zhuge , h garcia-molina",,proc . of the acm sigmod intl. conf . on management of,,9.791125e-20
24,2036,a system for keyword proximity search on xml databases vldb 2003,"a balmin , v hristidis , n koudas , y papakonstantinou , d srivastava , t wang",,,47255,keyword search in databases,sv rajnikant,,,6.42148e-17
25,2588,guest editor 's introduction,,,2002.0,7916,guest editorial c allocchio,,"computer networks ,",2000.0,5.468317e-06
26,1435,multi-dimensional substring selectivity estimation,"h jagadish , o kapitskaia , r ng , d srivastava",vldb,1999.0,59475,"an efficient subspace sampling framework for high-dimensional data reduction , selectivity estimation ieee transactions on knowledge and data engineering , 2004.0",se reduction,,,9.866851e-15
27,800,"aqr-toolkit : an adaptive query routing middleware for distributed data intensive systems l liu , c pu , d buttler , w han , h paques , w tang sigmod conference",,,2000.0,29677,mocha : a self-extensible database middleware system for distributed data sources 2000.0,"m rodrä ± guez-martä ± nez , n roussopoulos","proceedings of the acm sigmod international conference on & hellip ; ,",,1.04188636e-07
28,806,metadata for multimedia documents sigmod record 1994,"k bіhm , t rakow",,,6887,multimedia documents with elastic time,"my kim , j song","& hellip ; of the third acm international conference on multimedia ,",1995.0,2.1784271e-14
29,925,"lambda-db : an odmg-based object-oriented dbms l fegaras , c srinivasan , a rajendran , d maier",,sigmod conference,2000.0,52718,"sentinel : an object-oriented dbms with event-based rules . acms anthology , p edition",,,,6.49258e-05
30,1856,"power efficient data gathering and aggregation in wireless sensor networks h tan , i korpeoglu",,sigmod record,2003.0,43531,in-network aggregation trade-offs for data collection in wireless sensor networks,"i solis , k obraczka",,,4.542729e-13
31,74,"database research at the university of illinois at urbana-champaign m winslett , k chang , a doan , j han , c zhai , y zhou sigmod record 2002",,,,40649,"university of illinois , urbana ms bsee",,"ph. d. , university of california , santa",,0.9999999
32,2538,an introduction to spatial database systems vldb j. 1994,r gќting,,,15659,"introduction to a system for distributed databases ( sdd-1 ) acm transactions on database systems ( tods ) ,","jb rothnie jr , pa bernstein , s fox , n goodman , m",,1980.0,3.861992e-11
33,19,mining generalized association rules vldb,"r srikant , r agrawal",,1995.0,6261,"beyond market : generalizing association rules to correlations s brin , r motwani , c silverstein",,"processing of the acm sigmod conference ,",,1.90468e-22
34,1391,local dimensionality reduction : a new approach to indexing high dimensional spaces vldb,"k chakrabarti , s mehrotra",,2000.0,10963,"locally adaptive dimensionality reduction for indexing large time series databases sigmod conference , 2001.0","e keogh , k chakrabarti , s mehrotra , m pazzani",,,9.001908e-09
35,2113,"processing sliding window multi-joins in continuous queries over data streams l golab , m жzsu",,vldb,2003.0,4298,continuous queries over data streams,"s balu , j widom",,,1.9158336e-10
36,997,join synopses for approximate query answering sigmod conference,"s acharya , p gibbons , v poosala , s ramaswamy",,1999.0,53122,"icicles : self-tuning samples for approximate query answering v ganti , ml lee , r ramakrishnan 2000.0",,"vldb ,",,7.1265156e-13
37,667,advances in real-time database systems research sigmod record,a bestavros,,1996.0,8795,special issue on real-time database systems a bestavros,,"sigmod record ,",,6.5726313e-10
38,2076,mixed mode xml query processing vldb,"a halverson , j burger , l galanis , a kini , r krishnamurthy , a rao , f tian , s viglas , y wang , j naughton , d dewitt",,2003.0,38242,"compensation-based on-line query processing v srinivasan , mj carey 1992.0",,"proceedings of the 1992 acm sigmod international conference & hellip ; ,",,6.3013367e-10
39,425,editor 's notes m franklin 1998,,sigmod record,,50887,editor 's notes rh silkman,,"new directions for program evaluation ,",,2.3180597e-19
40,1487,"metu interoperable database system a dogac , u halici , e kilic , g жzhan , f ozcan , s nural , c dengi , s mancuhan , i arpinar , p koksal , c evrendilek sigmod conference 1996",,,,16499,modern database systems w kimâ ? ¦,,,1995.0,4.684084e-15
41,846,"indexing the positions of continuously moving objects s saltenis , c jensen , s leutenegger , m lopez sigmod conference",,,2000.0,53598,"lopez. , m. : indexing the position of continuously moving objects proceedings of acm sigmod conference","s saltenis , c jensen , s leutenegger",,,3.7216847e-07
42,1785,sequence query processing,"p seshadri , m livny , r ramakrishnan",sigmod conference,1994.0,42348,"xml query processing d florescu , d kossmann",,"data engineering , 2004 . proceedings . 20th international",,8.0641534e-08
43,1357,"set containment joins : the good , the bad and the ugly k ramasamy , j patel , j naughton , r kaushik",,vldb,2000.0,50278,"data management in ecommerce : the good , the bad , and the ugly a gal",,,,6.831718e-10
44,1640,algorithms for mining association rules for binary segmentations of huge categorical databases 1998,"y morimoto , t fukuda , h matsuzawa , t tokuyama , k yoda",vldb,,55264,"mining association rules between sets ofitems in large databases conference on management of data . washington ,","r agrawal , t imielinski , a swami",,,2.8215987e-05
45,2213,generic database cost models for hierarchical memory systems,"s manegold , p boncz , m kersten",vldb,2002.0,26608,generalized search trees for database systems,"jm hellerstein , jf naughton , a pfeffer","vldb ,",1995.0,1.5199861e-15
46,2388,opt + + : an object-oriented implementation for extensible database query optimization 1999,"n kabra , d dewitt",vldb j.,,27440,"description logics for semantic query optimization in object-oriented database systems d beneventano , s bergamaschi , c sartori 2003.0",,"acm transactions on database systems ,",,2.977692e-11
47,2510,"an experimental system for object-based sharing in federated databases d fang , s ghandeharizadeh",,vldb j.,1996.0,18329,"a dynamic model for conceptual clustering in object-oriented databases proc . of vldb ,","q li , j smith",,,2.2559936e-06
48,479,reminiscences on influential papers 1999,,,,14191,"reminiscences on influential papers acm transactions on database systems ,",e bertino,,1976.0,0.9945879
49,670,deeds towards a distributed and active real-time database system 1996,"s andler , j hansson , j eriksson , j mellin , m berndtsson , b eftring",sigmod record,,2835,"andb . eftring , deeds : towards a distributed and active real-time database systems","sf andler , j hansson , j eriksson , j mellin , m","acm sigmod record ,",,0.9999995
