,ltable_title,ltable_authors,ltable_venue,ltable_year,rtable_title,rtable_authors,rtable_venue,rtable_year,outcome
0,indexing the positions of continuously moving objects,"s urban , s dietrich , f golshani",sigmod conference,2000.0,on completeness of historical relational query languages,"s saltenis , c jensen , s leutenegger",proceedings of acm sigmod conference,nan,1
1,indexing the positions of continuously moving objects,g colliat,sigmod conference,2000.0,performance evaluation of a temporal database management system,"s saltenis , c jensen , s leutenegger",proceedings of acm sigmod conference,nan,0
2,indexing the positions of continuously moving objects,"s saltenis , c jensen , s leutenegger , m lopez",sigmod conference,2000.0,keyword search in databases,"s saltenis , c jensen , s leutenegger","acm transactions on database systems ,",nan,0
3,indexing the positions of continuously moving objects,"s saltenis , c jensen , s leutenegger , m lopez",sigmod conference,2003.0,the o 2 object-oriented database system,"s saltenis , c jensen , s leutenegger",proceedings of acm sigmod conference,nan,0
4,indexing the positions of continuously moving objects,"s saltenis , c jensen , s leutenegger , m lopez",sigmod conference,2000.0,database research at hp labs,"s saltenis , c jensen , s leutenegger","conference on management of data . washington ,",nan,0
5,indexing the positions of continuously moving objects,"s saltenis , c jensen , s leutenegger , m lopez",sigmod conference,2000.0,the o 2 object-oriented database system,"d calvanese , l dragone , d nardi , r rosati , sm",proceedings of acm sigmod conference,nan,0
6,indexing the positions of continuously moving objects,"s saltenis , c jensen , s leutenegger , m lopez",sigmod conference,2000.0,keyword search in databases,"s saltenis , c jensen , s leutenegger",proceedings of acm sigmod conference,nan,0
7,indexing the positions of continuously moving objects,"s saltenis , c jensen , s leutenegger , m lopez",sigmod conference,2000.0,locally adaptive dimensionality reduction for indexing large time series databases,"l jianzhong , j srivastava , d rotem",proceedings of acm sigmod conference,nan,1
8,indexing the positions of continuously moving objects,"s saltenis , c jensen , s leutenegger , m lopez",sigmod conference,2000.0,database research at hp labs,"s saltenis , c jensen , s leutenegger","& hellip ; of the third acm international conference on multimedia ,",nan,0
9,indexing the positions of continuously moving objects,"s saltenis , c jensen , s leutenegger , m lopez",nan,2000.0,keyword search in databases,"s saltenis , c jensen , s leutenegger",proceedings of acm sigmod conference,nan,0
