,ltable_title,ltable_authors,ltable_venue,ltable_year,rtable_title,rtable_authors,rtable_venue,rtable_year,alteredAttributes,droppedValues,copiedValues,nomatch_score,match_score,attr_count
0,selectivity estimation for spatio-temporal queries to moving objects,"raymond t. ng , divesh srivastava , h. v. jagadish , olga kapitskaia",vldb j.,2000,"hierarchical subspace sampling : a unified framework for high dimensional data reduction , selectivity estimation and nearest neighbor search",charu c. aggarwal,international conference on management of data,2002,"('ltable_title',)",['one-dimensional and multi-dimensional substring selectivity estimation'],['selectivity estimation for spatio-temporal queries to moving objects'],0.29256007,0.70743996,2
74,one-dimensional and multi-dimensional substring selectivity estimation,"raymond t. ng , divesh srivastava , h. v. jagadish , olga kapitskaia",vldb j.,2000,"hierarchical subspace sampling : a unified framework for high dimensional data reduction , selectivity estimation and nearest neighbor search",charu c. aggarwal,international conference on management of data,1997,"('rtable_year',)",[2002],[1997],0.14257006,0.85743,2
73,one-dimensional and multi-dimensional substring selectivity estimation,"raymond t. ng , divesh srivastava , h. v. jagadish , olga kapitskaia",vldb j.,2000,"hierarchical subspace sampling : a unified framework for high dimensional data reduction , selectivity estimation and nearest neighbor search",charu c. aggarwal,the vldb journal -- the international journal on very large data bases,2002,"('rtable_venue',)",['international conference on management of data'],['the vldb journal -- the international journal on very large data bases'],0.15849543,0.8415046,2
72,one-dimensional and multi-dimensional substring selectivity estimation,"raymond t. ng , divesh srivastava , h. v. jagadish , olga kapitskaia",vldb j.,2000,"hierarchical subspace sampling : a unified framework for high dimensional data reduction , selectivity estimation and nearest neighbor search","t. catarci , g. santucci , j. cardiff",international conference on management of data,2002,"('rtable_authors',)",['charu c. aggarwal'],"['t. catarci , g. santucci , j. cardiff']",0.066018224,0.9339818,2
71,one-dimensional and multi-dimensional substring selectivity estimation,"raymond t. ng , divesh srivastava , h. v. jagadish , olga kapitskaia",vldb j.,2000,graphical interaction with heterogeneous databases,charu c. aggarwal,international conference on management of data,2002,"('rtable_title',)","['hierarchical subspace sampling : a unified framework for high dimensional data reduction , selectivity estimation and nearest neighbor search']",['graphical interaction with heterogeneous databases'],0.0024920532,0.9975079,2
66,one-dimensional and multi-dimensional substring selectivity estimation,"raymond t. ng , divesh srivastava , h. v. jagadish , olga kapitskaia",vldb j.,2000,"hierarchical subspace sampling : a unified framework for high dimensional data reduction , selectivity estimation and nearest neighbor search",charu c. aggarwal,very large data bases,1999,"('rtable_venue', 'rtable_year')","['international conference on management of data', 2002]","['very large data bases', 1999]",0.09741052,0.9025895,2
65,one-dimensional and multi-dimensional substring selectivity estimation,"raymond t. ng , divesh srivastava , h. v. jagadish , olga kapitskaia",vldb j.,2000,"hierarchical subspace sampling : a unified framework for high dimensional data reduction , selectivity estimation and nearest neighbor search","h. v. jagadish , olga kapitskaia , raymond t. ng , divesh srivastava",international conference on management of data,1999,"('rtable_authors', 'rtable_year')","['charu c. aggarwal', 2002]","['h. v. jagadish , olga kapitskaia , raymond t. ng , divesh srivastava', 1999]",0.12772265,0.8722773,2
64,one-dimensional and multi-dimensional substring selectivity estimation,"raymond t. ng , divesh srivastava , h. v. jagadish , olga kapitskaia",vldb j.,2000,"hierarchical subspace sampling : a unified framework for high dimensional data reduction , selectivity estimation and nearest neighbor search","h. v. jagadish , olga kapitskaia , raymond t. ng , divesh srivastava",very large data bases,2002,"('rtable_authors', 'rtable_venue')","['charu c. aggarwal', 'international conference on management of data']","['h. v. jagadish , olga kapitskaia , raymond t. ng , divesh srivastava', 'very large data bases']",0.11924916,0.8807509,2
63,one-dimensional and multi-dimensional substring selectivity estimation,"raymond t. ng , divesh srivastava , h. v. jagadish , olga kapitskaia",vldb j.,2000,multi-dimensional substring selectivity estimation,charu c. aggarwal,international conference on management of data,1999,"('rtable_title', 'rtable_year')","['hierarchical subspace sampling : a unified framework for high dimensional data reduction , selectivity estimation and nearest neighbor search', 2002]","['multi-dimensional substring selectivity estimation', 1999]",0.3216645,0.6783354,2
62,one-dimensional and multi-dimensional substring selectivity estimation,"raymond t. ng , divesh srivastava , h. v. jagadish , olga kapitskaia",vldb j.,2000,multi-dimensional substring selectivity estimation,charu c. aggarwal,very large data bases,2002,"('rtable_title', 'rtable_venue')","['hierarchical subspace sampling : a unified framework for high dimensional data reduction , selectivity estimation and nearest neighbor search', 'international conference on management of data']","['multi-dimensional substring selectivity estimation', 'very large data bases']",0.4960719,0.5039281,2
