,ltable_title,ltable_manufacturer,ltable_price,rtable_title,rtable_manufacturer,rtable_price,outcome
0,foreign policy & reform ( win/mac ) ( jewel case ),fogware publishing,9.99,adobe cs3 design standard academic,nan,400.34,1
1,foreign policy & reform ( win/mac ) ( jewel case ),steinberg,259.95,poetry fiction and drama ( win/mac ) ( jewel case ) ( 10172 ),nan,9.59,1
2,adobe creative suite cs3 production premium upsell,fogware publishing,9.99,poetry fiction and drama ( win/mac ) ( jewel case ) ( 10172 ),nan,9.59,0
3,foreign policy & reform ( win/mac ) ( jewel case ),final draft,9.99,poetry fiction and drama ( win/mac ) ( jewel case ) ( 10172 ),nan,9.59,1
4,foreign policy & reform ( win/mac ) ( jewel case ),fogware publishing,9.99,microsoft office visio standard 2007 ( pc ),apple software,9.59,1
5,final draft av 2.5 win/mac,fogware publishing,49.99,poetry fiction and drama ( win/mac ) ( jewel case ) ( 10172 ),nan,9.59,1
6,steinberg cubase 4 digital audio software,fogware publishing,199.0,poetry fiction and drama ( win/mac ) ( jewel case ) ( 10172 ),nan,9.59,1
7,foreign policy & reform ( win/mac ) ( jewel case ),aspyr media,9.99,poetry fiction and drama ( win/mac ) ( jewel case ) ( 10172 ),nan,400.34,1
8,instant immersion ingles audio deluxe,fogware publishing,9.99,adobe cs3 design standard upgrade,nan,9.59,1
9,foreign policy & reform ( win/mac ) ( jewel case ),fogware publishing,5099.0,poetry fiction and drama ( win/mac ) ( jewel case ) ( 10172 ),nan,29.99,1
