,ltable_title,ltable_manufacturer,ltable_price,rtable_title,rtable_manufacturer,rtable_price,alteredAttributes,droppedValues,copiedValues,nomatch_score,match_score,attr_count
0,foreign policy & reform ( win/mac ) ( jewel case ),fogware publishing,9.99,foreign policy & reform ( win/mac ) ( jewel,,9.59,"('rtable_title',)",['poetry fiction and drama ( win/mac ) ( jewel case ) ( 10172 )'],['foreign policy & reform ( win/mac ) ( jewel'],0.017798178,0.9822019,2
16,poetry fiction and drama,fogware publishing,9.99,poetry fiction and drama ( win/mac ) ( jewel case ) ( 10172 ),,9.59,"('ltable_title',)",['foreign policy & reform ( win/mac ) ( jewel case )'],['poetry fiction and drama'],0.10441479,0.8955852,2
14,poetry fiction and,fogware publishing,9.59,poetry fiction and drama ( win/mac ) ( jewel case ) ( 10172 ),,9.59,"('ltable_title', 'ltable_price')","['foreign policy & reform ( win/mac ) ( jewel case )', 9.99]","['poetry fiction and', 9.59]",0.1063609,0.8936391,2
13,poetry fiction and,,9.99,poetry fiction and drama ( win/mac ) ( jewel case ) ( 10172 ),,9.59,"('ltable_title', 'ltable_manufacturer')","['foreign policy & reform ( win/mac ) ( jewel case )', 'fogware publishing']","['poetry fiction and', nan]",0.100857124,0.89914286,2
12,poetry fiction and,fogware publishing,9.99,poetry fiction and drama ( win/mac ) ( jewel case ) ( 10172 ),,9.59,"('ltable_title',)",['foreign policy & reform ( win/mac ) ( jewel case )'],['poetry fiction and'],0.09934813,0.90065193,2
22,foreign policy & reform ( win/mac ) ( jewel case ),fogware publishing,9.99,foreign policy & reform ( win/mac ) (,,9.99,"('rtable_title', 'rtable_price')","['poetry fiction and drama ( win/mac ) ( jewel case ) ( 10172 )', 9.59]","['foreign policy & reform ( win/mac ) (', 9.99]",0.0013351567,0.99866486,2
10,foreign policy & reform ( win/mac ) ( jewel case ),fogware publishing,9.99,foreign policy & reform ( win/mac ),,9.99,"('rtable_title', 'rtable_price')","['poetry fiction and drama ( win/mac ) ( jewel case ) ( 10172 )', 9.59]","['foreign policy & reform ( win/mac )', 9.99]",0.003913872,0.9960861,2
17,poetry fiction and drama,,9.99,poetry fiction and drama ( win/mac ) ( jewel case ) ( 10172 ),,9.59,"('ltable_title', 'ltable_manufacturer')","['foreign policy & reform ( win/mac ) ( jewel case )', 'fogware publishing']","['poetry fiction and drama', nan]",0.10589738,0.8941027,2
9,foreign policy & reform ( win/mac ) ( jewel case ),fogware publishing,9.99,foreign policy & reform ( win/mac ),fogware publishing,9.59,"('rtable_title', 'rtable_manufacturer')","['poetry fiction and drama ( win/mac ) ( jewel case ) ( 10172 )', nan]","['foreign policy & reform ( win/mac )', 'fogware publishing']",0.017852148,0.9821478,2
20,foreign policy & reform ( win/mac ) ( jewel case ),fogware publishing,9.99,foreign policy & reform ( win/mac ) (,,9.59,"('rtable_title',)",['poetry fiction and drama ( win/mac ) ( jewel case ) ( 10172 )'],['foreign policy & reform ( win/mac ) ('],0.040222183,0.95977783,2
