,ltable_Beer_Name,ltable_Brew_Factory_Name,ltable_Style,ltable_ABV,rtable_Beer_Name,rtable_Brew_Factory_Name,rtable_Style,rtable_ABV,outcome
0,Brewmaster 's Reserve Imperial Red Ale,BJ 's Chicago Pizza & Brewery Inc. .,American Barleywine,9.20 %,Big Time Lift Ticket American Red Ale,Ballast Point Brewing Company,American Strong Ale,10 %,0
1,Inception Series - Runnin ' With The Devil,BJ 's Chicago Pizza & Brewery Inc. .,American Barleywine,9.20 %,Ballast Point Tongue Buckler Imperial Red Ale - Bourbon Barrel Aged,Ballast Point Brewing Company,American Strong Ale,10 %,0
2,Twisted Stick Amber Ale,BJ 's Chicago Pizza & Brewery Inc. .,American Amber / Red Ale,9.20 %,Rock Bottom Orland Park King of Hearts Imperial Red Ale,Ballast Point Brewing Company,American Strong Ale,10 %,1
3,Inception Series - Runnin ' With The Devil,BJ 's Chicago Pizza & Brewery Inc. .,American Amber / Red Ale,9.20 %,Ballast Point Tongue Buckler Imperial Red Ale - Bourbon Barrel Aged,Ballast Point Brewing Company,American Strong Ale,10 %,0
4,Brewmaster 's Reserve Imperial Red Ale,BJ 's Chicago Pizza & Brewery Inc. .,American Amber / Red Ale,9.20 %,Kern River Dirty Hippie Imperial Red Ale,Ballast Point Brewing Company,Irish Ale,10 %,0
5,Brewmaster 's Reserve Imperial Red Ale,Central City Brewers + Distillers,American Amber / Red Ale,9.20 %,Ballast Point Tongue Buckler Imperial Red Ale - Bourbon Barrel Aged,Ballast Point Brewing Company,American Strong Ale,4.50 %,0
6,Inception Series - Runnin ' With The Devil,Howe Sound Inn & Brewing Company,American Amber / Red Ale,9.20 %,Ballast Point Tongue Buckler Imperial Red Ale - Bourbon Barrel Aged,Ballast Point Brewing Company,American Strong Ale,10 %,0
7,Brewmaster 's Reserve Imperial Red Ale,BJ 's Chicago Pizza & Brewery Inc. .,American Amber / Red Ale,9.20 %,Big Time Lift Ticket American Red Ale,Ballast Point Brewing Company,American Strong Ale,9.70 %,0
8,Inception Series - Runnin ' With The Devil,Fifty West Brewing Co,American Amber / Red Ale,9.20 %,Ballast Point Tongue Buckler Imperial Red Ale - Bourbon Barrel Aged,Ballast Point Brewing Company,American Strong Ale,10 %,0
9,Brewmaster 's Reserve Imperial Red Ale,Central City Brewers + Distillers,American Amber / Red Ale,9.20 %,Ballast Point Tongue Buckler Imperial Red Ale - Bourbon Barrel Aged,Ballast Point Brewing Company,Imperial IPA,10 %,0
