,ltable_ABV,ltable_Beer_Name,ltable_Brew_Factory_Name,ltable_Style,rtable_ABV,rtable_Beer_Name,rtable_Brew_Factory_Name,rtable_Style,outcome
0,5.40 %,Batch 200 _ `` Olympus Mons Imperial Red Ale,Bainbridge Island Brewing Company,American Amber / Red Ale,5.40 %,Bainbridge Island Arrow Point Amber,Bainbridge Island Brewing Company,Amber Ale,0
1,5.40 %,Double Dragon Imperial Red Ale,Bainbridge Island Brewing Company,American Amber / Red Ale,5.40 %,Bainbridge Island Arrow Point Amber,Bainbridge Island Brewing Company,Amber Ale,0
2,5.40 %,Aqula American Amber Ale,Bainbridge Island Brewing Company,American Amber / Red Ale,5.40 %,Bainbridge Island Arrow Point Amber,Bainbridge Island Brewing Company,Amber Ale,0
3,5.40 %,Lavery Imperial Red Ale,Bainbridge Island Brewing Company,American Amber / Red Ale,5.40 %,Bainbridge Island Arrow Point Amber,Bainbridge Island Brewing Company,Amber Ale,0
4,5.40 %,Arrow Point Amber,Bainbridge Island Brewing Company,American Amber / Red Ale,5.40 %,Riverbend Barrel Aged Right Said Red,Bainbridge Island Brewing Company,Amber Ale,0
5,5.40 %,Alexander Keith 's Red Amber Ale,Bainbridge Island Brewing Company,American Amber / Red Ale,5.40 %,Bainbridge Island Arrow Point Amber,Bainbridge Island Brewing Company,Amber Ale,0
6,5.40 %,Hop Around Imperial Red Ale,Bainbridge Island Brewing Company,American Amber / Red Ale,5.40 %,Bainbridge Island Arrow Point Amber,Bainbridge Island Brewing Company,Amber Ale,0
7,5.40 %,Three Sheets Barleywine ( Syrah Barrel Aged ),Bainbridge Island Brewing Company,American Amber / Red Ale,5.40 %,Bainbridge Island Arrow Point Amber,Bainbridge Island Brewing Company,Amber Ale,0
8,5.40 %,Arrow Point Amber,Bainbridge Island Brewing Company,American Amber / Red Ale,5.40 %,Heavy Seas Desert Island Series American Honey Amber Ale,Bainbridge Island Brewing Company,Amber Ale,0
9,5.40 %,Arrow Point Amber,Bainbridge Island Brewing Company,American Amber / Red Ale,5.40 %,Alley Kat Rocky Mountain Red Ale &#40; The Cheesecake Cafe &#41;,Bainbridge Island Brewing Company,Amber Ale,0
