,ltable_title,ltable_authors,ltable_venue,ltable_year,rtable_title,rtable_authors,rtable_venue,rtable_year,outcome
0,"clustering validity checking methods : part ii michalis vazirgiannis , maria halkidi , yannis batistakis sigmod record","guozhu dong , jian pei , jiawei han , ke wang",sigmod conference,nan,"fast computation of sparse datacubes kenneth a. ross , divesh srivastava 1997",nan,very large data bases,nan,0
1,"clustering validity checking methods : part ii michalis vazirgiannis , maria halkidi , yannis batistakis sigmod record","guozhu dong , jian pei , jiawei han , ke wang",sigmod conference,nan,"fast computation of sparse datacubes kenneth a. ross , divesh srivastava 1997",nan,very large data bases,1994.0,0
2,"clustering validity checking methods : part ii michalis vazirgiannis , maria halkidi , yannis batistakis sigmod record","guozhu dong , jian pei , jiawei han , ke wang",sigmod record,nan,"fast computation of sparse datacubes kenneth a. ross , divesh srivastava 1997",leonidas fegaras,very large data bases,nan,0
3,efficient computation of iceberg cubes with complex measures 2001,özgür ulusoy,sigmod conference,nan,the ores temporal database management system,nan,very large data bases,2003.0,1
4,"clustering validity checking methods : part ii michalis vazirgiannis , maria halkidi , yannis batistakis sigmod record","guozhu dong , jian pei , jiawei han , ke wang",sigmod conference,nan,"fast computation of sparse datacubes kenneth a. ross , divesh srivastava 1997","binto george , jayant r. haritsa",international conference on management of data,1997.0,0
5,"clustering validity checking methods : part ii michalis vazirgiannis , maria halkidi , yannis batistakis sigmod record","guozhu dong , jian pei , jiawei han , ke wang",sigmod record,nan,"fast computation of sparse datacubes kenneth a. ross , divesh srivastava 1997",leonidas fegaras,very large data bases,1995.0,0
6,"clustering validity checking methods : part ii michalis vazirgiannis , maria halkidi , yannis batistakis sigmod record","guozhu dong , jian pei , jiawei han , ke wang",sigmod conference,nan,"fast computation of sparse datacubes kenneth a. ross , divesh srivastava 1997",won kim,acm sigmod record,nan,0
7,"clustering validity checking methods : part ii michalis vazirgiannis , maria halkidi , yannis batistakis sigmod record","jeffrey f. naughton , stratis viglas",sigmod record,nan,"fast computation of sparse datacubes kenneth a. ross , divesh srivastava 1997",nan,the vldb journal -- the international journal on very large data bases,nan,1
8,efficient computation of iceberg cubes with complex measures 2001,"guozhu dong , jian pei , jiawei han , ke wang",sigmod conference,1994.0,the ores temporal database management system,joseph fong,very large data bases,2003.0,0
9,"clustering validity checking methods : part ii michalis vazirgiannis , maria halkidi , yannis batistakis sigmod record","kinji ono , jihad boulos",vldb j.,nan,"fast computation of sparse datacubes kenneth a. ross , divesh srivastava 1997",nan,acm sigmod record,nan,0
