,ltable_manufacturer,ltable_price,ltable_title,rtable_manufacturer,rtable_price,rtable_title,outcome
0,hewlett-packard - ( consumables ),29.99,adobe indesign cs3 upgrade from pagemaker,sibelius-software-ltd .,29.99,. mac ( mac ) apple,1
1,hewlett-packard - ( consumables ),630.36,panda internet security 2007 3-user,sibelius-software-ltd .,998.95,. mac ( mac ) apple,1
2,macsoft,799.95,halo ( mac ),nan,99.95,phantom efx reel deal casino shuffle master edition,1
3,global-software-publishing,29.99,halo ( mac ),global-software-publishing,82.99,phantom efx reel deal casino shuffle master edition,1
4,sony-pictures-digital-entertainment,79.99,halo ( mac ),riverdeep-learning-company,99.99,. mac ( mac ) apple,1
5,macsoft,29.99,halo ( mac ),nan,29.99,scrapbook designer platinum,0
6,global-software-publishing,799.95,halo ( mac ),global-software-publishing,36.11,web easy ( r ) professional 6,1
7,global-software-publishing,19.99,final draft av 2.5 win/mac,nan,99.99,migo software digital file shredder 2005,1
8,apple,79.99,halo ( mac ),nan,99.99,. mac ( mac ) apple,1
9,macsoft,19.99,final draft av 2.5 win/mac,nan,99.99,. mac ( mac ) apple,1
