,ltable_Beer_Name,ltable_Brew_Factory_Name,ltable_Style,ltable_ABV,rtable_Beer_Name,rtable_Brew_Factory_Name,rtable_Style,rtable_ABV,alteredAttributes,droppedValues,copiedValues,nomatch_score,match_score,attr_count
0,Bourbon Barrel Aged Horus Imperial Red,Elevator Brewery & Draught Haus,American Amber / Red Ale,12.00 %,Okkara Rinkusteinur,Lompoc Brewing,Barley Wine,9.70 %,"('rtable_Beer_Name',)",['Lompoc Bourbon Barrel Aged Old Tavern Rat'],['Okkara Rinkusteinur'],0.45365411043167114,0.5463458895683289,2
214,Embalmer,Elevator Brewery & Draught Haus,American Amber / Red Ale,9.20 %,Lompoc Bourbon Barrel Aged Old Tavern Rat,Lompoc Brewing,Barley Wine,9.70 %,"('ltable_Beer_Name', 'ltable_ABV')","['Bourbon Barrel Aged Horus Imperial Red', '12.00 %']","['Embalmer', '9.20 %']",0.49759310483932495,0.502406895160675,2
219,Bourbon Barrel Aged Horus Imperial Red,Elevator Brewery & Draught Haus,American Amber / Red Ale,12.00 %,Amicas Infinite Search,Lompoc Brewing,Barley Wine,12 %,"('rtable_Beer_Name', 'rtable_ABV')","['Lompoc Bourbon Barrel Aged Old Tavern Rat', '9.70 %']","['Amicas Infinite Search', '12 %']",0.36089229583740234,0.6391077041625977,2
223,Bourbon Barrel Aged Horus Imperial Red,Elevator Brewery & Draught Haus,American Amber / Red Ale,12.00 %,Abbeydale Epiphany,Abbeydale,Barley Wine,9.70 %,"('rtable_Beer_Name', 'rtable_Brew_Factory_Name')","['Lompoc Bourbon Barrel Aged Old Tavern Rat', 'Lompoc Brewing']","['Abbeydale Epiphany', 'Abbeydale']",0.4909176826477051,0.5090823173522949,2
226,Bourbon Barrel Aged Horus Imperial Red,Elevator Brewery & Draught Haus,American Amber / Red Ale,12.00 %,Okkara Rinkusteinur,Lompoc Brewing,Barley Wine,9.70 %,"('rtable_Beer_Name',)",['Lompoc Bourbon Barrel Aged Old Tavern Rat'],['Okkara Rinkusteinur'],0.44942033290863037,0.5505796670913696,2
227,Bourbon Barrel Aged Horus Imperial Red,Elevator Brewery & Draught Haus,American Amber / Red Ale,12.00 %,Okkara Rinkusteinur,Okkara,Barley Wine,9.70 %,"('rtable_Beer_Name', 'rtable_Brew_Factory_Name')","['Lompoc Bourbon Barrel Aged Old Tavern Rat', 'Lompoc Brewing']","['Okkara Rinkusteinur', 'Okkara']",0.3782327175140381,0.6217672824859619,2
228,Bourbon Barrel Aged Horus Imperial Red,Elevator Brewery & Draught Haus,American Amber / Red Ale,12.00 %,Okkara Rinkusteinur,Lompoc Brewing,Amber Ale,9.70 %,"('rtable_Beer_Name', 'rtable_Style')","['Lompoc Bourbon Barrel Aged Old Tavern Rat', 'Barley Wine']","['Okkara Rinkusteinur', 'Amber Ale']",0.4632612466812134,0.5367387533187866,2
234,Bourbon Barrel Aged Horus Imperial Red,Elevator Brewery & Draught Haus,American Amber / Red Ale,12.00 %,Levrette Bio,Brunehaut,Barley Wine,9.70 %,"('rtable_Beer_Name', 'rtable_Brew_Factory_Name')","['Lompoc Bourbon Barrel Aged Old Tavern Rat', 'Lompoc Brewing']","['Levrette Bio', 'Brunehaut']",0.47303932905197144,0.5269606709480286,2
237,Bourbon Barrel Aged Horus Imperial Red,Elevator Brewery & Draught Haus,American Amber / Red Ale,12.00 %,Abbeydale Serenity,Abbeydale,Barley Wine,9.70 %,"('rtable_Beer_Name', 'rtable_Brew_Factory_Name')","['Lompoc Bourbon Barrel Aged Old Tavern Rat', 'Lompoc Brewing']","['Abbeydale Serenity', 'Abbeydale']",0.4766616225242615,0.5233383774757385,2
241,Bourbon Barrel Aged Horus Imperial Red,Elevator Brewery & Draught Haus,American Amber / Red Ale,12.00 %,Ruosniemen Pikkupomo,Ruosniemen panimo,Barley Wine,9.70 %,"('rtable_Beer_Name', 'rtable_Brew_Factory_Name')","['Lompoc Bourbon Barrel Aged Old Tavern Rat', 'Lompoc Brewing']","['Ruosniemen Pikkupomo', 'Ruosniemen panimo']",0.47370588779449463,0.5262941122055054,2
