,ltable_authors,ltable_title,ltable_venue,ltable_year,rtable_authors,rtable_title,rtable_venue,rtable_year,outcome
0,"malcolm p. atkinson , ronald morrison","lh * - a scalable , distributed data structure",acm trans . database syst .,1996.0,"witold litwin , marie-anna neimat , donovan a. schneider",query unnesting in object-oriented databases,acm transactions on database systems ( tods ),1996.0,0
1,"donovan a. schneider , marie-anne neimat , witold litwin","lh * - a scalable , distributed data structure",acm trans . database syst .,1996.0,"igor tatarinov , zachary ives , jayant madhavan , alon halevy , dan suciu , nilesh dalvi , xin ( luna ) dong , yana kadiyska , gerome miklau , peter mork","lh * - a scalable , distributed data structure",acm transactions on database systems ( tods ),1995.0,0
2,"donovan a. schneider , marie-anne neimat , witold litwin","lh * - a scalable , distributed data structure",acm trans . database syst .,1996.0,"witold litwin , marie-anna neimat , donovan a. schneider",hd-eye : visual clustering of high dimensional data,acm transactions on database systems ( tods ),2001.0,0
3,"tobias mayr , thorsten von eicken , michael w. godfrey , praveen seshadri","lh * - a scalable , distributed data structure",acm trans . database syst .,1996.0,"witold litwin , marie-anna neimat , donovan a. schneider","lh * - a scalable , distributed data structure",very large data bases,1996.0,0
4,"donovan a. schneider , marie-anne neimat , witold litwin",sql/xml is making good progress,acm trans . database syst .,1996.0,"witold litwin , marie-anna neimat , donovan a. schneider",index nesting - an efficient approach to indexing in object-oriented databases,acm transactions on database systems ( tods ),1996.0,0
5,"donovan a. schneider , marie-anne neimat , witold litwin","lh * - a scalable , distributed data structure",acm trans . database syst .,1996.0,"krithi ramamritham , yeha el atfi , carlo batini , michael eitan , valerie gregg , d. b. phatak",dynamic load balancing for parallel association rule mining on heterogenous pc cluster systems,acm transactions on database systems ( tods ),1996.0,0
6,"gerome miklau , jayant madhavan , igor tatarinov , zachary g. ives , xin dong , yana kadiyska , alon y. halevy , nilesh n. dalvi , dan suciu , peter mork","lh * - a scalable , distributed data structure",acm trans . database syst .,1996.0,anant jhingran,"lh * - a scalable , distributed data structure",acm transactions on database systems ( tods ),1996.0,0
7,"donovan a. schneider , marie-anne neimat , witold litwin","lh * - a scalable , distributed data structure",acm trans . database syst .,1997.0,won kim,"lh * - a scalable , distributed data structure",acm transactions on database systems ( tods ),1996.0,0
8,"zhao-hui tang , jean-robert gruser , georges gardarin",a cost model for clustered object-oriented databases,acm trans . database syst .,1996.0,"witold litwin , marie-anna neimat , donovan a. schneider","lh * - a scalable , distributed data structure",acm transactions on database systems ( tods ),1996.0,0
9,"donovan a. schneider , marie-anne neimat , witold litwin","lh * - a scalable , distributed data structure",acm trans . database syst .,2000.0,"witold litwin , marie-anna neimat , donovan a. schneider","lh * - a scalable , distributed data structure",acm transactions on database systems ( tods ),1999.0,0
