,ltable_title,ltable_manufacturer,ltable_price,rtable_title,rtable_manufacturer,rtable_price,outcome
0,adobe photoshop elements 4.0 ( mac ),adobe,549.0,adobe photoshop elements 4.0 photo-editing software for mac,nan,85.95,1
1,adobe photoshop elements 4.0 ( mac ),adobe,89.99,aspyr media inc sims 2 glamour life stuff pack,nan,409.52,1
2,adobe photoshop elements 4.0 ( mac ),microsoft licenses,89.99,adobe photoshop elements 4.0 photo-editing software for mac,sibelius-software-ltd .,85.95,0
3,adobe photoshop elements 4.0 ( mac ),nolo press,89.99,adobe photoshop elements 4.0 photo-editing software for mac,nan,99.99,1
4,adobe photoshop elements 4.0 ( mac ),adobe,89.99,adobe photoshop elements 4.0 photo-editing software for mac,nan,9.59,1
5,adobe photoshop elements 4.0 ( mac ),nolo press,89.99,adobe photoshop elements 4.0 photo-editing software for mac,punch software,85.95,1
6,adobe photoshop elements 4.0 ( mac ),adobe,89.99,adobe illustrator cs3 ( mac ),nan,85.95,1
7,adobe photoshop elements 4.0 ( mac ),adobe,89.99,adobe photoshop elements 4.0 photo-editing software for mac,nan,17.55,1
8,adobe photoshop elements 4.0 ( mac ),adobe,89.99,adobe photoshop elements 4.0 photo-editing software for mac,nan,399.95,1
9,adobe photoshop elements 4.0 ( mac ),adobe,159.98,adobe photoshop elements 4.0 photo-editing software for mac,nan,85.95,1
