,ltable_title,ltable_manufacturer,ltable_price,rtable_title,rtable_manufacturer,rtable_price,alteredAttributes,droppedValues,copiedValues,nomatch_score,match_score,attr_count
0,adobe photoshop elements 4.0 ( mac ),onone software,89.99,adobe photoshop elements 4.0 photo-editing software for mac,,85.95,"('ltable_manufacturer',)",['adobe'],['onone software'],0.11985674,0.8801432,2
29,adobe photoshop elements 4.0 ( mac ),adobe,89.99,adobe photoshop elements 4.0 mac academic,adobe-education-box,85.95,"('rtable_title', 'rtable_manufacturer')","['adobe photoshop elements 4.0 photo-editing software for mac', nan]","['adobe photoshop elements 4.0 mac academic', 'adobe-education-box']",0.094772935,0.90522707,2
28,adobe photoshop elements 4.0 ( mac ),adobe,89.99,adobe photoshop elements 4.0 photo-editing software for mac,,69.99,"('rtable_price',)",[85.95],[69.99],0.2673577,0.7326423,2
27,adobe photoshop elements 4.0 ( mac ),adobe,89.99,adobe photoshop elements 4.0 photo-editing software for mac,adobe-education-box,85.95,"('rtable_manufacturer',)",[nan],['adobe-education-box'],0.44014382,0.55985624,2
26,adobe photoshop elements 4.0 ( mac ),adobe,89.99,adobe photoshop elements 4.0 mac academic,,85.95,"('rtable_title',)",['adobe photoshop elements 4.0 photo-editing software for mac'],['adobe photoshop elements 4.0 mac academic'],0.049361683,0.9506383,2
25,adobe photoshop elements 4.0 ( mac ),smith-micro-software,29.99,adobe photoshop elements 4.0 photo-editing software for mac,,85.95,"('ltable_manufacturer', 'ltable_price')","['adobe', 89.99]","['smith-micro-software', 29.99]",0.10128146,0.89871854,2
24,adobe photoshop elements 4.0 ( mac ),smith-micro-software,89.99,adobe photoshop elements 4.0 photo-editing software for mac,,85.95,"('ltable_manufacturer',)",['adobe'],['smith-micro-software'],0.020390186,0.9796098,2
23,adobe photoshop elements 4.0 ( mac ),onone software,,adobe photoshop elements 4.0 photo-editing software for mac,,85.95,"('ltable_manufacturer', 'ltable_price')","['adobe', 89.99]","['onone software', nan]",0.12153162,0.8784684,2
22,adobe photoshop elements 4.0 ( mac ),adobe,,adobe photoshop elements 4.0 photo-editing software for mac,,85.95,"('ltable_price',)",[89.99],[nan],0.4511155,0.5488846,2
21,adobe photoshop elements 4.0 ( mac ),onone software,89.99,adobe photoshop elements 4.0 photo-editing software for mac,,85.95,"('ltable_manufacturer',)",['adobe'],['onone software'],0.11985674,0.8801432,2
19,photoshop elements 4 mac retail eng 1u ( 19230169 ),adobe,145.39,adobe photoshop elements 4.0 photo-editing software for mac,,85.95,"('ltable_title', 'ltable_price')","['adobe photoshop elements 4.0 ( mac )', 89.99]","['photoshop elements 4 mac retail eng 1u ( 19230169 )', 145.39]",0.31707552,0.68292457,2
18,adobe photoshop elements 4.0 ( mac ),adobe,89.99,adobe photoshop elements 4.0 photo-editing software for mac,,85.95,"('ltable_manufacturer',)",['adobe'],['adobe'],0.38051358,0.6194864,2
17,adobe photoshop elements 4.0 ( mac ),sibelius-software-ltd .,599.99,adobe photoshop elements 4.0 photo-editing software for mac,,85.95,"('ltable_manufacturer', 'ltable_price')","['adobe', 89.99]","['sibelius-software-ltd .', 599.99]",0.0980263,0.9019737,2
16,adobe photoshop elements 4.0 ( mac ),sibelius-software-ltd .,89.99,adobe photoshop elements 4.0 photo-editing software for mac,,85.95,"('ltable_manufacturer',)",['adobe'],['sibelius-software-ltd .'],0.021296745,0.9787032,2
30,adobe photoshop elements 4.0 ( mac ),adobe,89.99,adobe photoshop elements 4.0 mac academic,,69.99,"('rtable_title', 'rtable_price')","['adobe photoshop elements 4.0 photo-editing software for mac', 85.95]","['adobe photoshop elements 4.0 mac academic', 69.99]",0.037307236,0.96269274,2
