,ltable_name,ltable_description,ltable_price,rtable_name,rtable_description,rtable_price,outcome
0,olympus premium slim leather case in black 202087,canon deluxe soft black camera case 0716b001 compatible with canon powershot s2 is black finish,39.95,sony handycam dcr-sr85 digital camcorder dcrsr85,nan,35.99,0
1,omnimount wall speaker mount 20wlbk,canon deluxe soft black camera case 0716b001 compatible with canon powershot s2 is black finish,nan,sony handycam dcr-sr85 digital camcorder dcrsr85,nan,35.99,0
2,omnimount wall speaker mount 20wlbk,canon deluxe soft black camera case 0716b001 compatible with canon powershot s2 is black finish,nan,sony 42in bravia lcd v-series 1080p hdtv kdl42v4100,nan,89.45,0
3,canon deluxe grey leather case 2349b001,canon deluxe soft black camera case 0716b001 compatible with canon powershot s2 is black finish,178.0,canon pixma mx700 multifunction photo printer 2186b002,nan,199.95,0
4,samsung 55 ' series 9 lcd black flat panel hdtv ln55a950,canon deluxe soft black camera case 0716b001 compatible with canon powershot s2 is black finish,39.0,sanus visionmount flat panel tv wall mount vmpl3b,"32 ' atsc , ntsc 16:9 1366 x 768 hdtv",35.99,0
5,panasonic black 8.5 ' portable dvd player dvdls83,sony silver cyber-shot digital camera dscw150 8.1 megapixels 2.7 ' lcd display 15 mb internal memory carl zeiss 5x optical zoom lens 16:9 high-resolution mode 9-point auto focus automatic macro shooting high sensitivity mode burst mode face detection intelligent scene recognition mode in-camera retouching super steadyshot optical image stabilization with anti-blur solution music slideshow hdtv compatibility beginner-friendly function guide silver finish,nan,sanus visionmount flat panel tv wall mount vmpl3b,nan,35.99,0
6,canon deluxe grey leather case 2349b001,canon deluxe soft black camera case 0716b001 compatible with canon powershot s2 is black finish,178.0,canon pixma mx700 multifunction photo printer 2186b002,nan,35.99,0
7,canon deluxe grey leather case 2349b001,canon deluxe soft black camera case 0716b001 compatible with canon powershot s2 is black finish,nan,canon pixma mx700 multifunction photo printer 2186b002,nan,35.99,0
8,omnimount wall speaker mount 20wlbk,canon deluxe soft black camera case 0716b001 compatible with canon powershot s2 is black finish,89.0,sony 42in bravia lcd v-series 1080p hdtv kdl42v4100,nan,89.45,0
9,olympus premium slim leather case in black 202087,"samsung 22 ' black flat panel series 6 lcd hdtv ln22a650 1680 x 1050 true 720p resolution 5,000:1 dynamic contrast ratio srs trusurround xt built-in digital tuner ( atsc/clear qam ) wide color enhancer 8ms response time touch of color design black with red finish",39.95,sony handycam dcr-sr85 digital camcorder dcrsr85,nan,35.99,0
