,ltable_name,ltable_description,ltable_price,rtable_name,rtable_description,rtable_price,alteredAttributes,droppedValues,copiedValues,nomatch_score,match_score,attr_count
0,canon deluxe soft black camera case 0716b001,sony dsch2 soft carrying black camera case lcscsh polypropylene construction extra compartments for accessory storage can hold many sony or other manufacturers digital cameras black finish,,canon psc-4000 deluxe leather case n 3528b001,,35.99,"('ltable_description',)",['canon deluxe soft black camera case 0716b001 compatible with canon powershot s2 is black finish'],['sony dsch2 soft carrying black camera case lcscsh polypropylene construction extra compartments for accessory storage can hold many sony or other manufacturers digital cameras black finish'],0.08644352,0.91355646,2
21,canon deluxe soft black camera case 0716b001,canon deluxe soft black camera case 0716b001 compatible with canon powershot s2 is black finish,,canon psc-4000 deluxe leather case n 3528b001,plastic clear,,"('rtable_description', 'rtable_price')","[nan, 35.99]","['plastic clear', nan]",0.46780312,0.5321968,2
22,canon deluxe soft black camera case 0716b001,canon deluxe soft black camera case 0716b001 compatible with canon powershot s2 is black finish,,canon psc-85 deluxe soft case for the powershot-a650 is and a720 is 2595b002 ( aa ),,35.99,"('rtable_name',)",['canon psc-4000 deluxe leather case n 3528b001'],['canon psc-85 deluxe soft case for the powershot-a650 is and a720 is 2595b002 ( aa )'],0.15204364,0.8479564,2
23,canon deluxe soft black camera case 0716b001,canon deluxe soft black camera case 0716b001 compatible with canon powershot s2 is black finish,,canon psc-4000 deluxe leather case n 3528b001,,35.99,"('rtable_description',)",[nan],[nan],0.21319188,0.7868081,2
24,canon deluxe soft black camera case 0716b001,canon deluxe soft black camera case 0716b001 compatible with canon powershot s2 is black finish,,canon psc-4000 deluxe leather case n 3528b001,,8.77,"('rtable_price',)",[35.99],[8.77],0.41194606,0.58805394,2
25,canon deluxe soft black camera case 0716b001,canon deluxe soft black camera case 0716b001 compatible with canon powershot s2 is black finish,,canon psc-85 deluxe soft case for the powershot-a650 is and a720 is 2595b002 ( aa ),,35.99,"('rtable_name', 'rtable_description')","['canon psc-4000 deluxe leather case n 3528b001', nan]","['canon psc-85 deluxe soft case for the powershot-a650 is and a720 is 2595b002 ( aa )', nan]",0.15204364,0.8479564,2
26,canon deluxe soft black camera case 0716b001,canon deluxe soft black camera case 0716b001 compatible with canon powershot s2 is black finish,,canon psc-85 deluxe soft case for the powershot-a650 is and a720 is 2595b002 ( aa ),,8.77,"('rtable_name', 'rtable_price')","['canon psc-4000 deluxe leather case n 3528b001', 35.99]","['canon psc-85 deluxe soft case for the powershot-a650 is and a720 is 2595b002 ( aa )', 8.77]",0.12670483,0.8732952,2
27,canon deluxe soft black camera case 0716b001,canon deluxe soft black camera case 0716b001 compatible with canon powershot s2 is black finish,,canon psc-4000 deluxe leather case n 3528b001,,8.77,"('rtable_description', 'rtable_price')","[nan, 35.99]","[nan, 8.77]",0.41194606,0.58805394,2
29,sony lcs-twa/b black soft leather carrying case lcstwab,canon deluxe soft black camera case 0716b001 compatible with canon powershot s2 is black finish,,canon psc-4000 deluxe leather case n 3528b001,,35.99,"('ltable_name',)",['canon deluxe soft black camera case 0716b001'],['sony lcs-twa/b black soft leather carrying case lcstwab'],0.49916375,0.50083625,2
30,canon deluxe soft black camera case 0716b001,sony lcs-twa/b black soft leather carrying case lcstwab genuine leather construction compatible with cyber-shot w and t series digital cameras integrated belt loop and magnetic closure black finish,,canon psc-4000 deluxe leather case n 3528b001,,35.99,"('ltable_description',)",['canon deluxe soft black camera case 0716b001 compatible with canon powershot s2 is black finish'],['sony lcs-twa/b black soft leather carrying case lcstwab genuine leather construction compatible with cyber-shot w and t series digital cameras integrated belt loop and magnetic closure black finish'],0.073531985,0.92646796,2
