,label,ltable_title,ltable_category,ltable_brand,ltable_modelno,ltable_price,rtable_title,rtable_category,rtable_brand,rtable_modelno,rtable_price,alteredAttributes,droppedValues,copiedValues,classes,labels,nomatch_score,match_score,attr_count
0,,accell ultraav displayport multi-monitor adapter,electronics - general,accell,b101b-003b,198.35,accell ultraav b101b-003b display port with vga active adapter,,accell,b101b-003b,24.99,"('ltable_modelno',)",['k087b-005b'],['b101b-003b'],1,0,0.0131213395,0.9868787,2
1,,with vga active adapter,electronics - general,accell,k087b-005b,198.35,accell ultraav b101b-003b display port with vga active adapter,,accell,b101b-003b,24.99,"('ltable_title',)",['accell ultraav displayport multi-monitor adapter'],['with vga active adapter'],1,0,0.034009475,0.96599054,2
2,,accell ultraav displayport multi-monitor adapter,electronics - general,accell,b101b-003b,198.35,accell ultraav b101b-003b display port with vga active adapter,,accell,b101b-003b,24.99,"('ltable_modelno',)",['k087b-005b'],['b101b-003b'],1,0,0.0131213395,0.9868787,2
3,,accell ultraav b101b-003b display port with vga,electronics - general,accell,k087b-005b,198.35,accell ultraav b101b-003b display port with vga active adapter,,accell,b101b-003b,24.99,"('ltable_title',)",['accell ultraav displayport multi-monitor adapter'],['accell ultraav b101b-003b display port with vga'],1,0,0.0013578706,0.99864215,2
4,,accell ultraav displayport multi-monitor adapter,electronics - general,accell,b101b-003b,198.35,accell ultraav b101b-003b display port with vga active adapter,,accell,b101b-003b,24.99,"('ltable_modelno',)",['k087b-005b'],['b101b-003b'],1,0,0.0131213395,0.9868787,2
5,,accell ultraav displayport multi-monitor adapter,electronics - general,accell,k087b-005b,198.35,accell ultraav b101b-003b display port with vga active adapter,,accell,k087b-005b,24.99,"('rtable_modelno',)",['b101b-003b'],['k087b-005b'],1,0,0.08857412,0.9114259,2
6,,accell ultraav displayport multi-monitor adapter,electronics - general,accell,k087b-005b,198.35,accell ultraav b101b-003b display port with vga active adapter,,accell,k087b-005b,24.99,"('rtable_modelno',)",['b101b-003b'],['k087b-005b'],1,0,0.08857412,0.9114259,2
7,,accell ultraav displayport multi-monitor adapter,electronics - general,accell,b101b-003b,198.35,accell ultraav b101b-003b display port with vga active adapter,,accell,b101b-003b,24.99,"('ltable_modelno',)",['k087b-005b'],['b101b-003b'],1,0,0.0131213395,0.9868787,2
8,,vga active adapter,electronics - general,accell,k087b-005b,198.35,accell ultraav b101b-003b display port with vga active adapter,,accell,b101b-003b,24.99,"('ltable_title',)",['accell ultraav displayport multi-monitor adapter'],['vga active adapter'],1,0,0.039581742,0.9604182,2
9,,accell ultraav displayport multi-monitor adapter,electronics - general,accell,b101b-003b,198.35,accell ultraav b101b-003b display port with vga active adapter,,accell,b101b-003b,24.99,"('ltable_modelno',)",['k087b-005b'],['b101b-003b'],1,0,0.0131213395,0.9868787,2
10,,display port with vga active adapter,electronics - general,accell,k087b-005b,198.35,accell ultraav b101b-003b display port with vga active adapter,,accell,b101b-003b,24.99,"('ltable_title',)",['accell ultraav displayport multi-monitor adapter'],['display port with vga active adapter'],1,0,0.02275424,0.97724575,2
11,,accell ultraav displayport multi-monitor adapter,electronics - general,accell,b101b-003b,198.35,accell ultraav b101b-003b display port with vga active adapter,,accell,b101b-003b,24.99,"('ltable_modelno',)",['k087b-005b'],['b101b-003b'],1,0,0.0131213395,0.9868787,2
12,,ultraav b101b-003b display port with vga active adapter,electronics - general,accell,k087b-005b,198.35,accell ultraav b101b-003b display port with vga active adapter,,accell,b101b-003b,24.99,"('ltable_title',)",['accell ultraav displayport multi-monitor adapter'],['ultraav b101b-003b display port with vga active adapter'],1,0,0.0014192484,0.9985808,2
13,,accell ultraav displayport multi-monitor adapter,electronics - general,accell,b101b-003b,198.35,accell ultraav b101b-003b display port with vga active adapter,,accell,b101b-003b,24.99,"('ltable_modelno',)",['k087b-005b'],['b101b-003b'],1,0,0.013121333,0.9868787,2
