,ltable_Beer_Name,ltable_Brew_Factory_Name,ltable_Style,ltable_ABV,rtable_Beer_Name,rtable_Brew_Factory_Name,rtable_Style,rtable_ABV,alteredAttributes,droppedValues,copiedValues,nomatch_score,match_score,attr_count
0,Ruby Red American Ale,Fat Bottom Brewing,American Amber / Red Ale,6.10 %,Blue Point Bourbon Barrel-Aged Winter Ale,Black Shirt Brewing Company,American Strong Ale,7.09 %,"('rtable_Beer_Name',)",['Black Shirt American India Red Ale'],['Blue Point Bourbon Barrel-Aged Winter Ale'],0.13192235,0.8680777,2
73,Ruby Red American Ale,Fat Bottom Brewing,American Amber / Red Ale,6.10 %,Black Shirt American India Red Ale,603 Brewery,Amber Ale,7.09 %,"('rtable_Brew_Factory_Name', 'rtable_Style')","['Black Shirt Brewing Company', 'American Strong Ale']","['603 Brewery', 'Amber Ale']",0.26014164,0.7398583,2
72,Ruby Red American Ale,Fat Bottom Brewing,American Amber / Red Ale,6.10 %,603 Winni Ale,Black Shirt Brewing Company,Amber Ale,7.09 %,"('rtable_Beer_Name', 'rtable_Style')","['Black Shirt American India Red Ale', 'American Strong Ale']","['603 Winni Ale', 'Amber Ale']",0.46513888,0.53486115,2
71,Ruby Red American Ale,Fat Bottom Brewing,American Amber / Red Ale,6.10 %,Black Shirt American India Red Ale,Black Shirt Brewing Company,American Strong Ale,6.50 %,"('rtable_ABV',)",['7.09 %'],['6.50 %'],0.1661544,0.8338456,2
70,Ruby Red American Ale,Fat Bottom Brewing,American Amber / Red Ale,6.10 %,Black Shirt American India Red Ale,Black Shirt Brewing Company,Amber Ale,7.09 %,"('rtable_Style',)",['American Strong Ale'],['Amber Ale'],0.21917161,0.78082836,2
69,Ruby Red American Ale,Fat Bottom Brewing,American Amber / Red Ale,6.10 %,Black Shirt American India Red Ale,603 Brewery,American Strong Ale,7.09 %,"('rtable_Brew_Factory_Name',)",['Black Shirt Brewing Company'],['603 Brewery'],0.26072213,0.73927784,2
64,Ruby Red American Ale,Freedom 's Edge Brewing Co. .,American Amber / Red Ale,7.50 %,Black Shirt American India Red Ale,Black Shirt Brewing Company,American Strong Ale,7.09 %,"('ltable_Brew_Factory_Name', 'ltable_ABV')","['Fat Bottom Brewing', '6.10 %']","[""Freedom 's Edge Brewing Co. ."", '7.50 %']",0.21486928,0.7851307,2
63,Ruby Red American Ale,Freedom 's Edge Brewing Co. .,American Amber / Red Ale,6.10 %,Black Shirt American India Red Ale,Black Shirt Brewing Company,American Strong Ale,7.09 %,"('ltable_Brew_Factory_Name', 'ltable_Style')","['Fat Bottom Brewing', 'American Amber / Red Ale']","[""Freedom 's Edge Brewing Co. ."", 'American Amber / Red Ale']",0.0768628,0.92313725,2
62,Magnitude Imperial Red,Fat Bottom Brewing,American Amber / Red Ale,6.10 %,Black Shirt American India Red Ale,Black Shirt Brewing Company,American Strong Ale,7.09 %,"('ltable_Beer_Name', 'ltable_Style')","['Ruby Red American Ale', 'American Amber / Red Ale']","['Magnitude Imperial Red', 'American Amber / Red Ale']",0.09710474,0.90289533,2
61,Magnitude Imperial Red,Freedom 's Edge Brewing Co. .,American Amber / Red Ale,6.10 %,Black Shirt American India Red Ale,Black Shirt Brewing Company,American Strong Ale,7.09 %,"('ltable_Beer_Name', 'ltable_Brew_Factory_Name')","['Ruby Red American Ale', 'Fat Bottom Brewing']","['Magnitude Imperial Red', ""Freedom 's Edge Brewing Co. .""]",0.04918479,0.9508152,2
60,Ruby Red American Ale,Fat Bottom Brewing,American Amber / Red Ale,6.10 %,Black Shirt American India Red Ale,Black Shirt Brewing Company,American Strong Ale,7.09 %,"('ltable_Style',)",['American Amber / Red Ale'],['American Amber / Red Ale'],0.1757279,0.8242721,2
59,Ruby Red American Ale,Freedom 's Edge Brewing Co. .,American Amber / Red Ale,6.10 %,Black Shirt American India Red Ale,Black Shirt Brewing Company,American Strong Ale,7.09 %,"('ltable_Brew_Factory_Name',)",['Fat Bottom Brewing'],"[""Freedom 's Edge Brewing Co. .""]",0.0768628,0.92313725,2
58,Magnitude Imperial Red,Fat Bottom Brewing,American Amber / Red Ale,6.10 %,Black Shirt American India Red Ale,Black Shirt Brewing Company,American Strong Ale,7.09 %,"('ltable_Beer_Name',)",['Ruby Red American Ale'],['Magnitude Imperial Red'],0.09710474,0.90289533,2
53,Ruby Red American Ale,Fat Bottom Brewing,American Barleywine,11.00 %,Black Shirt American India Red Ale,Black Shirt Brewing Company,American Strong Ale,7.09 %,"('ltable_Style', 'ltable_ABV')","['American Amber / Red Ale', '6.10 %']","['American Barleywine', '11.00 %']",0.09006976,0.9099303,2
52,Ruby Red American Ale,Beer Here,American Amber / Red Ale,11.00 %,Black Shirt American India Red Ale,Black Shirt Brewing Company,American Strong Ale,7.09 %,"('ltable_Brew_Factory_Name', 'ltable_ABV')","['Fat Bottom Brewing', '6.10 %']","['Beer Here', '11.00 %']",0.23450986,0.7654902,2
51,Ruby Red American Ale,Beer Here,American Barleywine,6.10 %,Black Shirt American India Red Ale,Black Shirt Brewing Company,American Strong Ale,7.09 %,"('ltable_Brew_Factory_Name', 'ltable_Style')","['Fat Bottom Brewing', 'American Amber / Red Ale']","['Beer Here', 'American Barleywine']",0.057926957,0.942073,2
49,Farligwine,Beer Here,American Amber / Red Ale,6.10 %,Black Shirt American India Red Ale,Black Shirt Brewing Company,American Strong Ale,7.09 %,"('ltable_Beer_Name', 'ltable_Brew_Factory_Name')","['Ruby Red American Ale', 'Fat Bottom Brewing']","['Farligwine', 'Beer Here']",0.14094195,0.859058,2
48,Ruby Red American Ale,Fat Bottom Brewing,American Barleywine,6.10 %,Black Shirt American India Red Ale,Black Shirt Brewing Company,American Strong Ale,7.09 %,"('ltable_Style',)",['American Amber / Red Ale'],['American Barleywine'],0.020422008,0.97957796,2
74,Ruby Red American Ale,Fat Bottom Brewing,American Amber / Red Ale,6.10 %,Black Shirt American India Red Ale,603 Brewery,American Strong Ale,6.50 %,"('rtable_Brew_Factory_Name', 'rtable_ABV')","['Black Shirt Brewing Company', '7.09 %']","['603 Brewery', '6.50 %']",0.20098564,0.79901433,2
47,Ruby Red American Ale,Beer Here,American Amber / Red Ale,6.10 %,Black Shirt American India Red Ale,Black Shirt Brewing Company,American Strong Ale,7.09 %,"('ltable_Brew_Factory_Name',)",['Fat Bottom Brewing'],['Beer Here'],0.10416277,0.8958372,2
75,Ruby Red American Ale,Fat Bottom Brewing,American Amber / Red Ale,6.10 %,Black Shirt American India Red Ale,Black Shirt Brewing Company,Amber Ale,6.50 %,"('rtable_Style', 'rtable_ABV')","['American Strong Ale', '7.09 %']","['Amber Ale', '6.50 %']",0.12699991,0.8730001,2
78,Ruby Red American Ale,Fat Bottom Brewing,American Amber / Red Ale,6.10 %,Black Shirt American India Red Ale,Columbia Kettle Works,American Strong Ale,7.09 %,"('rtable_Brew_Factory_Name',)",['Black Shirt Brewing Company'],['Columbia Kettle Works'],0.29238823,0.70761174,2
96,Ruby Red American Ale,Fat Bottom Brewing,American Barleywine,12.25 %,Black Shirt American India Red Ale,Black Shirt Brewing Company,American Strong Ale,7.09 %,"('ltable_Style', 'ltable_ABV')","['American Amber / Red Ale', '6.10 %']","['American Barleywine', '12.25 %']",0.030607136,0.96939284,2
95,Ruby Red American Ale,NÃ ¸ rrebro Bryghus,American Amber / Red Ale,12.25 %,Black Shirt American India Red Ale,Black Shirt Brewing Company,American Strong Ale,7.09 %,"('ltable_Brew_Factory_Name', 'ltable_ABV')","['Fat Bottom Brewing', '6.10 %']","['NÃ ¸ rrebro Bryghus', '12.25 %']",0.29223368,0.70776635,2
94,Ruby Red American Ale,NÃ ¸ rrebro Bryghus,American Barleywine,6.10 %,Black Shirt American India Red Ale,Black Shirt Brewing Company,American Strong Ale,7.09 %,"('ltable_Brew_Factory_Name', 'ltable_Style')","['Fat Bottom Brewing', 'American Amber / Red Ale']","['NÃ ¸ rrebro Bryghus', 'American Barleywine']",0.050858293,0.9491417,2
93,Little Korkny Ale,Fat Bottom Brewing,American Barleywine,6.10 %,Black Shirt American India Red Ale,Black Shirt Brewing Company,American Strong Ale,7.09 %,"('ltable_Beer_Name', 'ltable_Style')","['Ruby Red American Ale', 'American Amber / Red Ale']","['Little Korkny Ale', 'American Barleywine']",0.29079214,0.7092079,2
92,Little Korkny Ale,NÃ ¸ rrebro Bryghus,American Amber / Red Ale,6.10 %,Black Shirt American India Red Ale,Black Shirt Brewing Company,American Strong Ale,7.09 %,"('ltable_Beer_Name', 'ltable_Brew_Factory_Name')","['Ruby Red American Ale', 'Fat Bottom Brewing']","['Little Korkny Ale', 'NÃ ¸ rrebro Bryghus']",0.20498547,0.79501456,2
91,Ruby Red American Ale,Fat Bottom Brewing,American Barleywine,6.10 %,Black Shirt American India Red Ale,Black Shirt Brewing Company,American Strong Ale,7.09 %,"('ltable_Style',)",['American Amber / Red Ale'],['American Barleywine'],0.020421999,0.97957796,2
90,Ruby Red American Ale,NÃ ¸ rrebro Bryghus,American Amber / Red Ale,6.10 %,Black Shirt American India Red Ale,Black Shirt Brewing Company,American Strong Ale,7.09 %,"('ltable_Brew_Factory_Name',)",['Fat Bottom Brewing'],['NÃ ¸ rrebro Bryghus'],0.11435264,0.88564736,2
89,Ruby Red American Ale,Granite Falls Brewing Co. .,American Amber / Red Ale,6.10 %,Black Shirt American India Red Ale,Black Shirt Brewing Company,American Strong Ale,7.09 %,"('ltable_Brew_Factory_Name', 'ltable_Style')","['Fat Bottom Brewing', 'American Amber / Red Ale']","['Granite Falls Brewing Co. .', 'American Amber / Red Ale']",0.42215547,0.57784456,2
88,Ruby Red American Ale,Fat Bottom Brewing,American Amber / Red Ale,6.10 %,Black Shirt American India Red Ale,Black Shirt Brewing Company,American Strong Ale,7.09 %,"('ltable_Style',)",['American Amber / Red Ale'],['American Amber / Red Ale'],0.1757279,0.8242721,2
87,Ruby Red American Ale,Granite Falls Brewing Co. .,American Amber / Red Ale,6.10 %,Black Shirt American India Red Ale,Black Shirt Brewing Company,American Strong Ale,7.09 %,"('ltable_Brew_Factory_Name',)",['Fat Bottom Brewing'],['Granite Falls Brewing Co. .'],0.4221556,0.57784444,2
85,Ruby Red American Ale,Fat Bottom Brewing,American Amber / Red Ale,6.10 %,Black Shirt American India Red Ale,Black Shirt Brewing Company,Amber Ale,6.30 %,"('rtable_Style', 'rtable_ABV')","['American Strong Ale', '7.09 %']","['Amber Ale', '6.30 %']",0.38702255,0.6129775,2
84,Ruby Red American Ale,Fat Bottom Brewing,American Amber / Red Ale,6.10 %,Black Shirt American India Red Ale,Columbia Kettle Works,American Strong Ale,6.30 %,"('rtable_Brew_Factory_Name', 'rtable_ABV')","['Black Shirt Brewing Company', '7.09 %']","['Columbia Kettle Works', '6.30 %']",0.35082784,0.6491722,2
83,Ruby Red American Ale,Fat Bottom Brewing,American Amber / Red Ale,6.10 %,Black Shirt American India Red Ale,Columbia Kettle Works,Amber Ale,7.09 %,"('rtable_Brew_Factory_Name', 'rtable_Style')","['Black Shirt Brewing Company', 'American Strong Ale']","['Columbia Kettle Works', 'Amber Ale']",0.20379391,0.7962061,2
82,Ruby Red American Ale,Fat Bottom Brewing,American Amber / Red Ale,6.10 %,Columbia Kettle Works Bald Guy,Black Shirt Brewing Company,American Strong Ale,6.30 %,"('rtable_Beer_Name', 'rtable_ABV')","['Black Shirt American India Red Ale', '7.09 %']","['Columbia Kettle Works Bald Guy', '6.30 %']",0.4535548,0.5464452,2
81,Ruby Red American Ale,Fat Bottom Brewing,American Amber / Red Ale,6.10 %,Columbia Kettle Works Bald Guy,Black Shirt Brewing Company,Amber Ale,7.09 %,"('rtable_Beer_Name', 'rtable_Style')","['Black Shirt American India Red Ale', 'American Strong Ale']","['Columbia Kettle Works Bald Guy', 'Amber Ale']",0.13267761,0.86732244,2
80,Ruby Red American Ale,Fat Bottom Brewing,American Amber / Red Ale,6.10 %,Black Shirt American India Red Ale,Black Shirt Brewing Company,American Strong Ale,6.30 %,"('rtable_ABV',)",['7.09 %'],['6.30 %'],0.42457584,0.5754242,2
79,Ruby Red American Ale,Fat Bottom Brewing,American Amber / Red Ale,6.10 %,Black Shirt American India Red Ale,Black Shirt Brewing Company,Amber Ale,7.09 %,"('rtable_Style',)",['American Strong Ale'],['Amber Ale'],0.21917161,0.78082836,2
77,Ruby Red American Ale,Fat Bottom Brewing,American Amber / Red Ale,6.10 %,Columbia Kettle Works Bald Guy,Black Shirt Brewing Company,American Strong Ale,7.09 %,"('rtable_Beer_Name',)",['Black Shirt American India Red Ale'],['Columbia Kettle Works Bald Guy'],0.16599019,0.83400977,2
46,Farligwine,Fat Bottom Brewing,American Amber / Red Ale,6.10 %,Black Shirt American India Red Ale,Black Shirt Brewing Company,American Strong Ale,7.09 %,"('ltable_Beer_Name',)",['Ruby Red American Ale'],['Farligwine'],0.11282953,0.88717043,2
50,Farligwine,Fat Bottom Brewing,American Barleywine,6.10 %,Black Shirt American India Red Ale,Black Shirt Brewing Company,American Strong Ale,7.09 %,"('ltable_Beer_Name', 'ltable_Style')","['Ruby Red American Ale', 'American Amber / Red Ale']","['Farligwine', 'American Barleywine']",0.23600127,0.7639987,2
24,Ruby Red American Ale,Fat Bottom Brewing,American Amber / Red Ale,5.20 %,Black Shirt American India Red Ale,Black Shirt Brewing Company,American Strong Ale,7.09 %,"('ltable_ABV',)",['6.10 %'],['5.20 %'],0.29882342,0.7011766,2
16,Ruby Red American Ale,Fat Bottom Brewing,American Amber / Red Ale,6.10 %,Maku Amber Ale,Maku Brewing,American Strong Ale,7.09 %,"('rtable_Beer_Name', 'rtable_Brew_Factory_Name')","['Black Shirt American India Red Ale', 'Black Shirt Brewing Company']","['Maku Amber Ale', 'Maku Brewing']",0.25342128,0.74657875,2
15,Ruby Red American Ale,Fat Bottom Brewing,American Amber / Red Ale,6.10 %,Black Shirt American India Red Ale,Black Shirt Brewing Company,Amber Ale,7.09 %,"('rtable_Style',)",['American Strong Ale'],['Amber Ale'],0.21917161,0.78082836,2
22,Ruby Red American Ale,Barrier Brewing Company,American Amber / Red Ale,6.10 %,Black Shirt American India Red Ale,Black Shirt Brewing Company,American Strong Ale,7.09 %,"('ltable_Brew_Factory_Name',)",['Fat Bottom Brewing'],['Barrier Brewing Company'],0.14363591,0.85636413,2
23,Ruby Red American Ale,Fat Bottom Brewing,American Amber / Red Ale,6.10 %,Black Shirt American India Red Ale,Black Shirt Brewing Company,American Strong Ale,7.09 %,"('ltable_Style',)",['American Amber / Red Ale'],['American Amber / Red Ale'],0.1757279,0.8242721,2
41,Ruby Red American Ale,Fat Bottom Brewing,American Amber / Red Ale,7.20 %,Black Shirt American India Red Ale,Black Shirt Brewing Company,American Strong Ale,7.09 %,"('ltable_Style', 'ltable_ABV')","['American Amber / Red Ale', '6.10 %']","['American Amber / Red Ale', '7.20 %']",0.4720871,0.5279129,2
25,Calm It,Barrier Brewing Company,American Amber / Red Ale,6.10 %,Black Shirt American India Red Ale,Black Shirt Brewing Company,American Strong Ale,7.09 %,"('ltable_Beer_Name', 'ltable_Brew_Factory_Name')","['Ruby Red American Ale', 'Fat Bottom Brewing']","['Calm It', 'Barrier Brewing Company']",0.36133942,0.63866055,2
26,Ruby Red American Ale,Barrier Brewing Company,American Amber / Red Ale,6.10 %,Black Shirt American India Red Ale,Black Shirt Brewing Company,American Strong Ale,7.09 %,"('ltable_Brew_Factory_Name', 'ltable_Style')","['Fat Bottom Brewing', 'American Amber / Red Ale']","['Barrier Brewing Company', 'American Amber / Red Ale']",0.1436358,0.8563642,2
