,ltable_title,ltable_manufacturer,ltable_price,rtable_title,rtable_manufacturer,rtable_price,outcome
0,quicken legal business pro 2007,nolo press,79.99,scrapbook designer platinum,nan,83.99,0
1,punch ! master landscape & home design,nolo press,79.99,web easy ( r ) professional 6,nan,83.99,1
2,sony acid pro 6 professional music workstation,apple,79.99,palo alto business plan pro 2007,nan,83.99,1
3,quicken legal business pro 2007,nolo press,79.99,palo alto business plan pro 2007,riverdeep-learning-company,199.95,1
4,quicken legal business pro 2007,phantom efx,79.99,palo alto business plan pro 2007,nan,99.99,1
5,quicken legal business pro 2007,nolo press,79.99,palo alto business plan pro 2007,nan,39.99,1
6,quicken legal business pro 2007,nolo press,129.99,palo alto business plan pro 2007,sibelius-software-ltd .,83.99,1
7,adobe flash pro cs3 upgrade [ mac ],nolo press,449.99,palo alto business plan pro 2007,nan,83.99,1
8,quicken legal business pro 2007,nolo press,24.99,palo alto business plan pro 2007,nan,9.59,1
9,quicken legal business pro 2007,microsoft,79.95,palo alto business plan pro 2007,nan,83.99,1
