,ltable_Beer_Name,ltable_Brew_Factory_Name,ltable_Style,ltable_ABV,rtable_Beer_Name,rtable_Brew_Factory_Name,rtable_Style,rtable_ABV,outcome
0,Real McCoy Amber Ale,Mammoth Brewing Company,American Amber / Red Ale,4.50 %,Big Time Lift Ticket American Red Ale,Mammoth Brewing Company,Spice/Herb/Vegetable,4.50 %,0
1,Bushfire American Red,Due South Brewing Co. .,American Amber / Red Ale,4.50 %,Mammoth Real McCoy Amber Ale,Mammoth Brewing Company,Altbier,4.50 %,0
2,Real McCoy Amber Ale,Mammoth Brewing Company,American Amber / Red Ale,4.50 %,Big Time Lift Ticket American Red Ale,Mammoth Brewing Company,Altbier,4.50 %,0
3,Real McCoy Amber Ale,Mammoth Brewing Company,American Amber / Red Ale,4.50 %,Big Island Red Giant Ale,Mammoth Brewing Company,Imperial IPA,4.50 %,0
4,Rocket City Red,Central City Brewers + Distillers,American Amber / Red Ale,4.50 %,Mammoth Real McCoy Amber Ale,Mammoth Brewing Company,Altbier,4.50 %,0
5,Inception Series - Runnin ' With The Devil,Mammoth Brewing Company,American Amber / Red Ale,4.50 %,Mammoth Real McCoy Amber Ale,Mammoth Brewing Company,India Pale Ale &#40; IPA &#41;,4.50 %,0
6,Real McCoy Amber Ale,Mammoth Brewing Company,American Amber / Red Ale,4.50 %,Sick N Twisted Pleasure Victim Amber Ale,Mammoth Brewing Company,Premium Bitter/ESB,4.50 %,0
7,Rocket City Red,Mammoth Brewing Company,American Barleywine,4.50 %,Mammoth Real McCoy Amber Ale,Mammoth Brewing Company,Altbier,4.50 %,0
8,Main Street Amber Ale,Central City Brewers + Distillers,American Amber / Red Ale,4.50 %,Mammoth Real McCoy Amber Ale,Mammoth Brewing Company,Altbier,4.50 %,0
9,Inception Series - Runnin ' With The Devil,Mammoth Brewing Company,American Amber / Red Ale,4.50 %,Mammoth Real McCoy Amber Ale,Mammoth Brewing Company,Altbier,4.50 %,0
