,ltable_Beer_Name,ltable_Brew_Factory_Name,ltable_Style,ltable_ABV,rtable_Beer_Name,rtable_Brew_Factory_Name,rtable_Style,rtable_ABV,outcome
0,Hop Around Imperial Red Ale,Big Bay Brewing Co. .,American Amber / Red Ale,8.70 %,Marble Imperial Red Ale,Marble Brewery,American Strong Ale,6 %,1
1,Hop Around Imperial Red Ale,Big Bay Brewing Co. .,American Amber / Red Ale,9.00 %,Three Heads Buffalo Soul Jah Imperial Red Ale,Marble Brewery,American Strong Ale,10 %,1
2,Hop Around Imperial Red Ale,Great Northern Brewing Co. / Black Star Draught House,American Amber / Red Ale,9.00 %,Marble Imperial Red Ale,Baranof Island Brewing Company,American Strong Ale,9 %,1
3,Hop Around Imperial Red Ale,Nebraska Brewing Company,American Amber / Red Ale,9.00 %,Marble Imperial Red Ale,Marble Brewery,American Strong Ale,9 %,1
4,Buffalo Soul Jah Imperial Red Ale,Big Bay Brewing Co. .,American Amber / Red Ale,9.00 %,Marble Imperial Red Ale,Salty Nut Brewery,American Strong Ale,9 %,1
5,Hop Around Imperial Red Ale,Big Bay Brewing Co. .,American Amber / Red Ale,9.00 %,Bainbridge Island Arrow Point Amber,Ballast Point Brewing Company,American Strong Ale,9 %,1
6,Hop Around Imperial Red Ale,Elevator Brewery & Draught Haus,American Amber / Red Ale,9.70 %,Marble Imperial Red Ale,Marble Brewery,American Strong Ale,9 %,1
7,Hop Around Imperial Red Ale,Black Acre Brewing Co. .,American Amber / Red Ale,9.00 %,Alley Kat Rocky Mountain Red Ale &#40; The Cheesecake Cafe &#41;,Marble Brewery,American Strong Ale,9 %,1
8,Red Headed Slut Amber Ale,Big Bay Brewing Co. .,American Amber / Red Ale,9.00 %,Marble Imperial Red Ale,Marble Brewery,American Strong Ale,9 %,1
9,Hop Around Imperial Red Ale,Big Bay Brewing Co. .,American Barleywine,9.00 %,Marble Imperial Red Ale,Big Bear Lake Brewing Company,American Strong Ale,9 %,1
