,ltable_title,ltable_category,ltable_brand,ltable_modelno,ltable_price,rtable_title,rtable_category,rtable_brand,rtable_modelno,rtable_price,alteredAttributes,droppedValues,copiedValues,nomatch_score,match_score,attr_count
0,hp q3675a image transfer kit hp 194.84,printers,,,,hewlett packard q3675a image transfer kit for hp color laserjet 4650 hp,cleaning repair,,q3675a,,"('ltable_modelno',)",['q3675a'],[nan],0.9307605102658272,0.06923948973417282,2
1,hp q3675a image transfer kit hp 194.84,printers,,,,hewlett packard q3675a image transfer kit for hp color laserjet 4650 hp,cleaning repair,,q3675a,,"('ltable_modelno',)",['q3675a'],[nan],0.9429640211164951,0.05703597888350487,2
2,hp q3675a image transfer kit hp 194.84,printers,,,,hewlett packard q3675a image transfer kit for hp color laserjet 4650 hp,cleaning repair,,q3675a,,"('ltable_modelno',)",['q3675a'],[nan],0.9365618079900742,0.06343819200992584,2
3,hp q3675a image transfer kit hp 194.84,printers,,33-0525-05,,hewlett packard q3675a image transfer kit for hp color laserjet 4650 hp,cleaning repair,,q3675a,,"('ltable_modelno',)",['q3675a'],['33-0525-05'],0.9535828717052937,0.046417128294706345,2
4,hp q3675a image transfer kit hp 194.84,printers,,,,hewlett packard q3675a image transfer kit for hp color laserjet 4650 hp,cleaning repair,,q3675a,,"('ltable_modelno',)",['q3675a'],[nan],0.9427160359919071,0.05728396400809288,2
5,hp q3675a image transfer kit hp 194.84,printers,,q3675a,,hewlett packard q3675a image transfer kit for hp color laserjet 4650 hp,cleaning repair,,sf680-s,,"('rtable_modelno',)",['q3675a'],['sf680-s'],0.9483654201030731,0.05163457989692688,2
6,hp q3675a image transfer kit hp 194.84,printers,,q3675a,,hewlett packard q3675a image transfer kit for hp color laserjet 4650 hp,cleaning repair,,,,"('rtable_modelno',)",['q3675a'],[nan],0.9554225876927376,0.04457741230726242,2
7,hp q3675a image transfer kit hp 194.84,printers,,q3675a,,hewlett packard q3675a image transfer kit for hp color laserjet 4650 hp,cleaning repair,,,,"('rtable_modelno',)",['q3675a'],[nan],0.9527015089988708,0.04729849100112915,2
8,hp q3675a image transfer kit hp 194.84,printers,,q3675a,,hewlett packard q3675a image transfer kit for hp color laserjet 4650 hp,cleaning repair,,plmrw65,,"('rtable_modelno',)",['q3675a'],['plmrw65'],0.9525436535477638,0.047456346452236176,2
9,hp q3675a image transfer kit hp 194.84,printers,,q3675a,,hewlett packard q3675a image transfer kit for hp color laserjet 4650 hp,cleaning repair,,,,"('rtable_modelno',)",['q3675a'],[nan],0.9512970559298992,0.048702944070100784,2
