,ltable_brand,ltable_category,ltable_modelno,ltable_price,ltable_title,rtable_brand,rtable_category,rtable_modelno,rtable_price,rtable_title,outcome
0,nan,printers,q3675a,nan,hp q3675a image transfer kit hp 194.84,nan,cleaning repair,icon4-blk,nan,hewlett packard q3675a image transfer kit for hp color laserjet 4650 hp,0
1,nan,printers,q3675a,nan,hp q3675a image transfer kit hp 194.84,nan,cleaning repair,nan,nan,uniden slimline corded phone with cid cw - un-1260bk uniden,0
2,nan,printers,hx-mta64da / g42,nan,hp q3675a image transfer kit hp 194.84,nan,cleaning repair,q3675a,nan,balt inc. wheasel easel adjustable melamine dry erase board 28 3 4 x 59 1 2 white laminating supplies,0
3,nan,printers,q3675a,nan,hp q3675a image transfer kit hp 194.84,nan,cleaning repair,tricool 120mm,nan,hewlett packard q3675a image transfer kit for hp color laserjet 4650 hp,0
4,ep memory,printers,q3675a,nan,hp q3675a image transfer kit hp 194.84,nan,cleaning repair,01g-p3-1452-tr,nan,hewlett packard q3675a image transfer kit for hp color laserjet 4650 hp,0
5,nan,printers,m552pink,nan,hp q3675a image transfer kit hp 194.84,nan,cleaning repair,q3675a,nan,lacie rikiki 320 gb usb 2.0 portable external hard drive 301908 lacie 301908,0
6,nan,printers,q3675a,nan,hp q3675a image transfer kit hp 194.84,nan,cleaning repair,gb01959,nan,hewlett packard q3675a image transfer kit for hp color laserjet 4650 hp,0
7,nan,printers,hd527b3,nan,hp q3675a image transfer kit hp 194.84,nan,bags cases,q3675a,nan,hewlett packard q3675a image transfer kit for hp color laserjet 4650 hp,0
8,nan,printers,q3675a,nan,hp q3675a image transfer kit hp 194.84,nan,cleaning repair,q3675a,65.0,netgear fs605na 5-port fast ethernet switch netgear fs605na 21.99,1
9,nan,printers,ts-a1674r,nan,hp q3675a image transfer kit hp 194.84,nan,cleaning repair,1252972,nan,hewlett packard q3675a image transfer kit for hp color laserjet 4650 hp,0
