,ltable_title,ltable_category,ltable_brand,ltable_modelno,ltable_price,rtable_title,rtable_category,rtable_brand,rtable_modelno,rtable_price,outcome
0,srs labs analog rca volume leveler,tv accessories,srs labs,p-sdhc4g4-ef,59.99,new-uniden d1660 dect 6.0 cordless phone system with call waiting caller id single-handset system - unnd1660,accessories,srs,nan,65.0,0
1,srs labs analog rca volume leveler,tv accessories,srs labs,99712,59.99,da-lite carpeted picture king with keystone eliminator - projection screen with tripod - 1 1 - matte white - black,accessories,srs,nan,65.0,1
2,srs labs analog rca volume leveler,tv accessories,srs labs,dct6s,32.88,new-uniden d1660 dect 6.0 cordless phone system with call waiting caller id single-handset system - unnd1660,accessories,srs,nan,65.0,1
3,srs labs analog rca volume leveler,tv accessories,srs labs,dct6s,59.99,new-uniden d1660 dect 6.0 cordless phone system with call waiting caller id single-handset system - unnd1660,accessories,motion systems,nan,65.0,0
4,srs labs analog rca volume leveler,tv accessories,srs labs,dct6s,59.99,da-lite carpeted picture king with keystone eliminator - projection screen with tripod - 1 1 - matte white - black,accessories,srs,nan,65.0,1
5,srs labs analog rca volume leveler,tv accessories,srs labs,dct6s,59.99,tops 74111 - second nature subject wirebound notebook college rule ltr we 80 sheets,accessories,srs,nan,65.0,0
6,srs labs analog rca volume leveler,tv accessories,samsung,dct6s,59.99,tops 74111 - second nature subject wirebound notebook college rule ltr we 80 sheets,accessories,srs,nan,65.0,0
7,srs labs analog rca volume leveler,tv accessories,srs labs,hd527b3,59.99,new-uniden d1660 dect 6.0 cordless phone system with call waiting caller id single-handset system - unnd1660,accessories,srs,nan,65.0,1
8,srs labs analog rca volume leveler,tv accessories,srs labs,dct6s,59.99,new-uniden d1660 dect 6.0 cordless phone system with call waiting caller id single-handset system - unnd1660,accessories,srs,gb01959,65.0,1
9,srs labs analog rca volume leveler,tv accessories,srs labs,dct6s,249.99,new-tops 73505 - notebook w red cover narrow rule 5-1 2 x 8-1 2 white 100 sheets pad - top73505,accessories,srs,nan,65.0,0
