,ltable_brand,ltable_category,ltable_modelno,ltable_price,ltable_title,rtable_brand,rtable_category,rtable_modelno,rtable_price,rtable_title,outcome
0,nan,nan,nan,39.84,epson t068120-d2 dual black ink cartridge printers epson epson t068120-d2,nan,inkjet printer ink,nan,24.09,epson t048220 cyan ink cartridge epson,1
1,nan,nan,nan,39.84,epson t068120-d2 dual black ink cartridge printers epson epson t068120-d2,nan,switches,nan,9.99,epson t048220 cyan ink cartridge epson,1
2,atrend,nan,nan,39.84,epson t068120-d2 dual black ink cartridge printers epson epson t068120-d2,kingston,inkjet printer ink,nan,9.99,epson t048220 cyan ink cartridge epson,1
3,atrend,nan,nan,39.84,epson t068120-d2 dual black ink cartridge printers epson epson t068120-d2,nan,inkjet printer ink,nan,9.99,epson t048220 cyan ink cartridge epson,1
4,nan,nan,nan,39.84,epson t068120-d2 dual black ink cartridge printers epson epson t068120-d2,nan,inkjet printer ink,nan,24.09,san francisco 49ers ipod touch 4g hard case tribeca,1
5,nan,hard drives,nan,24.94,epson t068120-d2 dual black ink cartridge printers epson epson t068120-d2,nan,inkjet printer ink,nan,9.99,epson t048220 cyan ink cartridge epson,1
6,nan,memory,nan,39.84,epson t068120-d2 dual black ink cartridge printers epson epson t068120-d2,nan,inkjet printer ink,nan,9.99,antec tricool case fan tricool 120mm 11.19,1
7,nan,nan,nan,39.84,epson t068120-d2 dual black ink cartridge printers epson epson t068120-d2,oki,inkjet printer ink,nan,9.99,epson t048220 cyan ink cartridge epson,1
8,nan,nan,nan,39.84,epson t068120-d2 dual black ink cartridge printers epson epson t068120-d2,nan,inkjet printer ink,nan,9.99,epson t048220 cyan ink cartridge epson,1
9,nan,memory,nan,39.84,epson t068120-d2 dual black ink cartridge printers epson epson t068120-d2,nan,inkjet printer ink,nan,9.99,epson t048220 cyan ink cartridge epson,1
