,ltable_title,ltable_authors,ltable_venue,ltable_year,rtable_title,rtable_authors,rtable_venue,rtable_year,outcome
0,indexing the positions of continuously moving objects,"w jonker , h schќtz",sigmod conference,1994.0,the o 2 object-oriented database system,"s balu , j widom",proceedings of the 1992 acm sigmod-international conference,nan,1
1,interview with jim gray,"s trisolini , m lenzerini , d nardi",sigmod conference,1995.0,the o 2 object-oriented database system,f bancilhon,"san diego ,",nan,0
2,indexing the positions of continuously moving objects,"l liu , c pu , d buttler , w han , h paques , w tang",sigmod conference,1995.0,the o 2 object-oriented database system,"r agrawal , t imielinski , a swami","proc . acm sigmod ,",nan,0
3,mining fuzzy association rules in databases,"s saltenis , c jensen , s leutenegger , m lopez",sigmod conference,1995.0,the o 2 object-oriented database system,f bancilhon,proceedings of the 1992 acm sigmod-international conference,nan,1
4,interview with jim gray,"w jonker , h schќtz",vldb,1995.0,the o 2 object-oriented database system,f bancilhon,"intelligent data analysis ,",nan,0
5,interview with jim gray,"s trisolini , m lenzerini , d nardi",sigmod conference,1995.0,the o 2 object-oriented database system,"i solis , k obraczka","san diego ,",nan,0
6,interview with jim gray,"w jonker , h schќtz",vldb,1995.0,the o 2 object-oriented database system,c allocchio,proc . of the acm sigmod intl. conf . on management of,nan,0
7,indexing the positions of continuously moving objects,"w jonker , h schќtz",nan,1996.0,the o 2 object-oriented database system,f bancilhon,proceedings of the 1992 acm sigmod-international conference,nan,1
8,interview with jim gray,"w jonker , h schќtz",vldb,2002.0,the o 2 object-oriented database system,f bancilhon,"intelligent data analysis ,",nan,0
9,indexing the positions of continuously moving objects,"w jonker , h schќtz",sigmod conference,1995.0,the o 2 object-oriented database system,"i ahn , r snodgrass",proceedings of the 1992 acm sigmod-international conference,nan,0
