,ltable_Beer_Name,ltable_Brew_Factory_Name,ltable_Style,ltable_ABV,rtable_Beer_Name,rtable_Brew_Factory_Name,rtable_Style,rtable_ABV,alteredAttributes,droppedValues,copiedValues,nomatch_score,match_score,attr_count
0,Honey Amber Ale,RJ Rockers Brewing Company,American Amber / Red Ale,5.80 %,Cigar City Brewpub Redner,Cigar City Brewing,Amber Ale,4.90 %,"('rtable_Beer_Name', 'rtable_Brew_Factory_Name')","['Heavy Seas Desert Island Series American Honey Amber Ale', 'Heavy Seas Brewing Company']","['Cigar City Brewpub Redner', 'Cigar City Brewing']",0.2617316,0.7382683,2
26,Honey Amber Ale,RJ Rockers Brewing Company,American Amber / Red Ale,5.80 %,Chama River Sunset Red,Chama River Brewing Company,Amber Ale,4.90 %,"('rtable_Beer_Name', 'rtable_Brew_Factory_Name')","['Heavy Seas Desert Island Series American Honey Amber Ale', 'Heavy Seas Brewing Company']","['Chama River Sunset Red', 'Chama River Brewing Company']",0.26933718,0.7306629,2
19,Honey Amber Ale,RJ Rockers Brewing Company,American Amber / Red Ale,5.80 %,Pitchfork Hudson Honey Bee Blonde,Heavy Seas Brewing Company,Amber Ale,5.50 %,"('rtable_Beer_Name', 'rtable_ABV')","['Heavy Seas Desert Island Series American Honey Amber Ale', '4.90 %']","['Pitchfork Hudson Honey Bee Blonde', '5.50 %']",0.16485292,0.8351471,2
18,Honey Amber Ale,RJ Rockers Brewing Company,American Amber / Red Ale,5.80 %,Pitchfork Hudson Honey Bee Blonde,Heavy Seas Brewing Company,Golden Ale/Blond Ale,4.90 %,"('rtable_Beer_Name', 'rtable_Style')","['Heavy Seas Desert Island Series American Honey Amber Ale', 'Amber Ale']","['Pitchfork Hudson Honey Bee Blonde', 'Golden Ale/Blond Ale']",0.15699808,0.8430019,2
17,Honey Amber Ale,RJ Rockers Brewing Company,American Amber / Red Ale,5.80 %,Pitchfork Hudson Honey Bee Blonde,Pitchfork Brewing Company,Amber Ale,4.90 %,"('rtable_Beer_Name', 'rtable_Brew_Factory_Name')","['Heavy Seas Desert Island Series American Honey Amber Ale', 'Heavy Seas Brewing Company']","['Pitchfork Hudson Honey Bee Blonde', 'Pitchfork Brewing Company']",0.27972862,0.7202714,2
16,Honey Amber Ale,RJ Rockers Brewing Company,American Amber / Red Ale,5.80 %,Pitchfork Hudson Honey Bee Blonde,Heavy Seas Brewing Company,Amber Ale,4.90 %,"('rtable_Beer_Name',)",['Heavy Seas Desert Island Series American Honey Amber Ale'],['Pitchfork Hudson Honey Bee Blonde'],0.1482825,0.8517175,2
30,Honey Amber Ale,RJ Rockers Brewing Company,American Amber / Red Ale,5.80 %,Cannonball Creek Lil _ Vic,Heavy Seas Brewing Company,Amber Ale,4.90 %,"('rtable_Beer_Name',)",['Heavy Seas Desert Island Series American Honey Amber Ale'],['Cannonball Creek Lil _ Vic'],0.33823594,0.661764,2
12,Honey Amber Ale,RJ Rockers Brewing Company,American Amber / Red Ale,5.80 %,Sockeye Angels Perch Amber,Sockeye Brewing,Amber Ale,4.90 %,"('rtable_Beer_Name', 'rtable_Brew_Factory_Name')","['Heavy Seas Desert Island Series American Honey Amber Ale', 'Heavy Seas Brewing Company']","['Sockeye Angels Perch Amber', 'Sockeye Brewing']",0.25942197,0.7405781,2
32,Honey Amber Ale,RJ Rockers Brewing Company,American Amber / Red Ale,5.80 %,Cannonball Creek Lil _ Vic,Heavy Seas Brewing Company,Amber Ale,4.70 %,"('rtable_Beer_Name', 'rtable_ABV')","['Heavy Seas Desert Island Series American Honey Amber Ale', '4.90 %']","['Cannonball Creek Lil _ Vic', '4.70 %']",0.28304884,0.71695113,2
31,Honey Amber Ale,RJ Rockers Brewing Company,American Amber / Red Ale,5.80 %,Cannonball Creek Lil _ Vic,Cannonball Creek Brewing Company,Amber Ale,4.90 %,"('rtable_Beer_Name', 'rtable_Brew_Factory_Name')","['Heavy Seas Desert Island Series American Honey Amber Ale', 'Heavy Seas Brewing Company']","['Cannonball Creek Lil _ Vic', 'Cannonball Creek Brewing Company']",0.027402567,0.9725974,2
