,ltable_Beer_Name,ltable_Brew_Factory_Name,ltable_Style,ltable_ABV,rtable_Beer_Name,rtable_Brew_Factory_Name,rtable_Style,rtable_ABV,outcome
0,Honey Amber Ale,RJ Rockers Brewing Company,American Amber / Red Ale,5.80 %,Heavy Seas Desert Island Series American Honey Amber Ale,Sick N Twisted Brewing Company,Spice/Herb/Vegetable,4.90 %,0
1,Honey Amber Ale,RJ Rockers Brewing Company,American Amber / Red Ale,5.80 %,Big Time Lift Ticket American Red Ale,Heavy Seas Brewing Company,Barley Wine,4.90 %,0
2,Honey Amber Ale,Central City Brewers + Distillers,American Barleywine,5.80 %,Heavy Seas Desert Island Series American Honey Amber Ale,Heavy Seas Brewing Company,Amber Ale,4.90 %,0
3,Inception Series - Runnin ' With The Devil,RJ Rockers Brewing Company,American Amber / Red Ale,5.80 %,Heist American Style Red Ale,Heavy Seas Brewing Company,Amber Ale,4.90 %,0
4,Inception Series - Runnin ' With The Devil,RJ Rockers Brewing Company,American Amber / Red Ale,5.80 %,Heavy Seas Desert Island Series American Honey Amber Ale,Salty Nut Brewery,Amber Ale,4.90 %,0
5,Honey Amber Ale,RJ Rockers Brewing Company,American Amber / Red Ale,5.80 %,Heavy Seas Desert Island Series American Honey Amber Ale,Laurelwood Public House & Brewery,Premium Bitter/ESB,4.90 %,0
6,Honey Amber Ale,RJ Rockers Brewing Company,American Amber / Red Ale,5.80 %,Big Time Lift Ticket American Red Ale,Sick N Twisted Brewing Company,Amber Ale,4.90 %,0
7,Honey Amber Ale,RJ Rockers Brewing Company,American Amber / Red Ale,5.80 %,Sick N Twisted Pleasure Victim Amber Ale,Big Time Brewery,Amber Ale,4.90 %,0
8,Honey Amber Ale,RJ Rockers Brewing Company,American Amber / Red Ale,5.80 %,Heavy Seas Desert Island Series American Honey Amber Ale,Riverbend Brewing & Sports Pub,Spice/Herb/Vegetable,4.90 %,0
9,Inception Series - Runnin ' With The Devil,RJ Rockers Brewing Company,American Amber / Red Ale,5.80 %,Heavy Seas Desert Island Series American Honey Amber Ale,Heavy Seas Brewing Company,Amber Ale,4.90 %,0
