,ltable_name,ltable_addr,ltable_city,ltable_phone,ltable_res_type,ltable_class,rtable_name,rtable_addr,rtable_city,rtable_phone,rtable_res_type,rtable_class,outcome
0,` heera of india ',' 3434 peachtree rd. ',` san francisco ',404/876 -4408,asian,83.0,` palm the ( los angeles ) ',' 3 e. 52nd st. ',atlanta,404-876-4408,continental,83.0,0
1,` le dome ',' 2880 las vegas blvd. s ',atlanta,404/876 -4408,asian,83.0,` heera of india ',' 595 piedmont ave. ',` san francisco ',404-876-4408,californian,83.0,0
2,bruno,' 3110 main st. ',atlanta,404/876 -4408,asian,92.0,` heera of india ',' 595 piedmont ave. ',atlanta,404-876-4408,chicken,83.0,0
3,` heera of india ',' 2355 peachtree rd. . peachtree battle shopping center ',atlanta,404/876 -4408,asian,22.0,` yujean kang \ 's ',' 3700 w. flamingo rd. ',atlanta,404-876-4408,indian,83.0,0
4,` heera of india ',' 595 piedmont ave. rio shopping mall ',atlanta,404/876 -4408,international,83.0,nava,' 103 w. paces ferry rd. ',atlanta,404-876-4408,indian,83.0,0
5,bruno,' 3110 main st. ',atlanta,404/876 -4408,asian,92.0,` heera of india ',' 595 piedmont ave. ',atlanta,404-876-4408,indian,83.0,0
6,` heera of india ',' 2355 peachtree rd. . peachtree battle shopping center ',atlanta,404/876 -4408,asian,83.0,` yujean kang \ 's ',' 3700 w. flamingo rd. ',atlanta,404-876-4408,indian,83.0,0
7,` mambo restaurante cubano ',' 3400 las vegas blvd. s ',atlanta,404/876 -4408,asian,83.0,` heera of india ',' 595 piedmont ave. ',` san francisco ',404-876-4408,italian,83.0,0
8,joss,' 1510 e. flamingo rd. ',atlanta,404/876 -4408,asian,83.0,` heera of india ',' 595 piedmont ave. ',atlanta,404-876-4408,continental,83.0,0
9,` palace court ',' 2355 peachtree rd. . peachtree battle shopping center ',atlanta,404/876 -4408,american,83.0,` heera of india ',' 2355 peachtree rd. ne ',atlanta,404-876-4408,indian,83.0,1
