,ltable_name,ltable_addr,ltable_city,ltable_phone,ltable_res_type,ltable_class,rtable_name,rtable_addr,rtable_city,rtable_phone,rtable_res_type,rtable_class,outcome
0,` palace court ',' 260 e. paces ferry road ',` new york ',310/659 -6919,asian,443.0,` fiore rotisserie & grille ',' 3700 w. flamingo rd. ',` new york city ',702-252-7702,italian,660.0,0
1,` mandarin court ',' 3000 las vegas blvd. s ',` las vegas ',818/585 -0855,asian,427.0,` fiore rotisserie & grille ',' 3700 w. flamingo rd. ',` new york city ',702-252-7702,diners,660.0,0
2,` mambo restaurante cubano ',' 1915 fillmore st. ',atlanta,310/451 -1655,asian,410.0,` fiore rotisserie & grille ',' 3700 w. flamingo rd. ',venice,702-252-7702,italian,660.0,0
3,` mandarin court ',' 402 w. 44th st. ',` las vegas ',702/737 -1234,buffets,83.0,` fiore rotisserie & grille ',' 3221 mission st. ',` new york city ',702-252-7702,italian,24.0,0
4,abruzzi,' 3570 las vegas blvd. s ',atlanta,212/765 -1737,asian,443.0,` fiore rotisserie & grille ',' 3700 w. flamingo rd. ',` new york city ',702-252-7702,indian,660.0,0
5,` mandarin court ',' 1510 e. flamingo rd. ',` las vegas ',310/451 -1655,asian,443.0,` fiore rotisserie & grille ',' 1870 fillmore st. ',venice,702-894-7350,italian,7.0,0
6,` mandarin court ',' 3000 las vegas blvd. s ',` las vegas ',818/585 -0855,asian,443.0,` fiore rotisserie & grille ',' 3700 w. flamingo rd. ',` new york city ',702-252-7702,diners,660.0,0
7,abruzzi,' 1510 e. flamingo rd. ',atlanta,212/765 -1737,asian,443.0,` fiore rotisserie & grille ',' 3700 w. flamingo rd. ',` new york city ',702-252-7702,indian,660.0,0
8,abruzzi,' 1510 e. flamingo rd. ',atlanta,212/765 -1737,asian,443.0,` fiore rotisserie & grille ',' 3700 w. flamingo rd. ',` new york city ',702-252-7702,italian,660.0,0
9,` beesley \ 's of buckhead ',' 4th st. ',` las vegas ',702/737 -1234,asian,443.0,` fiore rotisserie & grille ',' 3700 w. flamingo rd. ',la,702-252-7702,eclectic,15.0,1
