,ltable_description,ltable_name,ltable_price,rtable_description,rtable_name,rtable_price,outcome
0,"sony 52 ' bravia w-series black lcd flat panel hdtv kdl52w4100 1920 x 1080 full hd resolution dmex motionflow 120hz technology advanced contrast enhancer ( ace ) bravia sync technology 24p true cinema 30,000:1 dynamic contrast ratio 3d comb filter cinemotion reverse 3:2 pulldown technology black finish",canon silver 8.0 megapixel powershot digital camera sd1100is,599.0,xs fm transmitter 6 lines lcd,canon powershot sd1100 is digital elph camera swing silver 2508b001,1098.72,1
1,sony digital photo printer paper 120 pack svmf120p 4 ' x 6 ' print paper with snap-off edges super coat 2 protective lamination water damage and fingerprint resistant prints 120 sheets of paper and print ribbon for dppf series digital photo printers only,sony np-fh100 infolithium h series standard rechargeable battery pack npfh100,nan,nan,sony np-fh100 lithium ion camcorder battery npfh100,1098.72,1
2,"sony 52 ' bravia w-series black lcd flat panel hdtv kdl52w4100 1920 x 1080 full hd resolution dmex motionflow 120hz technology advanced contrast enhancer ( ace ) bravia sync technology 24p true cinema 30,000:1 dynamic contrast ratio 3d comb filter cinemotion reverse 3:2 pulldown technology black finish",sony pink cyber-shot 7.2 megapixel digital camera dscw120p,139.0,nan,olympus fe-360 digital camera pink 226540,278.95,1
3,"sony 52 ' bravia w-series black lcd flat panel hdtv kdl52w4100 1920 x 1080 full hd resolution dmex motionflow 120hz technology advanced contrast enhancer ( ace ) bravia sync technology 24p true cinema 30,000:1 dynamic contrast ratio 3d comb filter cinemotion reverse 3:2 pulldown technology black finish",sony np-fh100 infolithium h series standard rechargeable battery pack npfh100,nan,nan,sony np-fh100 lithium ion camcorder battery npfh100,1098.72,1
4,"sony 52 ' bravia w-series black lcd flat panel hdtv kdl52w4100 1920 x 1080 full hd resolution dmex motionflow 120hz technology advanced contrast enhancer ( ace ) bravia sync technology 24p true cinema 30,000:1 dynamic contrast ratio 3d comb filter cinemotion reverse 3:2 pulldown technology black finish",sony 9 ' digital photo frame in black dpfv900,599.0,9.1 megapixel 16:9 2x digital zoom 3 ' active matrix tft color lcd,sony dpfv900 digital photo frame dpf-v900,1098.72,1
5,"sony 52 ' bravia w-series black lcd flat panel hdtv kdl52w4100 1920 x 1080 full hd resolution dmex motionflow 120hz technology advanced contrast enhancer ( ace ) bravia sync technology 24p true cinema 30,000:1 dynamic contrast ratio 3d comb filter cinemotion reverse 3:2 pulldown technology black finish",sony pink cyber-shot 7.2 megapixel digital camera dscw120p,nan,nan,olympus fe-360 digital camera pink 226540,278.95,1
6,toshiba 19 ' black lcd hdtv 19av500u 720p hd display dynalight back-light control theaterwide modes soundstrip speaker system hdmi digital input universal remote high-gloss bezel black finish,sony pink cyber-shot 7.2 megapixel digital camera dscw120p,nan,nan,olympus fe-360 digital camera pink 226540,1098.72,1
7,"sony 52 ' bravia w-series black lcd flat panel hdtv kdl52w4100 1920 x 1080 full hd resolution dmex motionflow 120hz technology advanced contrast enhancer ( ace ) bravia sync technology 24p true cinema 30,000:1 dynamic contrast ratio 3d comb filter cinemotion reverse 3:2 pulldown technology black finish",canon silver 8.0 megapixel powershot digital camera sd1100is,nan,xs fm transmitter 6 lines lcd,canon powershot sd1100 is digital elph camera swing silver 2508b001,1098.72,1
8,"sony 52 ' bravia w-series black lcd flat panel hdtv kdl52w4100 1920 x 1080 full hd resolution dmex motionflow 120hz technology advanced contrast enhancer ( ace ) bravia sync technology 24p true cinema 30,000:1 dynamic contrast ratio 3d comb filter cinemotion reverse 3:2 pulldown technology black finish",canon silver 8.0 megapixel powershot digital camera sd1100is,nan,nan,canon powershot sd1100 is digital elph camera swing silver 2508b001,1098.72,1
9,"canon deluxe grey leather case 2349b001 genuine leather case designed for the powershot sd770 is , sd1100 and sd1000 grey finish",olympus premium slim leather case in black 202087,nan,uniden tcx-905 tru-digital expansion handset with caller id,belkin neoprene sleeve for macbook air neoprene black,339.88,1
