,ltable_title,ltable_category,ltable_brand,ltable_modelno,ltable_price,rtable_title,rtable_category,rtable_brand,rtable_modelno,rtable_price,alteredAttributes,droppedValues,copiedValues,nomatch_score,match_score,attr_count
0,icon-icon4-blk neoprene notebook sleeve black,bags cases,belkin,f8n132-blk,8.88,icon-icon4-blk neoprene notebook sleeve black,bags cases,motion systems,icon4-blk,9.99,"('ltable_title', 'ltable_category')","['belkin 10.2 netbook neoprene sleeve - black', 'electronics - general']","['icon-icon4-blk neoprene notebook sleeve black', 'bags cases']",0.10487491,0.89512503,2
45,belkin 10.2 netbook neoprene sleeve - black,electronics - general,belkin,f8n132-blk,8.88,belkin 10.2 netbook neoprene,electronics - general,motion systems,icon4-blk,9.99,"('rtable_title', 'rtable_category')","['icon-icon4-blk neoprene notebook sleeve black', 'bags cases']","['belkin 10.2 netbook neoprene', 'electronics - general']",0.15151706,0.8484829,2
46,belkin 10.2 netbook neoprene sleeve - black,electronics - general,belkin,f8n132-blk,8.88,icon-icon4-blk neoprene notebook sleeve black,electronics - general,belkin,icon4-blk,9.99,"('rtable_category', 'rtable_brand')","['bags cases', 'motion systems']","['electronics - general', 'belkin']",0.25384808,0.74615186,2
9,belkin 10.2 netbook neoprene sleeve - black,electronics - general,belkin,f8n132-blk,8.88,icon-icon4-blk neoprene notebook sleeve black,electronics -,belkin,icon4-blk,9.99,"('rtable_category', 'rtable_brand')","['bags cases', 'motion systems']","['electronics -', 'belkin']",0.41669214,0.5833079,2
8,belkin 10.2 netbook neoprene sleeve - black,electronics - general,belkin,f8n132-blk,8.88,belkin 10.2 netbook neoprene sleeve - black,electronics -,motion systems,icon4-blk,9.99,"('rtable_title', 'rtable_category')","['icon-icon4-blk neoprene notebook sleeve black', 'bags cases']","['belkin 10.2 netbook neoprene sleeve - black', 'electronics -']",0.09729934,0.9027007,2
35,icon-icon4-blk neoprene notebook,bags cases,belkin,f8n132-blk,8.88,icon-icon4-blk neoprene notebook sleeve black,bags cases,motion systems,icon4-blk,9.99,"('ltable_title', 'ltable_category')","['belkin 10.2 netbook neoprene sleeve - black', 'electronics - general']","['icon-icon4-blk neoprene notebook', 'bags cases']",0.35580248,0.6441976,2
20,icon-icon4-blk neoprene notebook sleeve black,bags,belkin,f8n132-blk,9.99,icon-icon4-blk neoprene notebook sleeve black,bags cases,motion systems,icon4-blk,9.99,"('ltable_title', 'ltable_category', 'ltable_price')","['belkin 10.2 netbook neoprene sleeve - black', 'electronics - general', 8.88]","['icon-icon4-blk neoprene notebook sleeve black', 'bags', 9.99]",0.1158583,0.8841417,3
37,icon-icon4-blk neoprene notebook,bags cases,belkin,icon4-blk,8.88,icon-icon4-blk neoprene notebook sleeve black,bags cases,motion systems,icon4-blk,9.99,"('ltable_title', 'ltable_category', 'ltable_modelno')","['belkin 10.2 netbook neoprene sleeve - black', 'electronics - general', 'f8n132-blk']","['icon-icon4-blk neoprene notebook', 'bags cases', 'icon4-blk']",0.35580227,0.64419776,3
38,icon-icon4-blk neoprene notebook,bags cases,belkin,f8n132-blk,9.99,icon-icon4-blk neoprene notebook sleeve black,bags cases,motion systems,icon4-blk,9.99,"('ltable_title', 'ltable_category', 'ltable_price')","['belkin 10.2 netbook neoprene sleeve - black', 'electronics - general', 8.88]","['icon-icon4-blk neoprene notebook', 'bags cases', 9.99]",0.09749498,0.902505,3
31,belkin 10.2 netbook neoprene sleeve - black,bags cases,motion systems,f8n132-blk,9.99,icon-icon4-blk neoprene notebook sleeve black,bags cases,motion systems,icon4-blk,9.99,"('ltable_category', 'ltable_brand', 'ltable_price')","['electronics - general', 'belkin', 8.88]","['bags cases', 'motion systems', 9.99]",0.20026463,0.79973537,3
