,label,ltable_title,ltable_category,ltable_brand,ltable_modelno,ltable_price,rtable_title,rtable_category,rtable_brand,rtable_modelno,rtable_price,alteredAttributes,droppedValues,copiedValues,classes,labels,nomatch_score,match_score,attr_count
0,,tops second nature subject wire notebook college rule 6 x 9-1 2 we 80 sheets,stationery & office machinery,tops business forms,74109,5.54,tops second nature subject wire notebook college rule 6 x 9-1 2 we 80 sheets,printers,tops,,24.3,"('rtable_title',)",['tops 74111 - second nature subject wirebound notebook college rule ltr we 80 sheets'],['tops second nature subject wire notebook college rule 6 x 9-1 2 we 80 sheets'],1,0,0.0017961729,0.99820375,2
24,,tops second nature subject wire notebook college rule 6 x 9-1 2 we 80 sheets,stationery & office machinery,tops business forms,74109,5.54,tops 74111 - second nature subject wirebound notebook college rule ltr we 80 sheets,stationery & office machinery,tops,,24.3,"('rtable_category',)",['printers'],['stationery & office machinery'],1,0,0.003497743,0.9965023,2
23,,tops second nature subject wire notebook college rule 6 x 9-1 2 we 80 sheets,stationery & office machinery,tops business forms,74109,5.54,tops second nature subject wire notebook college rule 6 x 9-1 2 we 80 sheets,printers,tops,,24.3,"('rtable_title',)",['tops 74111 - second nature subject wirebound notebook college rule ltr we 80 sheets'],['tops second nature subject wire notebook college rule 6 x 9-1 2 we 80 sheets'],1,0,0.0017961729,0.99820375,2
22,,tops second nature subject wire notebook college rule 6 x 9-1 2 we 80 sheets,stationery & office machinery,tops business forms,74109,24.3,tops 74111 - second nature subject wirebound notebook college rule ltr we 80 sheets,printers,tops,,24.3,"('ltable_price',)",[5.54],[24.3],1,0,0.09846723,0.90153277,2
21,,tops second nature subject wire notebook college rule 6 x 9-1 2 we 80 sheets,stationery & office machinery,tops business forms,74109,5.54,tops 74111 - second nature subject wirebound notebook college rule ltr we 80 sheets,printers,tops,,5.54,"('rtable_price',)",[24.3],[5.54],1,0,0.005771147,0.99422884,2
20,,tops second nature subject wire notebook college rule 6 x 9-1 2 we 80 sheets,stationery & office machinery,tops business forms,74109,5.54,tops 74111 - second nature subject wirebound notebook college rule ltr we 80 sheets,printers,tops business forms,,24.3,"('rtable_brand',)",['tops'],['tops business forms'],1,0,0.0043943403,0.99560565,2
19,,tops second nature subject wire notebook college rule 6 x 9-1 2 we 80 sheets,stationery & office machinery,tops business forms,74109,5.54,tops 74111 - second nature subject wirebound notebook college rule ltr we 80 sheets,stationery & office machinery,tops,,24.3,"('rtable_category',)",['printers'],['stationery & office machinery'],1,0,0.0034977414,0.9965023,2
18,,tops second nature subject wire notebook college rule 6 x 9-1 2 we 80 sheets,stationery & office machinery,tops business forms,74109,5.54,tops 74111 - second nature subject wirebound notebook college rule ltr we 80 sheets,printers,tops,,5.54,"('rtable_price',)",[24.3],[5.54],1,0,0.005771147,0.99422884,2
17,,tops second nature subject wire notebook college rule 6 x 9-1 2 we 80 sheets,stationery & office machinery,tops business forms,74109,5.54,tops 74111 - second nature subject wirebound notebook college rule ltr we 80 sheets,printers,tops business forms,,24.3,"('rtable_brand',)",['tops'],['tops business forms'],1,0,0.0043943403,0.99560565,2
16,,tops second nature subject wire notebook college rule 6 x 9-1 2 we 80 sheets,stationery & office machinery,tops business forms,74109,5.54,tops 74111 - second nature subject wirebound notebook college rule ltr we 80 sheets,stationery & office,tops,,24.3,"('rtable_category',)",['printers'],['stationery & office'],1,0,0.013604585,0.98639536,2
