,label,ltable_title,ltable_manufacturer,ltable_price,rtable_title,rtable_manufacturer,rtable_price,alteredAttributes,droppedValues,copiedValues,classes,labels,nomatch_score,match_score,attr_count
0,,publisher 2007 version upgrade package 1 pc cd win en,microsoft,79.95,164-04052 microsoft office publisher 2007 version upgrade package 1 pc cd win en,,88.8,"('ltable_title',)",['microsoft onenote 2007 upgrade'],['publisher 2007 version upgrade package 1 pc cd win en'],1,0,0.012430959,0.98756903,2
35,,2007 version upgrade package 1 pc cd win en,,79.95,164-04052 microsoft office publisher 2007 version upgrade package 1 pc cd win en,,88.8,"('ltable_title', 'ltable_manufacturer')","['microsoft onenote 2007 upgrade', 'microsoft']","['2007 version upgrade package 1 pc cd win en', nan]",1,0,0.013433726,0.98656625,2
34,,2007 version upgrade package 1 pc cd win en,microsoft,79.95,164-04052 microsoft office publisher 2007 version upgrade package 1 pc cd win en,,88.8,"('ltable_title',)",['microsoft onenote 2007 upgrade'],['2007 version upgrade package 1 pc cd win en'],1,0,0.013901319,0.98609865,2
32,,164-04052 microsoft office publisher 2007 version,microsoft,88.8,164-04052 microsoft office publisher 2007 version upgrade package 1 pc cd win en,,88.8,"('ltable_title', 'ltable_price')","['microsoft onenote 2007 upgrade', 79.95]","['164-04052 microsoft office publisher 2007 version', 88.8]",1,0,0.013708863,0.9862911,2
31,,164-04052 microsoft office publisher 2007 version,,79.95,164-04052 microsoft office publisher 2007 version upgrade package 1 pc cd win en,,88.8,"('ltable_title', 'ltable_manufacturer')","['microsoft onenote 2007 upgrade', 'microsoft']","['164-04052 microsoft office publisher 2007 version', nan]",1,0,0.014548584,0.98545146,2
30,,164-04052 microsoft office publisher 2007 version,microsoft,79.95,164-04052 microsoft office publisher 2007 version upgrade package 1 pc cd win en,,88.8,"('ltable_title',)",['microsoft onenote 2007 upgrade'],['164-04052 microsoft office publisher 2007 version'],1,0,0.018891003,0.98110896,2
28,,microsoft office publisher 2007 version upgrade package 1 pc cd win en,microsoft,88.8,164-04052 microsoft office publisher 2007 version upgrade package 1 pc cd win en,,88.8,"('ltable_title', 'ltable_price')","['microsoft onenote 2007 upgrade', 79.95]","['microsoft office publisher 2007 version upgrade package 1 pc cd win en', 88.8]",1,0,0.013324983,0.98667496,2
27,,microsoft office publisher 2007 version upgrade package 1 pc cd win en,,79.95,164-04052 microsoft office publisher 2007 version upgrade package 1 pc cd win en,,88.8,"('ltable_title', 'ltable_manufacturer')","['microsoft onenote 2007 upgrade', 'microsoft']","['microsoft office publisher 2007 version upgrade package 1 pc cd win en', nan]",1,0,0.01365105,0.986349,2
26,,microsoft office publisher 2007 version upgrade package 1 pc cd win en,microsoft,79.95,164-04052 microsoft office publisher 2007 version upgrade package 1 pc cd win en,,88.8,"('ltable_title',)",['microsoft onenote 2007 upgrade'],['microsoft office publisher 2007 version upgrade package 1 pc cd win en'],1,0,0.012499578,0.9875004,2
24,,microsoft onenote 2007 upgrade,microsoft,79.95,sunburst technology t02473 sunburst a to zap ! network license complete product educational software 1 server unlimited user complete product academic mac pc,,488.97,"('rtable_title', 'rtable_price')","['164-04052 microsoft office publisher 2007 version upgrade package 1 pc cd win en', 88.8]","['sunburst technology t02473 sunburst a to zap ! network license complete product educational software 1 server unlimited user complete product academic mac pc', 488.97]",1,0,0.012750211,0.9872498,2
23,,microsoft onenote 2007 upgrade,microsoft,79.95,sunburst technology t02473 sunburst a to zap ! network license complete product educational software 1 server unlimited user complete product academic mac pc,,88.8,"('rtable_title', 'rtable_manufacturer')","['164-04052 microsoft office publisher 2007 version upgrade package 1 pc cd win en', nan]","['sunburst technology t02473 sunburst a to zap ! network license complete product educational software 1 server unlimited user complete product academic mac pc', nan]",1,0,0.01284833,0.98715174,2
22,,microsoft onenote 2007 upgrade,microsoft,79.95,sunburst technology t02473 sunburst a to zap ! network license complete product educational software 1 server unlimited user complete product academic mac pc,,88.8,"('rtable_title',)",['164-04052 microsoft office publisher 2007 version upgrade package 1 pc cd win en'],['sunburst technology t02473 sunburst a to zap ! network license complete product educational software 1 server unlimited user complete product academic mac pc'],1,0,0.012492317,0.98750764,2
20,,164-04052 microsoft office publisher 2007,microsoft,88.8,164-04052 microsoft office publisher 2007 version upgrade package 1 pc cd win en,,88.8,"('ltable_title', 'ltable_price')","['microsoft onenote 2007 upgrade', 79.95]","['164-04052 microsoft office publisher 2007', 88.8]",1,0,0.014188785,0.98581123,2
19,,164-04052 microsoft office publisher 2007,,79.95,164-04052 microsoft office publisher 2007 version upgrade package 1 pc cd win en,,88.8,"('ltable_title', 'ltable_manufacturer')","['microsoft onenote 2007 upgrade', 'microsoft']","['164-04052 microsoft office publisher 2007', nan]",1,0,0.019091686,0.9809083,2
36,,2007 version upgrade package 1 pc cd win en,microsoft,88.8,164-04052 microsoft office publisher 2007 version upgrade package 1 pc cd win en,,88.8,"('ltable_title', 'ltable_price')","['microsoft onenote 2007 upgrade', 79.95]","['2007 version upgrade package 1 pc cd win en', 88.8]",1,0,0.012911512,0.9870885,2
