,ltable_Beer_Name,ltable_Brew_Factory_Name,ltable_Style,ltable_ABV,rtable_Beer_Name,rtable_Brew_Factory_Name,rtable_Style,rtable_ABV,outcome
0,Big Red Ale,Alexander Keith 's,American Amber / Red Ale,5.00 %,Mammoth Real McCoy Amber Ale,Hollywood Beach Brewing Company,Amber Ale,5.20 %,1
1,Alexander Keith 's Red Amber Ale,57 Brew Pub & Bistro,American Amber / Red Ale,5.00 %,Hollywood Beach Red Tide Amber Ale,Bainbridge Island Brewing Company,Amber Ale,5.20 %,1
2,Big Red Ale,Alexander Keith 's,American Amber / Red Ale,5.00 %,Hollywood Beach Red Tide Amber Ale,Hollywood Beach Brewing Company,Specialty Grain,5.20 %,1
3,Rock Bottom Red Ale,Alexander Keith 's,American Amber / Red Ale,5.00 %,Hollywood Beach Red Tide Amber Ale,Hollywood Beach Brewing Company,Amber Ale,9.70 %,1
4,Alexander Keith 's Red Amber Ale,Alexander Keith 's,American Amber / Red Ale,5.00 %,Bainbridge Island Arrow Point Amber,Hollywood Beach Brewing Company,Altbier,5.20 %,1
5,Red Racer India Style Red Ale,Alexander Keith 's,American Amber / Red Ale,5.00 %,Hollywood Beach Red Tide Amber Ale,Hollywood Beach Brewing Company,Amber Ale,5.20 %,1
6,Alexander Keith 's Red Amber Ale,Alexander Keith 's,American Amber / Red Ale,5.00 %,Hollywood Beach Red Tide Amber Ale,Custom Brewcrafters,Amber Ale,5.20 %,1
7,Bulleit Bourbon Barrel Aged G'Knight,Alexander Keith 's,American Amber / Red Ale,5.00 %,Hollywood Beach Red Tide Amber Ale,Hollywood Beach Brewing Company,India Pale Ale &#40; IPA &#41;,5.20 %,1
8,Alexander Keith 's Red Amber Ale,Bier Kaffee Aqula,American Amber / Red Ale,5.00 %,Hollywood Beach Red Tide Amber Ale,Hollywood Beach Brewing Company,Specialty Grain,5.20 %,1
9,Aqula American Amber Ale,Alexander Keith 's,American Amber / Red Ale,5.00 %,Hollywood Beach Red Tide Amber Ale,Hollywood Beach Brewing Company,Amber Ale,9.70 %,1
