,ltable_description,ltable_name,ltable_price,rtable_description,rtable_name,rtable_price,outcome
0,belkin neoprene sleeve for macbook air f8n065blk slim and lightweight high quality neoprene protective case asymmetrical zipper black finish,belkin neoprene sleeve for macbook air f8n065blk,nan,nan,directed electronics sportster 4 sirius satellite radio receiver sp4tk1,nan,0
1,"audiovox commander mt xm satellite radio receiver xmrvrfm002 , dual line display tuneselect feature universal connector scan and jump features full function remote black finish",belkin neoprene sleeve for macbook air f8n065blk,nan,nan,belkin neoprene sleeve for macbook air neoprene black,nan,0
2,"samsung 46 ' series 8 lcd black flat panel hdtv ln46a850 1920 x 1080p full hd resolution touch of color design pre-loaded content library dlna super slim depth narrow bezel auto motion plus 120hz 50,000:1 dynamic contrast ratio 4ms response time srs trusurround built-in digital tuner ( atsc/clear qam ) black with red accent finish",belkin neoprene sleeve for macbook air f8n065blk,nan,nan,belkin neoprene sleeve for macbook air neoprene black,nan,0
3,belkin neoprene sleeve for macbook air f8n065blk slim and lightweight high quality neoprene protective case asymmetrical zipper black finish,belkin neoprene sleeve for macbook air f8n065blk,nan,nan,canon eos rebel xs digital slr camera with ef-s 18-55mm 1:3.5 -5.6 is lens black 2762b003,nan,0
4,"canon black rechargeable battery 9612a001 lithium-ion technology compatible with canon digital rebel xt and powershot s series digital cameras also compatible with canon elura series , optura series and zr series camcorders black finish",belkin neoprene sleeve for macbook air f8n065blk,nan,nan,belkin neoprene sleeve for macbook air neoprene black,nan,0
5,canon deluxe soft black camera case 0716b001 compatible with canon powershot s2 is black finish,belkin neoprene sleeve for macbook air f8n065blk,nan,nan,belkin neoprene sleeve for macbook air neoprene black,nan,0
6,belkin neoprene sleeve for macbook air f8n065blk slim and lightweight high quality neoprene protective case asymmetrical zipper black finish,belkin neoprene sleeve for macbook air f8n065blk,nan,nan,canon powershot sd790 is digital camera 2554b001,nan,0
7,"sony 52 ' bravia w-series black lcd flat panel hdtv kdl52w4100 1920 x 1080 full hd resolution dmex motionflow 120hz technology advanced contrast enhancer ( ace ) bravia sync technology 24p true cinema 30,000:1 dynamic contrast ratio 3d comb filter cinemotion reverse 3:2 pulldown technology black finish",belkin neoprene sleeve for macbook air f8n065blk,nan,nan,belkin neoprene sleeve for macbook air neoprene black,nan,0
8,belkin neoprene sleeve for macbook air f8n065blk slim and lightweight high quality neoprene protective case asymmetrical zipper black finish,belkin neoprene sleeve for macbook air f8n065blk,nan,nan,toshiba sd-p71s portable dvd player,nan,0
9,belkin neoprene sleeve for macbook air f8n065blk slim and lightweight high quality neoprene protective case asymmetrical zipper black finish,belkin neoprene sleeve for macbook air f8n065blk,nan,nan,sony dpfv900 digital photo frame dpf-v900,nan,0
