,ltable_ABV,ltable_Beer_Name,ltable_Brew_Factory_Name,ltable_Style,rtable_ABV,rtable_Beer_Name,rtable_Brew_Factory_Name,rtable_Style,outcome
0,9.90 %,Arrow Point Amber,The Pike Brewing Company,American Barleywine,6.40 %,Bristol Old No. 23 Barley Wine,Bristol Brewing Company,Barley Wine,0
1,9.90 %,Bushfire American Red,The Pike Brewing Company,American Barleywine,6 %,Bristol Old No. 23 Barley Wine,Bristol Brewing Company,Barley Wine,0
2,9.70 %,Arrow Point Amber,The Pike Brewing Company,American Barleywine,11.25 %,Bristol Old No. 23 Barley Wine,Baranof Island Brewing Company,Barley Wine,0
3,9.90 %,Arrow Point Amber,The Pike Brewing Company,American Barleywine,11.25 %,Bristol Old No. 23 Barley Wine,Bristol Brewing Company,Barley Wine,0
4,11.00 %,Bushfire American Red,The Pike Brewing Company,American Barleywine,6 %,Bristol Old No. 23 Barley Wine,Bristol Brewing Company,Barley Wine,0
5,9.70 %,Arrow Point Amber,The Pike Brewing Company,American Barleywine,11.25 %,Bristol Old No. 23 Barley Wine,Bristol Brewing Company,Barley Wine,0
6,5.60 %,Pike Old Bawdy Barley Wine,The Pike Brewing Company,American Barleywine,6.90 %,Bainbridge Island Arrow Point Amber,Bristol Brewing Company,Barley Wine,1
7,6.10 %,Pike Old Bawdy Barley Wine,The Pike Brewing Company,American Barleywine,5.10 %,Bristol Old No. 23 Barley Wine,Bristol Brewing Company,Barley Wine,0
8,9.90 %,Pike Old Bawdy Barley Wine,The Pike Brewing Company,American Barleywine,11.25 %,Bainbridge Island Arrow Point Amber,Bristol Brewing Company,Specialty Grain,0
9,9.90 %,Arrow Point Amber,The Pike Brewing Company,American Barleywine,11.25 %,Bristol Old No. 23 Barley Wine,Hollywood Beach Brewing Company,Barley Wine,1
