,ltable_name,ltable_addr,ltable_city,ltable_phone,ltable_res_type,ltable_class,rtable_name,rtable_addr,rtable_city,rtable_phone,rtable_res_type,rtable_class,outcome
0,manora,' 260 e. paces ferry road ',atlanta,404/237 -2663,american,76.0,` fiore rotisserie & grille ',' 1023 abbot kinney blvd. ',venice,310-399-5811,` american ( new ) ',560.0,0
1,` bone \ 's ',' 1931 peachtree rd. ',atlanta,404/237 -2663,asian,76.0,` fiore rotisserie & grille ',' 1023 abbot kinney blvd. ',venice,310-399-5811,` american ( new ) ',560.0,0
2,` bone \ 's ',' 346 s. la brea ave. ',atlanta,404/237 -2663,american,76.0,` fiore rotisserie & grille ',' 8358 sunset blvd. ',venice,310-399-5811,` american ( new ) ',560.0,0
3,manora,' 260 e. paces ferry road ',atlanta,404/237 -2663,american,429.0,` fiore rotisserie & grille ',' 1023 abbot kinney blvd. ',venice,310-399-5811,` american ( new ) ',560.0,0
4,oceana,' 3130 piedmont road ',atlanta,404/237 -2663,american,76.0,` hedgerose heights inn the ',' 1023 abbot kinney blvd. ',` santa monica ',310-399-5811,steakhouses,560.0,0
5,` yujean kang \ 's gourmet chinese cuisine ',' 3130 piedmont road ',atlanta,404/237 -2663,american,76.0,nava,' 3393 peachtree rd. ',venice,310-399-5811,` coffee shops ',560.0,0
6,` bone \ 's ',' 346 s. la brea ave. ',atlanta,702/891 -7349,american,76.0,` fiore rotisserie & grille ',' 8358 sunset blvd. ',venice,310-399-5811,` american ( new ) ',560.0,0
7,manora,' 260 e. paces ferry road ',atlanta,404/237 -2663,american,429.0,` fiore rotisserie & grille ',' 1023 abbot kinney blvd. ',venice,212-765-1737,` american ( new ) ',560.0,0
8,manora,' 1931 peachtree rd. ',atlanta,404/237 -2663,asian,76.0,` fiore rotisserie & grille ',' 1023 abbot kinney blvd. ',venice,310-399-5811,` american ( new ) ',560.0,0
9,abruzzi,' 3130 piedmont road ',` san francisco ',404/237 -2663,italian,406.0,` joe \ 's ',' 1023 abbot kinney blvd. ',venice,310-550-8811,` american ( new ) ',560.0,1
