,ltable_title,ltable_category,ltable_brand,ltable_modelno,ltable_price,rtable_title,rtable_category,rtable_brand,rtable_modelno,rtable_price,alteredAttributes,droppedValues,copiedValues,nomatch_score,match_score,attr_count
0,ifrogz ipod touch 4 luxe lean case white,mp3 accessories,ifrogz,it4ll-wht,24.99,new-gmrs 2-way ear clip headsets case pack 1 - 500448,cases,midland,it4ll-gmt,11.99,"('rtable_title', 'rtable_brand')","['ifrogz luxe lean case for ipod touch 4g gun metal', 'ifrogz']","['new-gmrs 2-way ear clip headsets case pack 1 - 500448', 'midland']",0.20893985,0.7910602,2
69,ifrogz ipod touch 4 luxe lean case white,mp3 accessories,ifrogz,it4ll-wht,24.99,flip slidehd video camera - white 16 gb 4 hours,cases,flip video,it4ll-gmt,11.99,"('rtable_title', 'rtable_brand')","['ifrogz luxe lean case for ipod touch 4g gun metal', 'ifrogz']","['flip slidehd video camera - white 16 gb 4 hours', 'flip video']",0.037302606,0.9626974,2
61,ifrogz ipod touch 4 luxe lean case white,mp3 accessories,ifrogz,it4ll-wht,24.99,hasbro my3d viewer for ipod touch and iphone black,mp3 player accessories,ifrogz,it4ll-gmt,11.99,"('rtable_title', 'rtable_category')","['ifrogz luxe lean case for ipod touch 4g gun metal', 'cases']","['hasbro my3d viewer for ipod touch and iphone black', 'mp3 player accessories']",0.23093522,0.7690648,2
68,ifrogz ipod touch 4 luxe lean case white,mp3 accessories,ifrogz,it4ll-wht,24.99,flip slidehd video camera - white 16 gb 4 hours,camcorders,ifrogz,it4ll-gmt,11.99,"('rtable_title', 'rtable_category')","['ifrogz luxe lean case for ipod touch 4g gun metal', 'cases']","['flip slidehd video camera - white 16 gb 4 hours', 'camcorders']",0.09304629,0.9069537,2
37,ifrogz ipod touch 4 luxe lean case white,mp3 accessories,ifrogz,it4ll-wht,24.99,just mobile alupen stylus for ipad iphone ipod touch other touch screens black,mp3 player accessories,ifrogz,it4ll-gmt,11.99,"('rtable_title', 'rtable_category')","['ifrogz luxe lean case for ipod touch 4g gun metal', 'cases']","['just mobile alupen stylus for ipad iphone ipod touch other touch screens black', 'mp3 player accessories']",0.1926394,0.80736065,2
25,ifrogz ipod touch 4 luxe lean case white,mp3 accessories,ifrogz,it4ll-wht,24.99,flip ultrahd video camera - white 4 gb 1 hour newest model,cases,ifrogz,it4ll-gmt,55.17,"('rtable_title', 'rtable_price')","['ifrogz luxe lean case for ipod touch 4g gun metal', 11.99]","['flip ultrahd video camera - white 4 gb 1 hour newest model', 55.17]",0.3432689,0.65673107,2
24,ifrogz ipod touch 4 luxe lean case white,mp3 accessories,ifrogz,it4ll-wht,24.99,flip ultrahd video camera - white 4 gb 1 hour newest model,cases,ifrogz,u260w,11.99,"('rtable_title', 'rtable_modelno')","['ifrogz luxe lean case for ipod touch 4g gun metal', 'it4ll-gmt']","['flip ultrahd video camera - white 4 gb 1 hour newest model', 'u260w']",0.4179974,0.58200264,2
23,ifrogz ipod touch 4 luxe lean case white,mp3 accessories,ifrogz,it4ll-wht,24.99,flip ultrahd video camera - white 4 gb 1 hour newest model,cases,flip video,it4ll-gmt,11.99,"('rtable_title', 'rtable_brand')","['ifrogz luxe lean case for ipod touch 4g gun metal', 'ifrogz']","['flip ultrahd video camera - white 4 gb 1 hour newest model', 'flip video']",0.20135091,0.79864913,2
22,ifrogz ipod touch 4 luxe lean case white,mp3 accessories,ifrogz,it4ll-wht,24.99,flip ultrahd video camera - white 4 gb 1 hour newest model,camcorders,ifrogz,it4ll-gmt,11.99,"('rtable_title', 'rtable_category')","['ifrogz luxe lean case for ipod touch 4g gun metal', 'cases']","['flip ultrahd video camera - white 4 gb 1 hour newest model', 'camcorders']",0.42485565,0.57514435,2
21,ifrogz ipod touch 4 luxe lean case white,mp3 accessories,ifrogz,it4ll-wht,24.99,flip ultrahd video camera - white 4 gb 1 hour newest model,cases,ifrogz,it4ll-gmt,11.99,"('rtable_title',)",['ifrogz luxe lean case for ipod touch 4g gun metal'],['flip ultrahd video camera - white 4 gb 1 hour newest model'],0.4179974,0.58200264,2
67,ifrogz ipod touch 4 luxe lean case white,mp3 accessories,ifrogz,it4ll-wht,24.99,flip slidehd video camera - white 16 gb 4 hours,cases,ifrogz,it4ll-gmt,11.99,"('rtable_title',)",['ifrogz luxe lean case for ipod touch 4g gun metal'],['flip slidehd video camera - white 16 gb 4 hours'],0.12913625,0.87086374,2
70,ifrogz ipod touch 4 luxe lean case white,mp3 accessories,ifrogz,it4ll-wht,24.99,flip slidehd video camera - white 16 gb 4 hours,cases,ifrogz,s1240w,11.99,"('rtable_title', 'rtable_modelno')","['ifrogz luxe lean case for ipod touch 4g gun metal', 'it4ll-gmt']","['flip slidehd video camera - white 16 gb 4 hours', 's1240w']",0.12913625,0.87086374,2
46,ifrogz ipod touch 4 luxe lean case white,mp3 accessories,ifrogz,it4ll-wht,24.99,blackberry playbook gel case - black with touchscreen stylus,cases,ifrogz,it4ll-gmt,11.99,"('rtable_title', 'rtable_category')","['ifrogz luxe lean case for ipod touch 4g gun metal', 'cases']","['blackberry playbook gel case - black with touchscreen stylus', 'cases']",0.08147003,0.9185299,2
