,ltable_authors,ltable_title,ltable_venue,ltable_year,rtable_authors,rtable_title,rtable_venue,rtable_year,outcome
0,"c. mohan , inderpal narang",rate-based query optimization for streaming information sources,sigmod conference,1996.0,"c. mohan , inderpal narang",aries/csa : a method for database recovery in client-server architectures,international conference on management of data,1994.0,0
1,"c. mohan , inderpal narang",aries/csa : a method for database recovery in client-server architectures,sigmod conference,1999.0,"c. mohan , inderpal narang",aries/csa : a method for database recovery in client-server architectures,international conference on management of data,1996.0,0
2,"c. mohan , inderpal narang",aries/csa : a method for database recovery in client-server architectures,sigmod conference,1994.0,"c. mohan , inderpal narang",aries/csa : a method for database recovery in client-server architectures,acm transactions on database systems ( tods ),1996.0,0
3,"c. mohan , inderpal narang",aries/csa : a method for database recovery in client-server architectures,acm trans . database syst .,2002.0,"c. mohan , inderpal narang",aries/csa : a method for database recovery in client-server architectures,international conference on management of data,1994.0,0
4,"jurgen annevelink , tak w. yan",structures for manipulating proposed updates in object-oriented databases,sigmod conference,1994.0,"c. mohan , inderpal narang",aries/csa : a method for database recovery in client-server architectures,international conference on management of data,1994.0,0
5,"c. mohan , inderpal narang",aries/csa : a method for database recovery in client-server architectures,acm trans . database syst .,1994.0,"c. mohan , inderpal narang",the montage extensible datablade architecture,international conference on management of data,1994.0,0
6,"c. mohan , inderpal narang",aries/csa : a method for database recovery in client-server architectures,sigmod conference,1994.0,"c. mohan , inderpal narang",aries/csa : a method for database recovery in client-server architectures,international conference on management of data,2000.0,0
7,"c. mohan , inderpal narang",aries/csa : a method for database recovery in client-server architectures,sigmod conference,2000.0,"c. mohan , inderpal narang","a robust , optimization-based approach for approximate answering of aggregate queries",international conference on management of data,1994.0,0
8,"c. mohan , inderpal narang",aries/csa : a method for database recovery in client-server architectures,sigmod conference,1994.0,elisa bertino,aries/csa : a method for database recovery in client-server architectures,the vldb journal -- the international journal on very large data bases,1994.0,0
9,"jeffrey f. naughton , stratis viglas",aries/csa : a method for database recovery in client-server architectures,sigmod conference,1994.0,"c. mohan , inderpal narang",aries/csa : a method for database recovery in client-server architectures,international conference on management of data,2003.0,0
