,ltable_title,ltable_manufacturer,ltable_price,rtable_title,rtable_manufacturer,rtable_price,outcome
0,hp dss software v. 4.0 complete package t1936aa ua0 ),aspyr media,630.36,passwords plus v. 1.0 complete package,nan,1659.99,1
1,adobe flash pro cs3 upgrade [ mac ],hewlett-packard - ( consumables ),630.36,passwords plus v. 1.0 complete package,nan,82.99,1
2,hp dss software v. 4.0 complete package t1936aa ua0 ),hewlett-packard - ( consumables ),630.36,passwords plus v. 1.0 complete package,apple software,24.58,1
3,microsoft works suite 2006,hewlett-packard - ( consumables ),499.95,passwords plus v. 1.0 complete package,nan,28.5,1
4,quicken 2007 basic,global-software-publishing,630.36,passwords plus v. 1.0 complete package,nan,28.5,1
5,instant immersion spanish 2.0,hewlett-packard - ( consumables ),1199.0,passwords plus v. 1.0 complete package,nan,28.5,1
6,hp dss software v. 4.0 complete package t1936aa ua0 ),hewlett-packard - ( consumables ),630.36,passwords plus v. 1.0 complete package,nan,49.99,1
7,adobe acrobat 7.0 professional,hewlett-packard - ( consumables ),79.99,passwords plus v. 1.0 complete package,nan,28.5,1
8,hp dss software v. 4.0 complete package t1936aa ua0 ),hewlett-packard - ( consumables ),630.36,passwords plus v. 1.0 complete package,global-software-publishing,23.44,0
9,hp dss software v. 4.0 complete package t1936aa ua0 ),microsoft licenses,630.36,passwords plus v. 1.0 complete package,nan,24.58,1
