,ltable_addr,ltable_city,ltable_class,ltable_name,ltable_phone,ltable_res_type,rtable_addr,rtable_city,rtable_class,rtable_name,rtable_phone,rtable_res_type,outcome
0,' 1402 n. highland ave. ',atlanta,74.0,` mambo restaurante cubano ',404/874 -2626,caribbean,' 1305 highland ave. ',` manhattan beach ',84.0,` uncle bill \ 's pancake house ',310-545-5177,diners,1
1,' 1402 n. highland ave. ',atlanta,74.0,` mambo restaurante cubano ',404/237 -2700,caribbean,' 1305 highland ave. ',` manhattan beach ',84.0,` uncle bill \ 's pancake house ',310-545-5177,diners,1
2,' 1402 n. highland ave. ',atlanta,22.0,` mambo restaurante cubano ',404/874 -2626,caribbean,' 1305 highland ave. ',atlanta,616.0,` uncle bill \ 's pancake house ',310-545-5177,diners,1
3,' 1402 n. highland ave. ',atlanta,74.0,` mambo restaurante cubano ',404/237 -2700,caribbean,' 1305 highland ave. ',atlanta,84.0,` uncle bill \ 's pancake house ',310-545-5177,diners,1
4,' 1402 n. highland ave. ',atlanta,22.0,` mambo restaurante cubano ',404/874 -2626,caribbean,' 1305 highland ave. ',atlanta,616.0,` uncle bill \ 's pancake house ',310-545-5177,` french ( classic ) ',1
5,' 1402 n. highland ave. ',atlanta,74.0,` circus circus ',404/237 -2700,caribbean,' 1305 highland ave. ',atlanta,84.0,` uncle bill \ 's pancake house ',310-545-5177,diners,1
6,' 3400 las vegas blvd. s ',atlanta,162.0,` pen & pencil ',404/874 -2626,caribbean,' 8795 sunset blvd. ',` manhattan beach ',74.0,` monte carlo ',310-545-5177,diners,1
7,' 1402 n. highland ave. ',atlanta,22.0,` mambo restaurante cubano ',404/874 -2626,caribbean,' 1305 highland ave. ',atlanta,616.0,` uncle bill \ 's pancake house ',213-655-9045,` french ( classic ) ',1
8,' 1402 n. highland ave. ',` san francisco ',116.0,` mambo restaurante cubano ',213/857 -0034,caribbean,' 1305 highland ave. ',` manhattan beach ',616.0,` uncle bill \ 's pancake house ',310-545-5177,vegetarian,1
9,' 1402 n. highland ave. ',` san francisco ',162.0,` mambo restaurante cubano ',404/874 -2626,caribbean,' 8424 beverly blvd. ',` manhattan beach ',22.0,` shun lee palace ',310-545-5177,diners,0
