,ltable_ABV,ltable_Beer_Name,ltable_Brew_Factory_Name,ltable_Style,rtable_ABV,rtable_Beer_Name,rtable_Brew_Factory_Name,rtable_Style,outcome
0,7.40 %,Honey Basil Amber,Rude Hippo Brewing Company,American Amber / Red Ale,11.25 %,Rude Hippo Honey Basil Amber,18th Street Brewery,Amber Ale,1
1,7.40 %,Starlord 's Mixtape / Groot Drank Imperial Red Ale,Rude Hippo Brewing Company,American Amber / Red Ale,7.40 %,Rude Hippo Honey Basil Amber,18th Street Brewery,Amber Ale,0
2,7.40 %,Legends Of The Bay Giant 's Tomb,Rude Hippo Brewing Company,American Amber / Red Ale,6.20 %,Rude Hippo Honey Basil Amber,18th Street Brewery,Amber Ale,0
3,7.40 %,Honey Basil Amber,Rude Hippo Brewing Company,American Amber / Red Ale,6 %,Golden City Centurion Barleywine Ale,18th Street Brewery,Amber Ale,0
4,7.40 %,Heatwave Red Ale,Cambridge Brewing Company,American Amber / Red Ale,7.40 %,Rude Hippo Honey Basil Amber,18th Street Brewery,Amber Ale,1
5,7.40 %,Honey Basil Amber,Rude Hippo Brewing Company,American Amber / Red Ale,7.40 %,Lavery Imperial Red Ale &#40; IRA &#41;,Rock Bottom Orland Park,Amber Ale,0
6,7.40 %,Aqula American Amber Ale,Sky High Brewing,American Amber / Red Ale,7.40 %,Rude Hippo Honey Basil Amber,18th Street Brewery,Amber Ale,0
7,7.40 %,Honey Basil Amber,Rude Hippo Brewing Company,American Amber / Red Ale,5.50 %,Rude Hippo Honey Basil Amber,18th Street Brewery,Amber Ale,1
8,7.40 %,Honey Amber Ale,Rude Hippo Brewing Company,American Amber / Red Ale,7.40 %,Rude Hippo Honey Basil Amber,18th Street Brewery,American Strong Ale,0
9,4.00 %,Honey Basil Amber,Rude Hippo Brewing Company,American Amber / Red Ale,7.40 %,Rude Hippo Honey Basil Amber,Riverbend Brewing & Sports Pub,Amber Ale,0
