,ltable_description,ltable_name,ltable_price,rtable_description,rtable_name,rtable_price,outcome
0,"sony 9 ' digital photo frame dpfv900 9 ' lcd with 800 x 480 resolution 15:9 aspect ratio 512mb internal memory supports most memory cards variety of display modes auto rotation and auto touch up feature hdmi output and bluetooth ready brilliant color photo display store up to 1,000 photos auto correction function remote control black finish",sony 9 ' digital photo frame in black dpfv900,nan,nan,sony dpfv900 digital photo frame dpf-v900,nan,1
1,"sony 9 ' digital photo frame dpfv900 9 ' lcd with 800 x 480 resolution 15:9 aspect ratio 512mb internal memory supports most memory cards variety of display modes auto rotation and auto touch up feature hdmi output and bluetooth ready brilliant color photo display store up to 1,000 photos auto correction function remote control black finish",sony 9 ' digital photo frame in black dpfv900,599.0,nan,sony dpfv900 digital photo frame dpf-v900,nan,1
2,"sony 9 ' digital photo frame dpfv900 9 ' lcd with 800 x 480 resolution 15:9 aspect ratio 512mb internal memory supports most memory cards variety of display modes auto rotation and auto touch up feature hdmi output and bluetooth ready brilliant color photo display store up to 1,000 photos auto correction function remote control black finish",sony 9 ' digital photo frame in black dpfv900,nan,nan,sony dpfv900 digital photo frame dpf-v900,104.95,1
3,panasonic dect 6.0 expandable digital cordless phone with all-digital answering system kxtg9342t 2 handsets system up to 6 multi-handset capability digital answering machine system ringer id call waiting caller id voicemail hold voice menu marker message mute clock alarm led lighting night mode call block speakerphone 11 days standby 5 hours talk time black metallic finish,sony 9 ' digital photo frame in black dpfv900,nan,nan,sony dpfv900 digital photo frame dpf-v900,nan,1
4,"sony 9 ' digital photo frame dpfv900 9 ' lcd with 800 x 480 resolution 15:9 aspect ratio 512mb internal memory supports most memory cards variety of display modes auto rotation and auto touch up feature hdmi output and bluetooth ready brilliant color photo display store up to 1,000 photos auto correction function remote control black finish",sony 9 ' digital photo frame in black dpfv900,69.0,nan,sony dpfv900 digital photo frame dpf-v900,nan,1
5,"sony 9 ' digital photo frame dpfv900 9 ' lcd with 800 x 480 resolution 15:9 aspect ratio 512mb internal memory supports most memory cards variety of display modes auto rotation and auto touch up feature hdmi output and bluetooth ready brilliant color photo display store up to 1,000 photos auto correction function remote control black finish",panasonic dect 6.0 expandable digital cordless phone with all-digital answering system kxtg9342t,39.0,nan,panasonic kx-tg9342t cordless phone,106.42,1
6,"sony 9 ' digital photo frame dpfv900 9 ' lcd with 800 x 480 resolution 15:9 aspect ratio 512mb internal memory supports most memory cards variety of display modes auto rotation and auto touch up feature hdmi output and bluetooth ready brilliant color photo display store up to 1,000 photos auto correction function remote control black finish",sony 9 ' digital photo frame in black dpfv900,35.0,nan,sony dpfv900 digital photo frame dpf-v900,461.96,1
7,"sony 9 ' digital photo frame dpfv900 9 ' lcd with 800 x 480 resolution 15:9 aspect ratio 512mb internal memory supports most memory cards variety of display modes auto rotation and auto touch up feature hdmi output and bluetooth ready brilliant color photo display store up to 1,000 photos auto correction function remote control black finish",sony 9 ' digital photo frame in black dpfv900,599.0,"canon powershot sd790 is 10 megapixel digital camera with 3x optical zoom , 3 ' lcd , & pictbridge",sony dpfv900 digital photo frame dpf-v900,nan,1
8,"sony 9 ' digital photo frame dpfv900 9 ' lcd with 800 x 480 resolution 15:9 aspect ratio 512mb internal memory supports most memory cards variety of display modes auto rotation and auto touch up feature hdmi output and bluetooth ready brilliant color photo display store up to 1,000 photos auto correction function remote control black finish",sony 9 ' digital photo frame in black dpfv900,39.95,nan,sony dpfv900 digital photo frame dpf-v900,329.0,1
9,"sony 9 ' digital photo frame dpfv900 9 ' lcd with 800 x 480 resolution 15:9 aspect ratio 512mb internal memory supports most memory cards variety of display modes auto rotation and auto touch up feature hdmi output and bluetooth ready brilliant color photo display store up to 1,000 photos auto correction function remote control black finish",sony 9 ' digital photo frame in black dpfv900,nan,8 megapixel 16:9 3x optical zoom 4x digital zoom 2.5 ' color lcd,sony dpfv900 digital photo frame dpf-v900,104.95,1
