,label,ltable_title,ltable_manufacturer,ltable_price,rtable_title,rtable_manufacturer,rtable_price,alteredAttributes,droppedValues,copiedValues,classes,labels,nomatch_score,match_score,attr_count
0,,ghost recon gold edition ( dvd-rom,me-too-software,29.99,ghost recon gold edition ( dvd-rom ),,20.95,"('ltable_title',)",['i transfer dvds 2 ipod edition ( win/mac )'],['ghost recon gold edition ( dvd-rom'],1,0,0.04996726,0.9500328,2
1,,ghost recon gold edition ( dvd-rom,,29.99,ghost recon gold edition ( dvd-rom ),,20.95,"('ltable_title', 'ltable_manufacturer')","['i transfer dvds 2 ipod edition ( win/mac )', 'me-too-software']","['ghost recon gold edition ( dvd-rom', nan]",1,0,0.030552814,0.9694472,2
2,,ghost recon gold edition ( dvd-rom,me-too-software,20.95,ghost recon gold edition ( dvd-rom ),,20.95,"('ltable_title', 'ltable_price')","['i transfer dvds 2 ipod edition ( win/mac )', 29.99]","['ghost recon gold edition ( dvd-rom', 20.95]",1,0,0.01918948,0.9808106,2
4,,ghost recon gold edition,,29.99,ghost recon gold edition ( dvd-rom ),,20.95,"('ltable_title', 'ltable_manufacturer')","['i transfer dvds 2 ipod edition ( win/mac )', 'me-too-software']","['ghost recon gold edition', nan]",1,0,0.22880258,0.7711975,2
5,,ghost recon gold edition,me-too-software,20.95,ghost recon gold edition ( dvd-rom ),,20.95,"('ltable_title', 'ltable_price')","['i transfer dvds 2 ipod edition ( win/mac )', 29.99]","['ghost recon gold edition', 20.95]",1,0,0.027696384,0.9723036,2
7,,ghost recon gold,me-too-software,20.95,ghost recon gold edition ( dvd-rom ),,20.95,"('ltable_title', 'ltable_price')","['i transfer dvds 2 ipod edition ( win/mac )', 29.99]","['ghost recon gold', 20.95]",1,0,0.024418812,0.97558117,2
9,,ghost recon gold edition (,me-too-software,29.99,ghost recon gold edition ( dvd-rom ),,20.95,"('ltable_title',)",['i transfer dvds 2 ipod edition ( win/mac )'],['ghost recon gold edition ('],1,0,0.2618874,0.73811257,2
10,,ghost recon gold edition (,,29.99,ghost recon gold edition ( dvd-rom ),,20.95,"('ltable_title', 'ltable_manufacturer')","['i transfer dvds 2 ipod edition ( win/mac )', 'me-too-software']","['ghost recon gold edition (', nan]",1,0,0.05386522,0.9461348,2
11,,ghost recon gold edition (,me-too-software,20.95,ghost recon gold edition ( dvd-rom ),,20.95,"('ltable_title', 'ltable_price')","['i transfer dvds 2 ipod edition ( win/mac )', 29.99]","['ghost recon gold edition (', 20.95]",1,0,0.024456427,0.9755435,2
3,,ghost recon gold edition ( dvd-rom,,20.95,ghost recon gold edition ( dvd-rom ),,20.95,"('ltable_title', 'ltable_manufacturer', 'ltable_price')","['i transfer dvds 2 ipod edition ( win/mac )', 'me-too-software', 29.99]","['ghost recon gold edition ( dvd-rom', nan, 20.95]",1,0,0.019891212,0.9801088,3
6,,ghost recon gold edition,,20.95,ghost recon gold edition ( dvd-rom ),,20.95,"('ltable_title', 'ltable_manufacturer', 'ltable_price')","['i transfer dvds 2 ipod edition ( win/mac )', 'me-too-software', 29.99]","['ghost recon gold edition', nan, 20.95]",1,0,0.054188926,0.94581103,3
8,,ghost recon gold,,20.95,ghost recon gold edition ( dvd-rom ),,20.95,"('ltable_title', 'ltable_manufacturer', 'ltable_price')","['i transfer dvds 2 ipod edition ( win/mac )', 'me-too-software', 29.99]","['ghost recon gold', nan, 20.95]",1,0,0.20185468,0.79814535,3
12,,ghost recon gold edition (,,20.95,ghost recon gold edition ( dvd-rom ),,20.95,"('ltable_title', 'ltable_manufacturer', 'ltable_price')","['i transfer dvds 2 ipod edition ( win/mac )', 'me-too-software', 29.99]","['ghost recon gold edition (', nan, 20.95]",1,0,0.030397834,0.96960217,3
