,ltable_Beer_Name,ltable_Brew_Factory_Name,ltable_Style,ltable_ABV,rtable_Beer_Name,rtable_Brew_Factory_Name,rtable_Style,rtable_ABV,alteredAttributes,droppedValues,copiedValues,nomatch_score,match_score,attr_count
0,Green Flash Hop Head Red Ale,Green Flash Brewing Co. .,American Amber / Red Ale,8.10 %,Town Hall Festivus 2014,Iron Horse Brewery,American Strong Ale,6.10 %,"('rtable_Beer_Name', 'rtable_ABV')","['Iron Horse Fresh Hop Imperial Red Ale', '-']","['Town Hall Festivus 2014', '6.10 %']",0.4718344211578369,0.5281655788421631,2
94,Green Flash Hop Head Red Ale,Green Flash Brewing Co. .,American Amber / Red Ale,8.10 %,Torquemada Sarmiento,Iron Horse Brewery,American Strong Ale,7 %,"('rtable_Beer_Name', 'rtable_ABV')","['Iron Horse Fresh Hop Imperial Red Ale', '-']","['Torquemada Sarmiento', '7 %']",0.4412460923194885,0.5587539076805115,2
193,Green Flash Hop Head Red Ale,Green Flash Brewing Co. .,American Amber / Red Ale,8.10 %,Atwater 1936,Atwater Block Brewery,American Strong Ale,-,"('rtable_Beer_Name', 'rtable_Brew_Factory_Name')","['Iron Horse Fresh Hop Imperial Red Ale', 'Iron Horse Brewery']","['Atwater 1936', 'Atwater Block Brewery']",0.4064444899559021,0.5935555100440979,2
194,Green Flash Hop Head Red Ale,Green Flash Brewing Co. .,American Amber / Red Ale,8.10 %,Atwater 1936,Iron Horse Brewery,American Strong Ale,-,"('rtable_Beer_Name', 'rtable_Style')","['Iron Horse Fresh Hop Imperial Red Ale', 'American Strong Ale']","['Atwater 1936', 'American Strong Ale']",0.40245193243026733,0.5975480675697327,2
195,Green Flash Hop Head Red Ale,Green Flash Brewing Co. .,American Amber / Red Ale,8.10 %,Atwater 1936,Iron Horse Brewery,American Strong Ale,9 %,"('rtable_Beer_Name', 'rtable_ABV')","['Iron Horse Fresh Hop Imperial Red Ale', '-']","['Atwater 1936', '9 %']",0.45203471183776855,0.5479652881622314,2
90,Green Flash Hop Head Red Ale,Green Flash Brewing Co. .,American Amber / Red Ale,8.10 %,Backlash Ricochet,Iron Horse Brewery,American Strong Ale,7 %,"('rtable_Beer_Name', 'rtable_ABV')","['Iron Horse Fresh Hop Imperial Red Ale', '-']","['Backlash Ricochet', '7 %']",0.40088897943496704,0.599111020565033,2
86,Green Flash Hop Head Red Ale,Green Flash Brewing Co. .,American Amber / Red Ale,8.10 %,Bunpat Rossa,Iron Horse Brewery,Amber Ale,-,"('rtable_Beer_Name', 'rtable_Style')","['Iron Horse Fresh Hop Imperial Red Ale', 'American Strong Ale']","['Bunpat Rossa', 'Amber Ale']",0.4686084985733032,0.5313915014266968,2
200,Green Flash Hop Head Red Ale,Green Flash Brewing Co. .,American Amber / Red Ale,8.10 %,Bressene,Iron Horse Brewery,American Strong Ale,-,"('rtable_Beer_Name',)",['Iron Horse Fresh Hop Imperial Red Ale'],['Bressene'],0.4310329556465149,0.5689670443534851,2
201,Green Flash Hop Head Red Ale,Green Flash Brewing Co. .,American Amber / Red Ale,8.10 %,Bressene,Brasserie Grain d_Orge,American Strong Ale,-,"('rtable_Beer_Name', 'rtable_Brew_Factory_Name')","['Iron Horse Fresh Hop Imperial Red Ale', 'Iron Horse Brewery']","['Bressene', 'Brasserie Grain d_Orge']",0.4206373691558838,0.5793626308441162,2
202,Green Flash Hop Head Red Ale,Green Flash Brewing Co. .,American Amber / Red Ale,8.10 %,Bressene,Iron Horse Brewery,Belgian Strong Ale,-,"('rtable_Beer_Name', 'rtable_Style')","['Iron Horse Fresh Hop Imperial Red Ale', 'American Strong Ale']","['Bressene', 'Belgian Strong Ale']",0.4122377038002014,0.5877622961997986,2
81,Green Flash Hop Head Red Ale,Green Flash Brewing Co. .,American Amber / Red Ale,8.10 %,Havannah,Iron Horse Brewery,American Strong Ale,5.80 %,"('rtable_Beer_Name', 'rtable_ABV')","['Iron Horse Fresh Hop Imperial Red Ale', '-']","['Havannah', '5.80 %']",0.4125800132751465,0.5874199867248535,2
80,Green Flash Hop Head Red Ale,Green Flash Brewing Co. .,American Amber / Red Ale,8.10 %,Havannah,Iron Horse Brewery,Amber Ale,-,"('rtable_Beer_Name', 'rtable_Style')","['Iron Horse Fresh Hop Imperial Red Ale', 'American Strong Ale']","['Havannah', 'Amber Ale']",0.27162063121795654,0.7283793687820435,2
192,Green Flash Hop Head Red Ale,Green Flash Brewing Co. .,American Amber / Red Ale,8.10 %,Atwater 1936,Iron Horse Brewery,American Strong Ale,-,"('rtable_Beer_Name',)",['Iron Horse Fresh Hop Imperial Red Ale'],['Atwater 1936'],0.40245193243026733,0.5975480675697327,2
79,Green Flash Hop Head Red Ale,Green Flash Brewing Co. .,American Amber / Red Ale,8.10 %,Havannah,Grande Brasserie de Nouvelle-CalÃ © donie SA ( Heineken ),American Strong Ale,-,"('rtable_Beer_Name', 'rtable_Brew_Factory_Name')","['Iron Horse Fresh Hop Imperial Red Ale', 'Iron Horse Brewery']","['Havannah', 'Grande Brasserie de Nouvelle-CalÃ © donie SA ( Heineken )']",0.41382038593292236,0.5861796140670776,2
