,ltable_ABV,ltable_Beer_Name,ltable_Brew_Factory_Name,ltable_Style,rtable_ABV,rtable_Beer_Name,rtable_Brew_Factory_Name,rtable_Style,outcome
0,7.50 %,Bushfire American Red,Smuttynose Brewing Company,American Amber / Red Ale,7.60 %,Bristol Old No. 23 Barley Wine,Ballast Point Brewing Company,American Strong Ale,0
1,8.50 %,Arrow Point Amber,La Quinta Brewing Co. .,American Amber / Red Ale,5.90 %,Riverbend Barrel Aged Right Said Red,Rock Bottom Orland Park,Barley Wine,0
2,8.50 %,Honey Basil Amber,Mammoth Brewing Company,American Amber / Red Ale,7.60 %,Hillcrest Big Red Balls,Rock Bottom Orland Park,American Strong Ale,0
3,8.50 %,Arrow Point Amber,Smuttynose Brewing Company,American Amber / Red Ale,5.90 %,Riverbend Barrel Aged Right Said Red,Rock Bottom Orland Park,Barley Wine,0
4,8.50 %,Legends Of The Bay Giant 's Tomb,Smuttynose Brewing Company,American Barleywine,5.90 %,Bainbridge Island Arrow Point Amber,Ca l_Arenys - Cervezas Guineu,American Strong Ale,1
5,8.50 %,Honey Basil Amber,Mammoth Brewing Company,American Amber / Red Ale,7.60 %,Hillcrest Big Red Balls,Rock Bottom Orland Park,Imperial IPA,1
6,7.50 %,Bushfire American Red,Smuttynose Brewing Company,American Amber / Red Ale,7.60 %,Bristol Old No. 23 Barley Wine,Rock Bottom Orland Park,American Strong Ale,0
7,8.50 %,Legends Of The Bay Giant 's Tomb,Smuttynose Brewing Company,American Amber / Red Ale,7.60 %,Bainbridge Island Arrow Point Amber,Ca l_Arenys - Cervezas Guineu,American Strong Ale,1
8,8.50 %,Legends Of The Bay Giant 's Tomb,Smuttynose Brewing Company,American Amber / Red Ale,5.90 %,Bainbridge Island Arrow Point Amber,Ca l_Arenys - Cervezas Guineu,American Strong Ale,1
9,4.60 %,Smuttynose Kindest Find Imperial Red Ale,Bier Kaffee Aqula,American Barleywine,4.60 %,Winthrop Double Dry Hopped Amber,Rock Bottom Orland Park,Specialty Grain,0
