,ltable_title,ltable_authors,ltable_venue,ltable_year,rtable_title,rtable_authors,rtable_venue,rtable_year,outcome
0,indexing the positions of continuously moving objects,"m winslett , k smith , x qian",acm trans . database syst .,2002.0,on completeness of historical relational query languages,"j clifford , a croker , a tuzhilin","acm transactions on database systems ( tods ) ,",1994.0,0
1,indexing the positions of continuously moving objects,"m winslett , k smith , x qian",acm trans . database syst .,1994.0,on completeness of historical relational query languages,ms bsee,"acm transactions on database systems ( tods ) ,",2004.0,1
2,mining fuzzy association rules in databases,"m winslett , k smith , x qian",acm trans . database syst .,1994.0,on completeness of historical relational query languages,"j clifford , a croker , a tuzhilin","proc . acm sigmod ,",1994.0,1
3,indexing the positions of continuously moving objects,"m winslett , k smith , x qian",acm trans . database syst .,1994.0,on completeness of historical relational query languages,"j clifford , a croker , a tuzhilin","acm transactions on database systems ( tods ) ,",1994.0,0
4,indexing the positions of continuously moving objects,"m winslett , k smith , x qian",acm trans . database syst .,2002.0,on completeness of historical relational query languages,"tp hong , cs kuo , sc chi","acm transactions on database systems ( tods ) ,",1994.0,0
5,mining fuzzy association rules in databases,"m winslett , k smith , x qian",acm trans . database syst .,1994.0,on completeness of historical relational query languages,"j clifford , a croker , a tuzhilin","proc . acm sigmod ,",1980.0,1
6,mining fuzzy association rules in databases,"m winslett , k smith , x qian",acm trans . database syst .,1994.0,on completeness of historical relational query languages,"j clifford , a croker , a tuzhilin","proceedings of the 1986 acm sigmod international conference & hellip ; ,",1994.0,0
7,indexing the positions of continuously moving objects,"m winslett , k smith , x qian",acm trans . database syst .,1994.0,on completeness of historical relational query languages,"j clifford , a croker , a tuzhilin","acm transactions on database systems ( tods ) ,",2004.0,0
8,indexing the positions of continuously moving objects,"m winslett , k smith , x qian",acm trans . database syst .,1994.0,on completeness of historical relational query languages,"j clifford , a croker , a tuzhilin","proceedings of the 2005 acm sigmod international conference & hellip ; ,",1994.0,0
9,indexing the positions of continuously moving objects,"m winslett , k smith , x qian",vldb,1994.0,on completeness of historical relational query languages,"j clifford , a croker , a tuzhilin","acm transactions on database systems ( tods ) ,",1994.0,1
