,ltable_ABV,ltable_Beer_Name,ltable_Brew_Factory_Name,ltable_Style,rtable_ABV,rtable_Beer_Name,rtable_Brew_Factory_Name,rtable_Style,outcome
0,6.90 %,Jazz Beer Tarraco Amber,Tarraco Beer,American Amber / Red Ale,6.90 %,Blue Cat Red Toad Amber Ale,Hopworks Urban Brewery,Amber Ale,0
1,6.90 %,Jazz Beer Tarraco Amber,Tarraco Beer,American Amber / Red Ale,7.40 %,Jazz Beer Tarraco Amber,Third Base Sports Bar & Brewery,Amber Ale,0
2,4.50 %,Jazz Beer Tarraco Amber,Tarraco Beer,American Amber / Red Ale,6.90 %,Jazz Beer Tarraco Amber,Ballast Point Brewing Company,Amber Ale,0
3,6.90 %,Jazz Beer Tarraco Amber,Bridge Brewing Company,American Amber / Red Ale,6.90 %,Three Heads Buffalo Soul Jah Imperial Red Ale,Ca l_Arenys - Cervezas Guineu,Amber Ale,0
4,6.90 %,Real McCoy Amber Ale,Hillcrest Brewing Company,American Amber / Red Ale,6.90 %,Jazz Beer Tarraco Amber,Ca l_Arenys - Cervezas Guineu,Amber Ale,0
5,6.90 %,Jazz Beer Tarraco Amber,Tarraco Beer,American Amber / Red Ale,6.20 %,Sick N Twisted Pleasure Victim Amber Ale,Ca l_Arenys - Cervezas Guineu,Amber Ale,0
6,6.90 %,Jazz Beer Tarraco Amber,Tarraco Beer,American Amber / Red Ale,6.90 %,Lompoc Bourbon Barrel Aged Old Tavern Rat,Ca l_Arenys - Cervezas Guineu,Amber Ale,0
7,6.90 %,Red Dirt Imperial Red Ale,Tarraco Beer,American Amber / Red Ale,5.30 %,Jazz Beer Tarraco Amber,Ca l_Arenys - Cervezas Guineu,Amber Ale,0
8,6.90 %,Jazz Beer Tarraco Amber,Tarraco Beer,American Amber / Red Ale,-,Jazz Beer Tarraco Amber,Ca l_Arenys - Cervezas Guineu,Amber Ale,0
9,6.90 %,Red Rock Opie Red Ale,Tarraco Beer,American Amber / Red Ale,5.40 %,Jazz Beer Tarraco Amber,Ca l_Arenys - Cervezas Guineu,Amber Ale,0
