ltable_id,rtable_id
4440,603
4440,11961
4440,12662
4440,33034
4440,33037
4440,54349
4440,54361
4440,54820
31090,0
31090,70
31090,72
31090,74
31090,124
31090,126
31090,185
31090,189
31090,200
31090,201
31090,202
31090,203
31090,212
31090,243
31090,244
31090,370
31090,546
31090,547
31090,556
31090,557
31090,558
31090,596
31090,597
31090,599
31090,600
31090,601
31090,603
31090,604
31090,605
31090,607
31090,608
31090,644
31090,645
31090,646
31090,647
31090,648
31090,649
31090,650
31090,651
31090,652
31090,753
31090,763
31090,787
31090,827
31090,830
31090,881
31090,915
31090,927
31090,937
31090,982
31090,983
31090,984
31090,1015
31090,1044
31090,1354
31090,1377
31090,1399
31090,1421
31090,1675
31090,1683
31090,1690
31090,1691
31090,1701
31090,1702
31090,1703
31090,1704
31090,1705
31090,1706
31090,1707
31090,1708
31090,1709
31090,1710
31090,1711
31090,1712
31090,1713
31090,1720
31090,1742
31090,1743
31090,1825
31090,1831
31090,1832
31090,1833
31090,1834
31090,1835
31090,1836
31090,1837
31090,1838
31090,1839
31090,1840
31090,2013
31090,2048
31090,2049
31090,2050
31090,2058
31090,2065
31090,2076
31090,2117
31090,2124
31090,2142
31090,2143
31090,2240
31090,2241
31090,2245
31090,2257
31090,2264
31090,2302
31090,2330
31090,2372
31090,2374
31090,2377
31090,2378
31090,2404
31090,2429
31090,2437
31090,2442
31090,2444
31090,2446
31090,2457
31090,2587
31090,2602
31090,2652
31090,2674
31090,2683
31090,2687
31090,2688
31090,2762
31090,2763
31090,2764
31090,2765
31090,2787
31090,2788
31090,2789
31090,2790
31090,2791
31090,2792
31090,2793
31090,2819
31090,2822
31090,2823
31090,3116
31090,3174
31090,3175
31090,3181
31090,3429
31090,3431
31090,3473
31090,3484
31090,3485
31090,3487
31090,3796
31090,3797
31090,3798
31090,3800
31090,3801
31090,3810
31090,3811
31090,3812
31090,3813
31090,3814
31090,3815
31090,3816
31090,3817
31090,3820
31090,3821
31090,3822
31090,3823
31090,3824
31090,3826
31090,3827
31090,3828
31090,3829
31090,3830
31090,3831
31090,3832
31090,3833
31090,3834
31090,3835
31090,3836
31090,3837
31090,3838
31090,3839
31090,3840
31090,3841
31090,3842
31090,3843
31090,3844
31090,3845
31090,3846
31090,3847
31090,3848
31090,3849
31090,3851
31090,3852
31090,3853
31090,3854
31090,3855
31090,3856
31090,3857
31090,3858
31090,4159
31090,4173
31090,4174
31090,4180
31090,4182
31090,4183
31090,4184
31090,4185
31090,4189
31090,4190
31090,4191
31090,4192
31090,4193
31090,4194
31090,4205
31090,4206
31090,4207
31090,4208
31090,4209
31090,4240
31090,4241
31090,4242
31090,4248
31090,4297
31090,4324
31090,4325
31090,4327
31090,4328
31090,4329
31090,4330
31090,4331
31090,4332
31090,4333
31090,4335
31090,4338
31090,4340
31090,4341
31090,4345
31090,4346
31090,4348
31090,4349
31090,4351
31090,4352
31090,4353
31090,4356
31090,4361
31090,4362
31090,4364
31090,4380
31090,4381
31090,4391
31090,4392
31090,4393
31090,4408
31090,4409
31090,4410
31090,4411
31090,4412
31090,4413
31090,4414
31090,4415
31090,4416
31090,4417
31090,4418
31090,4636
31090,4637
31090,4727
31090,4731
31090,4790
31090,4792
31090,4793
31090,4794
31090,4795
31090,4796
31090,4797
31090,4798
31090,4799
31090,4802
31090,4804
31090,4811
31090,4813
31090,4818
31090,4825
31090,4833
31090,4865
31090,4966
31090,4967
31090,4968
31090,4969
31090,4971
31090,4976
31090,4978
31090,4979
31090,4981
31090,4982
31090,4995
31090,4996
31090,4997
31090,4998
31090,4999
31090,5000
31090,5001
31090,5002
31090,5003
31090,5004
31090,5005
31090,5143
31090,5144
31090,5145
31090,5146
31090,5147
31090,5148
31090,5150
31090,5152
31090,5154
31090,5155
31090,5156
31090,5157
31090,5158
31090,5159
31090,5160
31090,5161
31090,5162
31090,5213
31090,5214
31090,5215
31090,5315
31090,5458
31090,5459
31090,5464
31090,5474
31090,5477
31090,5478
31090,5479
31090,5480
31090,5481
31090,5482
31090,5483
31090,5484
31090,5485
31090,5487
31090,5488
31090,5729
31090,5732
31090,5734
31090,5735
31090,5765
31090,5766
31090,5767
31090,5768
31090,5769
31090,5770
31090,5772
31090,5773
31090,5774
31090,5779
31090,5780
31090,5784
31090,5786
31090,5789
31090,5819
31090,5823
31090,6045
31090,6046
31090,6047
31090,6048
31090,6049
31090,6050
31090,6051
31090,6052
31090,6053
31090,6054
31090,6055
31090,6056
31090,6057
31090,6058
31090,6059
31090,6060
31090,6147
31090,6157
31090,6181
31090,6182
31090,6183
31090,6184
31090,6185
31090,6186
31090,6187
31090,6188
31090,6189
31090,6190
31090,6191
31090,6192
31090,6625
31090,6627
31090,6628
31090,6630
31090,6631
31090,6632
31090,6633
31090,6634
31090,6636
31090,6637
31090,6638
31090,6749
31090,6751
31090,6754
31090,6756
31090,6757
31090,6760
31090,6762
31090,6765
31090,6766
31090,6768
31090,6769
31090,6771
31090,6775
31090,6777
31090,6778
31090,6779
31090,6780
31090,6781
31090,6782
31090,6783
31090,6784
31090,6785
31090,6786
31090,6787
31090,6788
31090,6789
31090,6790
31090,6791
31090,6794
31090,6796
31090,6799
31090,6893
31090,6894
31090,6897
31090,6901
31090,6903
