,ltable_name,ltable_addr,ltable_city,ltable_phone,ltable_res_type,ltable_class,rtable_name,rtable_addr,rtable_city,rtable_phone,rtable_res_type,rtable_class,alteredAttributes,droppedValues,copiedValues,nomatch_score,match_score,attr_count
0,` tommy tang \ 's ',' 7313 melrose ave. ',` los angeles ',213/937 -5733,asian,167,citrus,' 6703 melrose ave. ',` los angeles ',213-857-0034,californian,167,"('rtable_class',)",[6],[167],0.48753368854522705,0.512466311454773,2
195,` tommy tang \ 's ',' 7313 melrose ave. ',` los angeles ',213/937 -5733,asian,167,citrus,' 6703 melrose ave. ',` los angeles ',213-857-0034,californian,167,"('rtable_city', 'rtable_class')","[""` los angeles '"", 6]","[""` los angeles '"", 167]",0.4748508334159851,0.5251491665840149,2
196,` tommy tang \ 's ',' 7313 melrose ave. ',` los angeles ',213/937 -5733,asian,167,citrus,' 6703 melrose ave. ',` los angeles ',213/937 -5733,californian,167,"('rtable_phone', 'rtable_class')","['213-857-0034', 6]","['213/937 -5733', 167]",0.4394901394844055,0.5605098605155945,2
197,` tommy tang \ 's ',' 7313 melrose ave. ',` los angeles ',213/937 -5733,asian,167,citrus,' 6703 melrose ave. ',` los angeles ',213-857-0034,asian,167,"('rtable_res_type', 'rtable_class')","['californian', 6]","['asian', 167]",0.47632914781570435,0.5236708521842957,2
224,` tommy tang \ 's ',' 7313 melrose ave. ',` los angeles ',213/937 -5733,asian,167,citrus,' 6703 melrose ave. ',` los angeles ',213-857-0034,californian,167,"('rtable_class',)",[6],[167],0.48687344789505005,0.51312655210495,2
225,` tommy tang \ 's ',' 7313 melrose ave. ',` los angeles ',213/937 -5733,asian,167,` tommy tang \,' 6703 melrose ave. ',` los angeles ',213-857-0034,californian,167,"('rtable_name', 'rtable_class')","['citrus', 6]","['` tommy tang \\', 167]",0.368727445602417,0.631272554397583,2
226,` tommy tang \ 's ',' 7313 melrose ave. ',` los angeles ',213/937 -5733,asian,167,citrus,' 7313 melrose ave. ',` los angeles ',213-857-0034,californian,167,"('rtable_addr', 'rtable_class')","[""' 6703 melrose ave. '"", 6]","[""' 7313 melrose ave. '"", 167]",0.462710976600647,0.537289023399353,2
227,` tommy tang \ 's ',' 7313 melrose ave. ',` los angeles ',213/937 -5733,asian,167,citrus,' 6703 melrose ave. ',` los angeles ',213-857-0034,californian,167,"('rtable_city', 'rtable_class')","[""` los angeles '"", 6]","[""` los angeles '"", 167]",0.4748508334159851,0.5251491665840149,2
228,` tommy tang \ 's ',' 7313 melrose ave. ',` los angeles ',213/937 -5733,asian,167,citrus,' 6703 melrose ave. ',` los angeles ',213/937 -5733,californian,167,"('rtable_phone', 'rtable_class')","['213-857-0034', 6]","['213/937 -5733', 167]",0.43187010288238525,0.5681298971176147,2
229,` tommy tang \ 's ',' 7313 melrose ave. ',` los angeles ',213/937 -5733,asian,167,citrus,' 6703 melrose ave. ',` los angeles ',213-857-0034,asian,167,"('rtable_res_type', 'rtable_class')","['californian', 6]","['asian', 167]",0.48070406913757324,0.5192959308624268,2
477,` tommy tang \ 's ',' 7313 melrose ave. ',` los angeles ',213/937 -5733,asian,167,citrus,' 6703 melrose ave. ',` los angeles ',213-857-0034,californian,167,"('rtable_class',)",[6],[167],0.48693162202835083,0.5130683779716492,2
575,` tommy tang \ 's ',' 7313 melrose ave. ',` los angeles ',213/937 -5733,asian,167,citrus,' 6703 melrose ave. ',` los angeles ',213-857-0034,asian,167,"('rtable_res_type', 'rtable_class')","['californian', 6]","['asian', 167]",0.48076385259628296,0.519236147403717,2
574,` tommy tang \ 's ',' 7313 melrose ave. ',` los angeles ',213/937 -5733,asian,167,citrus,' 6703 melrose ave. ',` los angeles ',213/937 -5733,californian,167,"('rtable_phone', 'rtable_class')","['213-857-0034', 6]","['213/937 -5733', 167]",0.44366884231567383,0.5563311576843262,2
573,` tommy tang \ 's ',' 7313 melrose ave. ',` los angeles ',213/937 -5733,asian,167,citrus,' 6703 melrose ave. ',los angeles ',213-857-0034,californian,167,"('rtable_city', 'rtable_class')","[""` los angeles '"", 6]","[""los angeles '"", 167]",0.4839928150177002,0.5160071849822998,2
572,` tommy tang \ 's ',' 7313 melrose ave. ',` los angeles ',213/937 -5733,asian,167,citrus,' 7313 melrose ave. ',` los angeles ',213-857-0034,californian,167,"('rtable_addr', 'rtable_class')","[""' 6703 melrose ave. '"", 6]","[""' 7313 melrose ave. '"", 167]",0.462710976600647,0.537289023399353,2
571,` tommy tang \ 's ',' 7313 melrose ave. ',` los angeles ',213/937 -5733,asian,167,` tommy tang \ 's ',' 6703 melrose ave. ',` los angeles ',213-857-0034,californian,167,"('rtable_name', 'rtable_class')","['citrus', 6]","[""` tommy tang \\ 's '"", 167]",0.35891181230545044,0.6410881876945496,2
570,` tommy tang \ 's ',' 7313 melrose ave. ',` los angeles ',213/937 -5733,asian,167,citrus,' 6703 melrose ave. ',` los angeles ',213-857-0034,californian,167,"('rtable_class',)",[6],[167],0.4874265789985657,0.5125734210014343,2
256,` tommy tang \ 's ',' 7313 melrose ave. ',` los angeles ',213/937 -5733,asian,167,citrus,' 6703 melrose ave. ',` los angeles ',213-857-0034,californian,167,"('rtable_class',)",[6],[167],0.4748508334159851,0.5251491665840149,2
257,` tommy tang \ 's ',' 7313 melrose ave. ',` los angeles ',213/937 -5733,asian,167,',' 6703 melrose ave. ',` los angeles ',213-857-0034,californian,167,"('rtable_name', 'rtable_class')","['citrus', 6]","[""'"", 167]",0.4571242332458496,0.5428757667541504,2
258,` tommy tang \ 's ',' 7313 melrose ave. ',` los angeles ',213/937 -5733,asian,167,citrus,' 7313 melrose ave. ',` los angeles ',213-857-0034,californian,167,"('rtable_addr', 'rtable_class')","[""' 6703 melrose ave. '"", 6]","[""' 7313 melrose ave. '"", 167]",0.462710976600647,0.537289023399353,2
259,` tommy tang \ 's ',' 7313 melrose ave. ',` los angeles ',213/937 -5733,asian,167,citrus,' 6703 melrose ave. ',` los angeles ',213-857-0034,californian,167,"('rtable_city', 'rtable_class')","[""` los angeles '"", 6]","[""` los angeles '"", 167]",0.4748508334159851,0.5251491665840149,2
260,` tommy tang \ 's ',' 7313 melrose ave. ',` los angeles ',213/937 -5733,asian,167,citrus,' 6703 melrose ave. ',` los angeles ',213/937 -5733,californian,167,"('rtable_phone', 'rtable_class')","['213-857-0034', 6]","['213/937 -5733', 167]",0.43187010288238525,0.5681298971176147,2
261,` tommy tang \ 's ',' 7313 melrose ave. ',` los angeles ',213/937 -5733,asian,167,citrus,' 6703 melrose ave. ',` los angeles ',213-857-0034,asian,167,"('rtable_res_type', 'rtable_class')","['californian', 6]","['asian', 167]",0.46830272674560547,0.5316972732543945,2
288,` tommy tang \ 's ',' 7313 melrose ave. ',` los angeles ',213/937 -5733,asian,167,citrus,' 6703 melrose ave. ',` los angeles ',213-857-0034,californian,167,"('rtable_class',)",[6],[167],0.4748508334159851,0.5251491665840149,2
289,` tommy tang \ 's ',' 7313 melrose ave. ',` los angeles ',213/937 -5733,asian,167,` tommy tang \ 's,' 6703 melrose ave. ',` los angeles ',213-857-0034,californian,167,"('rtable_name', 'rtable_class')","['citrus', 6]","[""` tommy tang \\ 's"", 167]",0.36247098445892334,0.6375290155410767,2
290,` tommy tang \ 's ',' 7313 melrose ave. ',` los angeles ',213/937 -5733,asian,167,citrus,' 7313 melrose ave. ',` los angeles ',213-857-0034,californian,167,"('rtable_addr', 'rtable_class')","[""' 6703 melrose ave. '"", 6]","[""' 7313 melrose ave. '"", 167]",0.462710976600647,0.537289023399353,2
194,` tommy tang \ 's ',' 7313 melrose ave. ',` los angeles ',213/937 -5733,asian,167,citrus,' 7313 melrose ave. ',` los angeles ',213-857-0034,californian,167,"('rtable_addr', 'rtable_class')","[""' 6703 melrose ave. '"", 6]","[""' 7313 melrose ave. '"", 167]",0.462710976600647,0.537289023399353,2
291,` tommy tang \ 's ',' 7313 melrose ave. ',` los angeles ',213/937 -5733,asian,167,citrus,' 6703 melrose ave. ',` los angeles ',213-857-0034,californian,167,"('rtable_city', 'rtable_class')","[""` los angeles '"", 6]","[""` los angeles '"", 167]",0.4748508334159851,0.5251491665840149,2
193,` tommy tang \ 's ',' 7313 melrose ave. ',` los angeles ',213/937 -5733,asian,167,'s ',' 6703 melrose ave. ',` los angeles ',213-857-0034,californian,167,"('rtable_name', 'rtable_class')","['citrus', 6]","[""'s '"", 167]",0.41685307025909424,0.5831469297409058,2
602,` tommy tang \ 's ',' 7313 melrose ave. ',` los angeles ',213/937 -5733,asian,167,citrus,' 6703 melrose ave. ',` los angeles ',213-857-0034,californian,167,"('rtable_class',)",[6],[167],0.48693162202835083,0.5130683779716492,2
695,` tommy tang \ 's ',' 7313 melrose ave. ',` los angeles ',213/937 -5733,asian,167,citrus,' 7313 melrose ave. ',` los angeles ',213-857-0034,californian,167,"('rtable_addr', 'rtable_class')","[""' 6703 melrose ave. '"", 6]","[""' 7313 melrose ave. '"", 167]",0.462710976600647,0.537289023399353,2
696,` tommy tang \ 's ',' 7313 melrose ave. ',` los angeles ',213/937 -5733,asian,167,citrus,' 6703 melrose ave. ',` los angeles ',213/937 -5733,californian,167,"('rtable_phone', 'rtable_class')","['213-857-0034', 6]","['213/937 -5733', 167]",0.44366884231567383,0.5563311576843262,2
697,` tommy tang \ 's ',' 7313 melrose ave. ',` los angeles ',213/937 -5733,asian,167,citrus,' 6703 melrose ave. ',` los angeles ',213-857-0034,asian,167,"('rtable_res_type', 'rtable_class')","['californian', 6]","['asian', 167]",0.48076385259628296,0.519236147403717,2
128,` tommy tang \ 's ',' 7313 melrose ave. ',` los angeles ',213/937 -5733,asian,167,citrus,' 6703 melrose ave. ',` los angeles ',213-857-0034,californian,167,"('rtable_class',)",[6],[167],0.4863101840019226,0.5136898159980774,2
129,` tommy tang \ 's ',' 7313 melrose ave. ',` los angeles ',213/937 -5733,asian,167,\ 's ',' 6703 melrose ave. ',` los angeles ',213-857-0034,californian,167,"('rtable_name', 'rtable_class')","['citrus', 6]","[""\\ 's '"", 167]",0.40263646841049194,0.5973635315895081,2
130,` tommy tang \ 's ',' 7313 melrose ave. ',` los angeles ',213/937 -5733,asian,167,citrus,' 7313 melrose ave. ',` los angeles ',213-857-0034,californian,167,"('rtable_addr', 'rtable_class')","[""' 6703 melrose ave. '"", 6]","[""' 7313 melrose ave. '"", 167]",0.462710976600647,0.537289023399353,2
131,` tommy tang \ 's ',' 7313 melrose ave. ',` los angeles ',213/937 -5733,asian,167,citrus,' 6703 melrose ave. ',` los angeles ',213-857-0034,californian,167,"('rtable_city', 'rtable_class')","[""` los angeles '"", 6]","[""` los angeles '"", 167]",0.4748508334159851,0.5251491665840149,2
132,` tommy tang \ 's ',' 7313 melrose ave. ',` los angeles ',213/937 -5733,asian,167,citrus,' 6703 melrose ave. ',` los angeles ',213/937 -5733,californian,167,"('rtable_phone', 'rtable_class')","['213-857-0034', 6]","['213/937 -5733', 167]",0.43187010288238525,0.5681298971176147,2
133,` tommy tang \ 's ',' 7313 melrose ave. ',` los angeles ',213/937 -5733,asian,167,citrus,' 6703 melrose ave. ',` los angeles ',213-857-0034,asian,167,"('rtable_res_type', 'rtable_class')","['californian', 6]","['asian', 167]",0.46830272674560547,0.5316972732543945,2
790,` tommy tang \ 's ',' 7313 melrose ave. ',` los angeles ',213/937 -5733,asian,167,citrus,' 6703 melrose ave. ',` los angeles ',213-857-0034,asian,167,"('rtable_res_type', 'rtable_class')","['californian', 6]","['asian', 167]",0.48026543855667114,0.5197345614433289,2
789,` tommy tang \ 's ',' 7313 melrose ave. ',` los angeles ',213/937 -5733,asian,167,citrus,' 6703 melrose ave. ',` los angeles ',213/937,californian,167,"('rtable_phone', 'rtable_class')","['213-857-0034', 6]","['213/937', 167]",0.45413482189178467,0.5458651781082153,2
788,` tommy tang \ 's ',' 7313 melrose ave. ',` los angeles ',213/937 -5733,asian,167,citrus,' 6703 melrose ave. ',` los angeles ',213-857-0034,californian,167,"('rtable_city', 'rtable_class')","[""` los angeles '"", 6]","[""` los angeles '"", 167]",0.4743877649307251,0.5256122350692749,2
787,` tommy tang \ 's ',' 7313 melrose ave. ',` los angeles ',213/937 -5733,asian,167,citrus,' 7313 melrose ave. ',` los angeles ',213-857-0034,californian,167,"('rtable_addr', 'rtable_class')","[""' 6703 melrose ave. '"", 6]","[""' 7313 melrose ave. '"", 167]",0.46225035190582275,0.5377496480941772,2
786,` tommy tang \ 's ',' 7313 melrose ave. ',` los angeles ',213/937 -5733,asian,167,` tommy tang \ 's ',' 6703 melrose ave. ',` los angeles ',213-857-0034,californian,167,"('rtable_name', 'rtable_class')","['citrus', 6]","[""` tommy tang \\ 's '"", 167]",0.35866665840148926,0.6413333415985107,2
785,` tommy tang \ 's ',' 7313 melrose ave. ',` los angeles ',213/937 -5733,asian,167,citrus,' 6703 melrose ave. ',` los angeles ',213-857-0034,californian,167,"('rtable_class',)",[6],[167],0.4743877649307251,0.5256122350692749,2
160,` tommy tang \ 's ',' 7313 melrose ave. ',` los angeles ',213/937 -5733,asian,167,citrus,' 6703 melrose ave. ',` los angeles ',213-857-0034,californian,167,"('rtable_class',)",[6],[167],0.4748508334159851,0.5251491665840149,2
161,` tommy tang \ 's ',' 7313 melrose ave. ',` los angeles ',213/937 -5733,asian,167,` tommy tang,' 6703 melrose ave. ',` los angeles ',213-857-0034,californian,167,"('rtable_name', 'rtable_class')","['citrus', 6]","['` tommy tang', 167]",0.38456255197525024,0.6154374480247498,2
162,` tommy tang \ 's ',' 7313 melrose ave. ',` los angeles ',213/937 -5733,asian,167,citrus,' 7313 melrose ave. ',` los angeles ',213-857-0034,californian,167,"('rtable_addr', 'rtable_class')","[""' 6703 melrose ave. '"", 6]","[""' 7313 melrose ave. '"", 167]",0.462710976600647,0.537289023399353,2
163,` tommy tang \ 's ',' 7313 melrose ave. ',` los angeles ',213/937 -5733,asian,167,citrus,' 6703 melrose ave. ',` los angeles ',213-857-0034,californian,167,"('rtable_city', 'rtable_class')","[""` los angeles '"", 6]","[""` los angeles '"", 167]",0.4748508334159851,0.5251491665840149,2
164,` tommy tang \ 's ',' 7313 melrose ave. ',` los angeles ',213/937 -5733,asian,167,citrus,' 6703 melrose ave. ',` los angeles ',213/937 -5733,californian,167,"('rtable_phone', 'rtable_class')","['213-857-0034', 6]","['213/937 -5733', 167]",0.4426382780075073,0.5573617219924927,2
165,` tommy tang \ 's ',' 7313 melrose ave. ',` los angeles ',213/937 -5733,asian,167,citrus,' 6703 melrose ave. ',` los angeles ',213-857-0034,asian,167,"('rtable_res_type', 'rtable_class')","['californian', 6]","['asian', 167]",0.4796527028083801,0.5203472971916199,2
606,` tommy tang \ 's ',' 7313 melrose ave. ',` los angeles ',213/937 -5733,asian,167,citrus,' 6703 melrose ave. ',` los angeles ',213-857-0034,asian,167,"('rtable_res_type', 'rtable_class')","['californian', 6]","['asian', 167]",0.48076385259628296,0.519236147403717,2
605,` tommy tang \ 's ',' 7313 melrose ave. ',` los angeles ',213/937 -5733,asian,167,citrus,' 6703 melrose ave. ',` los angeles ',213/937 -5733,californian,167,"('rtable_phone', 'rtable_class')","['213-857-0034', 6]","['213/937 -5733', 167]",0.43187010288238525,0.5681298971176147,2
604,` tommy tang \ 's ',' 7313 melrose ave. ',` los angeles ',213/937 -5733,asian,167,citrus,' 7313 melrose ave. ',` los angeles ',213-857-0034,californian,167,"('rtable_addr', 'rtable_class')","[""' 6703 melrose ave. '"", 6]","[""' 7313 melrose ave. '"", 167]",0.462710976600647,0.537289023399353,2
603,` tommy tang \ 's ',' 7313 melrose ave. ',` los angeles ',213/937 -5733,asian,167,` tommy tang \ 's ',' 6703 melrose ave. ',` los angeles ',213-857-0034,californian,167,"('rtable_name', 'rtable_class')","['citrus', 6]","[""` tommy tang \\ 's '"", 167]",0.35891181230545044,0.6410881876945496,2
192,` tommy tang \ 's ',' 7313 melrose ave. ',` los angeles ',213/937 -5733,asian,167,citrus,' 6703 melrose ave. ',` los angeles ',213-857-0034,californian,167,"('rtable_class',)",[6],[167],0.4829469919204712,0.5170530080795288,2
292,` tommy tang \ 's ',' 7313 melrose ave. ',` los angeles ',213/937 -5733,asian,167,citrus,' 6703 melrose ave. ',` los angeles ',213/937 -5733,californian,167,"('rtable_phone', 'rtable_class')","['213-857-0034', 6]","['213/937 -5733', 167]",0.4437730312347412,0.5562269687652588,2
