,ltable_addr,ltable_city,ltable_class,ltable_name,ltable_phone,ltable_res_type,rtable_addr,rtable_city,rtable_class,rtable_name,rtable_phone,rtable_res_type,outcome
0,' 8783 beverly blvd. ',` las vegas ',37.0,` lillie langtry \ 's ',702/385 -7111,asian,' 3570 las vegas blvd. s. ',atlanta,7.0,` island spice ',212-307-7311,` pacific rim ',1
1,' 129 e. fremont st. ',` las vegas ',144.0,` lillie langtry \ 's ',212/755 -6244,` coffee shops/diners ',' 200 e. fremont st. ',` las vegas ',74.0,` brasserie le coze ',702-385-6277,` pacific rim ',1
2,' 129 e. fremont st. ',` las vegas ',37.0,` lillie langtry \ 's ',702/385 -7111,asian,' 200 e. fremont st. ',` las vegas ',7.0,` second street grill ',212-307-7311,` pacific rim ',1
3,' 3400 las vegas blvd. s ',` new york ',84.0,` lillie langtry \ 's ',702/385 -7111,asian,' 200 e. fremont st. ',` west la ',90.0,` koo koo roo ',212-765-1737,` pacific rim ',1
4,' 129 e. fremont st. ',` las vegas ',37.0,` lillie langtry \ 's ',702/385 -7111,asian,' 3570 las vegas blvd. s. ',atlanta,7.0,` second street grill ',212-307-7311,` pacific rim ',1
5,' 129 e. fremont st. ',` las vegas ',74.0,` lillie langtry \ 's ',212/682 -8660,asian,' 200 e. fremont st. ',` las vegas ',534.0,` jackson diner ',702-385-6277,steakhouses,1
6,' 129 e. fremont st. ',` las vegas ',37.0,` lillie langtry \ 's ',702/385 -7111,asian,' 3570 las vegas blvd. s. ',atlanta,7.0,` island spice ',212-307-7311,` pacific rim ',1
7,' 129 e. fremont st. ',` new york ',144.0,` lillie langtry \ 's ',212/755 -6244,` coffee shops/diners ',' 200 e. fremont st. ',` las vegas ',74.0,` brasserie le coze ',702-385-6277,` pacific rim ',1
8,' 129 e. fremont st. ',` las vegas ',74.0,` lillie langtry \ 's ',212/682 -8660,asian,' 1397 n. highland ave. ',` las vegas ',534.0,` jackson diner ',702-385-6277,steakhouses,1
9,' 129 e. fremont st. ',` las vegas ',37.0,` lillie langtry \ 's ',702/385 -7111,asian,' 200 e. fremont st. ',atlanta,7.0,` second street grill ',212-307-7311,` pacific rim ',1
