,label,ltable_name,ltable_addr,ltable_city,ltable_phone,ltable_res_type,ltable_class,rtable_name,rtable_addr,rtable_city,rtable_phone,rtable_res_type,rtable_class,alteredAttributes,droppedValues,copiedValues,classes,labels,nomatch_score,match_score,attr_count
21,,` palace court ',' 3570 las vegas blvd. s ',` las vegas ',702/731 -7547,continental,70,` palace court ',',` las vegas ',702/731 -7547,chinese,67,"('rtable_name', 'rtable_addr', 'rtable_phone')","[""` chin \\ 's '"", ""' 3200 las vegas blvd. s. '"", '702-733-8899']","[""` palace court '"", ""'"", '702/731 -7547']",1,0,0.3599976,0.64000237,3
5,,` palace court ',' 3570 las vegas blvd. s ',` las vegas ',702/731 -7547,continental,70,` palace court ',' 3570 las,` las vegas ',702/731 -7547,chinese,67,"('rtable_name', 'rtable_addr', 'rtable_phone')","[""` chin \\ 's '"", ""' 3200 las vegas blvd. s. '"", '702-733-8899']","[""` palace court '"", ""' 3570 las"", '702/731 -7547']",1,0,0.044361115,0.95563895,3
6,,` palace court ',' 3570 las vegas blvd. s ',` las vegas ',702/731 -7547,continental,70,` palace court ',' 3200 las vegas blvd. s. ',` las vegas ',702/731 -7547,chinese,67,"('rtable_name', 'rtable_city', 'rtable_phone')","[""` chin \\ 's '"", ""` las vegas '"", '702-733-8899']","[""` palace court '"", ""` las vegas '"", '702/731 -7547']",1,0,0.4903933,0.5096067,3
7,,` palace court ',' 3570 las vegas blvd. s ',` las vegas ',702/731 -7547,continental,70,` chin \ 's ',' 3570 las,` las vegas ',702/731 -7547,chinese,67,"('rtable_addr', 'rtable_city', 'rtable_phone')","[""' 3200 las vegas blvd. s. '"", ""` las vegas '"", '702-733-8899']","[""' 3570 las"", ""` las vegas '"", '702/731 -7547']",1,0,0.11851097,0.8814891,3
22,,` palace court ',' 3570 las vegas blvd. s ',` las vegas ',702/731 -7547,continental,70,` palace court ',' 3200 las vegas blvd. s. ',` las vegas ',702/731 -7547,chinese,67,"('rtable_name', 'rtable_city', 'rtable_phone')","[""` chin \\ 's '"", ""` las vegas '"", '702-733-8899']","[""` palace court '"", ""` las vegas '"", '702/731 -7547']",1,0,0.4903933,0.5096067,3
38,,` palace court ',' 3570 las vegas blvd. s ',` las vegas ',702/731 -7547,continental,70,` palace court ',' 3200 las vegas blvd. s. ',` las vegas ',702/731 -7547,chinese,67,"('rtable_name', 'rtable_city', 'rtable_phone')","[""` chin \\ 's '"", ""` las vegas '"", '702-733-8899']","[""` palace court '"", ""` las vegas '"", '702/731 -7547']",1,0,0.4903933,0.5096067,3
37,,` palace court ',' 3570 las vegas blvd. s ',` las vegas ',702/731 -7547,continental,70,` palace court ',',` las vegas ',702/731 -7547,chinese,67,"('rtable_name', 'rtable_addr', 'rtable_phone')","[""` chin \\ 's '"", ""' 3200 las vegas blvd. s. '"", '702-733-8899']","[""` palace court '"", ""'"", '702/731 -7547']",1,0,0.3599976,0.64000237,3
23,,` palace court ',' 3570 las vegas blvd. s ',` las vegas ',702/731 -7547,continental,70,` palace court ',',` las vegas ',702/731 -7547,chinese,67,"('rtable_name', 'rtable_addr', 'rtable_city', 'rtable_phone')","[""` chin \\ 's '"", ""' 3200 las vegas blvd. s. '"", ""` las vegas '"", '702-733-8899']","[""` palace court '"", ""'"", ""` las vegas '"", '702/731 -7547']",1,0,0.18713102,0.812869,4
24,,` palace court ',' 3570 las vegas blvd. s ',` las vegas ',702/731 -7547,continental,70,` palace court ',',` las vegas ',702/731 -7547,continental,67,"('rtable_name', 'rtable_addr', 'rtable_phone', 'rtable_res_type')","[""` chin \\ 's '"", ""' 3200 las vegas blvd. s. '"", '702-733-8899', 'chinese']","[""` palace court '"", ""'"", '702/731 -7547', 'continental']",1,0,0.26702857,0.73297143,4
26,,` palace court ',' 3570 las vegas blvd. s ',` las vegas ',702/731 -7547,continental,70,` palace court ',' 3200 las vegas blvd. s. ',` las vegas ',702/731 -7547,continental,67,"('rtable_name', 'rtable_city', 'rtable_phone', 'rtable_res_type')","[""` chin \\ 's '"", ""` las vegas '"", '702-733-8899', 'chinese']","[""` palace court '"", ""` las vegas '"", '702/731 -7547', 'continental']",1,0,0.05777783,0.9422222,4
