,ltable_Beer_Name,ltable_Brew_Factory_Name,ltable_Style,ltable_ABV,rtable_Beer_Name,rtable_Brew_Factory_Name,rtable_Style,rtable_ABV,outcome
0,Three Beavers Imperial Red Ale,Howe Sound Inn & Brewing Company,American Amber / Red Ale,4.60 %,Lavery Imperial Red Ale &#40; IRA &#41;,Lavery Brewing Company,American Strong Ale,9.20 %,1
1,Elevator Barrel Aged Barley Wine ( Bar Bar ),Howe Sound Inn & Brewing Company,American Amber / Red Ale,7.50 %,Lavery Imperial Red Ale &#40; IRA &#41;,Big Time Brewery,American Strong Ale,8.20 %,1
2,Three Beavers Imperial Red Ale,Twisted K-8 Brewing Company,American Amber / Red Ale,7.50 %,Lavery Imperial Red Ale &#40; IRA &#41;,Lavery Brewing Company,American Strong Ale,8.20 %,1
3,Three Beavers Imperial Red Ale,Nebraska Brewing Company,American Amber / Red Ale,6.00 %,Lavery Imperial Red Ale &#40; IRA &#41;,Lavery Brewing Company,American Strong Ale,8.20 %,1
4,Three Beavers Imperial Red Ale,Howe Sound Inn & Brewing Company,American Amber / Red Ale,7.50 %,Lavery Imperial Red Ale &#40; IRA &#41;,Council Rock Brewery,American Strong Ale,8.20 %,1
5,Three Beavers Imperial Red Ale,Howe Sound Inn & Brewing Company,American Amber / Red Ale,7.50 %,Lavery Imperial Red Ale &#40; IRA &#41;,Brannon_s Pub and Brewery,American Strong Ale,8.20 %,1
6,Three Beavers Imperial Red Ale,Howe Sound Inn & Brewing Company,American Barleywine,7.50 %,Lavery Imperial Red Ale &#40; IRA &#41;,Lavery Brewing Company,American Strong Ale,8.79 %,1
7,Three Beavers Imperial Red Ale,Due South Brewing Co. .,American Amber / Red Ale,7.50 %,Lavery Imperial Red Ale &#40; IRA &#41;,Lavery Brewing Company,American Strong Ale,8.20 %,1
8,Three Beavers Imperial Red Ale,Howe Sound Inn & Brewing Company,American Amber / Red Ale,7.50 %,Hopworks Bourbon Aged Noggin Floggin Barley Wine,Hollywood Beach Brewing Company,American Strong Ale,8.20 %,1
9,Three Beavers Imperial Red Ale,Howe Sound Inn & Brewing Company,American Amber / Red Ale,-,Lavery Imperial Red Ale &#40; IRA &#41;,Lavery Brewing Company,Specialty Grain,8.20 %,1
