,ltable_ABV,ltable_Beer_Name,ltable_Brew_Factory_Name,ltable_Style,rtable_ABV,rtable_Beer_Name,rtable_Brew_Factory_Name,rtable_Style,outcome
0,7.60 %,Honey Basil Amber,57 Brew Pub & Bistro,American Amber / Red Ale,7.60 %,Baranof Island Redoubt Red Ale,Rock Bottom Orland Park,American Strong Ale,0
1,7.60 %,Mount Washington Organic Amber Ale,57 Brew Pub & Bistro,American Amber / Red Ale,7.60 %,Bainbridge Island Arrow Point Amber,Rock Bottom Orland Park,American Strong Ale,0
2,7.60 %,Lower De Boom Barleywine,57 Brew Pub & Bistro,American Amber / Red Ale,7.60 %,Winthrop Double Dry Hopped Amber,Rock Bottom Orland Park,American Strong Ale,0
3,7.60 %,Mount Washington Organic Amber Ale,57 Brew Pub & Bistro,American Amber / Red Ale,7.60 %,Bainbridge Island Arrow Point Amber,Rock Bottom Orland Park,Irish Ale,1
4,4.60 %,Pike Old Bawdy Barley Wine,57 Brew Pub & Bistro,American Amber / Red Ale,5.10 %,Bainbridge Island Arrow Point Amber,Rock Bottom Orland Park,American Strong Ale,0
5,7.60 %,Mount Washington Organic Amber Ale,57 Brew Pub & Bistro,American Amber / Red Ale,7.60 %,Bainbridge Island Arrow Point Amber,Big Time Brewery,Irish Ale,1
6,7.60 %,Lower De Boom Barleywine,Nebraska Brewing Company,American Amber / Red Ale,7.60 %,Winthrop Double Dry Hopped Amber,Rock Bottom Orland Park,American Strong Ale,0
7,7.60 %,Arrow Point Amber,300 Suns Brewing,American Barleywine,5.10 %,Jazz Beer Tarraco Amber,Rock Bottom Orland Park,American Strong Ale,0
8,7.60 %,Real McCoy Amber Ale,Tommyknocker Brewery,American Amber / Red Ale,7.60 %,Hillcrest Big Red Balls,Rock Bottom Orland Park,Spice/Herb/Vegetable,0
9,11.00 %,Lower De Boom Barleywine,57 Brew Pub & Bistro,American Amber / Red Ale,7.60 %,Rude Hippo Honey Basil Amber,Rock Bottom Orland Park,Amber Ale,0
