,ltable_ABV,ltable_Beer_Name,ltable_Brew_Factory_Name,ltable_Style,rtable_ABV,rtable_Beer_Name,rtable_Brew_Factory_Name,rtable_Style,outcome
0,6.00 %,Blue Bridge Amber Dry Hopped,Galveston Island Brewing Company,American Amber / Red Ale,-,Bainbridge Island Arrow Point Amber,Winthrop Brewing Company,Spice/Herb/Vegetable,0
1,6.00 %,Arrow Point Amber,Galveston Island Brewing Company,American Amber / Red Ale,-,Winthrop Double Dry Hopped Amber,Big Bear Lake Brewing Company,Amber Ale,1
2,6.00 %,Bushfire American Red,Galveston Island Brewing Company,American Barleywine,-,Winthrop Double Dry Hopped Amber,Salty Nut Brewery,Amber Ale,1
3,6.00 %,Bushfire American Red,Galveston Island Brewing Company,American Amber / Red Ale,-,Winthrop Double Dry Hopped Amber,Salty Nut Brewery,Amber Ale,1
4,6.00 %,Blue Bridge Amber Dry Hopped,Galveston Island Brewing Company,American Barleywine,5.50 %,Bainbridge Island Arrow Point Amber,Winthrop Brewing Company,Amber Ale,0
5,6.00 %,Arrow Point Amber,Galveston Island Brewing Company,American Amber / Red Ale,-,Winthrop Double Dry Hopped Amber,Winthrop Brewing Company,Barley Wine,1
6,6.00 %,Bushfire American Red,Galveston Island Brewing Company,American Amber / Red Ale,-,Winthrop Double Dry Hopped Amber,Winthrop Brewing Company,Amber Ale,1
7,6.10 %,Bushfire American Red,Galveston Island Brewing Company,American Amber / Red Ale,5.20 %,Winthrop Double Dry Hopped Amber,Winthrop Brewing Company,Amber Ale,1
8,6.00 %,Bushfire American Red,Galveston Island Brewing Company,American Amber / Red Ale,5.20 %,Winthrop Double Dry Hopped Amber,Winthrop Brewing Company,Amber Ale,0
9,6.00 %,Arrow Point Amber,Galveston Island Brewing Company,American Amber / Red Ale,-,Winthrop Double Dry Hopped Amber,Winthrop Brewing Company,Amber Ale,0
