,ltable_title,ltable_category,ltable_brand,ltable_modelno,ltable_price,rtable_title,rtable_category,rtable_brand,rtable_modelno,rtable_price,outcome
0,tops second nature subject wire notebook college rule 6 x 9-1 2 we 80 sheets,hard drives,lexmark,e450h11a,248.27,da-lite 27651 da-glas deluxe rear projection screen - 96 x 96 av format,cables interconnects,oki,bv8966b,15.17,0
1,tops second nature subject wire notebook college rule 6 x 9-1 2 we 80 sheets,printers,lexmark,am-p16b,248.27,da-lite 27651 da-glas deluxe rear projection screen - 96 x 96 av format,accessories,oki,nan,nan,0
2,srs labs analog rca volume leveler,printers,lexmark,e450h11a,56.88,da-lite carpeted picture king with keystone eliminator - projection screen with tripod - 1 1 - matte white - black,cables interconnects,oki,nan,2608.99,0
3,srs labs analog rca volume leveler,printers,lexmark,e450h11a,248.27,da-lite carpeted picture king with keystone eliminator - projection screen with tripod - 1 1 - matte white - black,cables interconnects,oki,nan,2608.99,0
4,tops second nature subject wire notebook college rule 6 x 9-1 2 we 80 sheets,printers,apc,q3675a,9.84,da-lite 27651 da-glas deluxe rear projection screen - 96 x 96 av format,cables interconnects,oki,97556,9.99,0
5,da-lite da-plex deluxe rear projection screen - 96 x 96 av format,printers,lexmark,85303,248.27,tops 74111 - second nature subject wirebound notebook college rule ltr we 80 sheets,car audio video,oki,97556,nan,0
6,tops second nature subject wire notebook college rule 6 x 9-1 2 we 80 sheets,printers,lexmark,e450h11a,248.27,da-lite 27651 da-glas deluxe rear projection screen - 96 x 96 av format,accessories,oki,nan,nan,0
7,da-lite da-plex deluxe rear projection screen - 96 x 96 av format,printers,lexmark,85303,248.27,tops 74111 - second nature subject wirebound notebook college rule ltr we 80 sheets,car audio video,oki,97556,23.96,0
8,tops second nature subject wire notebook college rule 6 x 9-1 2 we 80 sheets,printers,apc,e450h11a,9.84,da-lite 27651 da-glas deluxe rear projection screen - 96 x 96 av format,cables interconnects,oki,97556,9.99,0
9,tops second nature subject wire notebook college rule 6 x 9-1 2 we 80 sheets,printers,apc,e450h11a,9.84,da-lite 27651 da-glas deluxe rear projection screen - 96 x 96 av format,cables interconnects,oki,nan,9.99,0
