,ltable_Beer_Name,ltable_Brew_Factory_Name,ltable_Style,ltable_ABV,rtable_Beer_Name,rtable_Brew_Factory_Name,rtable_Style,rtable_ABV,outcome
0,Lavery Imperial Red Ale,Oskar Blues Grill & Brew,American Amber / Red Ale,8.70 %,Figure Eight Bourbon Barrel Aged Jumbo Love,Third Base Sports Bar & Brewery,Barley Wine,-,0
1,Red Shedman 's Imperial Amber Ale,Oskar Blues Grill & Brew,American Amber / Red Ale,5.70 %,Figure Eight Bourbon Barrel Aged Jumbo Love,Figure Eight Brewing,Barley Wine,-,0
2,Twisted Stick Amber Ale,Oskar Blues Grill & Brew,American Amber / Red Ale,8.70 %,Figure Eight Bourbon Barrel Aged Jumbo Love,Figure Eight Brewing,Barley Wine,11.25 %,0
3,Twisted Stick Amber Ale,Oskar Blues Grill & Brew,American Amber / Red Ale,8.70 %,Figure Eight Bourbon Barrel Aged Jumbo Love,Figure Eight Brewing,India Pale Ale &#40; IPA &#41;,-,0
4,Aqula American Amber Ale,Rock Bottom Restaurant & Brewery,American Amber / Red Ale,8.70 %,Figure Eight Bourbon Barrel Aged Jumbo Love,Figure Eight Brewing,Barley Wine,-,0
5,Main Street Amber Ale,Oskar Blues Grill & Brew,American Amber / Red Ale,8.70 %,Figure Eight Bourbon Barrel Aged Jumbo Love,Council Rock Brewery,Barley Wine,-,0
6,Twisted Stick Amber Ale,Oskar Blues Grill & Brew,American Amber / Red Ale,9.20 %,Figure Eight Bourbon Barrel Aged Jumbo Love,Figure Eight Brewing,Barley Wine,-,0
7,Brass Ale Honey Amber,Oskar Blues Grill & Brew,American Amber / Red Ale,8.70 %,Figure Eight Bourbon Barrel Aged Jumbo Love,Figure Eight Brewing,Barley Wine,-,0
8,Alexander Keith 's Red Amber Ale,Tarraco Beer,American Amber / Red Ale,8.70 %,Figure Eight Bourbon Barrel Aged Jumbo Love,Figure Eight Brewing,Barley Wine,-,0
9,Amber Waves Ale,Oskar Blues Grill & Brew,American Amber / Red Ale,8.70 %,Figure Eight Bourbon Barrel Aged Jumbo Love,Figure Eight Brewing,Premium Bitter/ESB,-,0
