,ltable_title,ltable_authors,ltable_venue,ltable_year,rtable_title,rtable_authors,rtable_venue,rtable_year,outcome
0,"clustering validity checking methods : part ii michalis vazirgiannis , maria halkidi , yannis batistakis sigmod record",nan,vldb j.,2003.0,"the piazza peer data management project igor tatarinov , zachary ives , jayant madhavan , alon halevy , dan suciu , nilesh dalvi , xin ( luna ) dong , yana kadiyska , gerome miklau , peter mork",nan,acm sigmod record,2003.0,0
1,"clustering validity checking methods : part ii michalis vazirgiannis , maria halkidi , yannis batistakis sigmod record",nan,sigmod record,2003.0,"the piazza peer data management project igor tatarinov , zachary ives , jayant madhavan , alon halevy , dan suciu , nilesh dalvi , xin ( luna ) dong , yana kadiyska , gerome miklau , peter mork",nan,acm sigmod record,2003.0,0
2,"clustering validity checking methods : part ii michalis vazirgiannis , maria halkidi , yannis batistakis sigmod record",nan,sigmod record,2003.0,"the piazza peer data management project igor tatarinov , zachary ives , jayant madhavan , alon halevy , dan suciu , nilesh dalvi , xin ( luna ) dong , yana kadiyska , gerome miklau , peter mork",nan,acm sigmod record,1997.0,0
3,"clustering validity checking methods : part ii michalis vazirgiannis , maria halkidi , yannis batistakis sigmod record",nan,sigmod record,2003.0,"the piazza peer data management project igor tatarinov , zachary ives , jayant madhavan , alon halevy , dan suciu , nilesh dalvi , xin ( luna ) dong , yana kadiyska , gerome miklau , peter mork",nan,nan,2003.0,0
4,"clustering validity checking methods : part ii michalis vazirgiannis , maria halkidi , yannis batistakis sigmod record",nan,sigmod record,2003.0,"the piazza peer data management project igor tatarinov , zachary ives , jayant madhavan , alon halevy , dan suciu , nilesh dalvi , xin ( luna ) dong , yana kadiyska , gerome miklau , peter mork",nan,international conference on management of data,2003.0,1
5,"clustering validity checking methods : part ii michalis vazirgiannis , maria halkidi , yannis batistakis sigmod record",nan,sigmod conference,2003.0,"the piazza peer data management project igor tatarinov , zachary ives , jayant madhavan , alon halevy , dan suciu , nilesh dalvi , xin ( luna ) dong , yana kadiyska , gerome miklau , peter mork",nan,acm sigmod record,1997.0,0
6,"clustering validity checking methods : part ii michalis vazirgiannis , maria halkidi , yannis batistakis sigmod record",nan,sigmod record,1997.0,"the piazza peer data management project igor tatarinov , zachary ives , jayant madhavan , alon halevy , dan suciu , nilesh dalvi , xin ( luna ) dong , yana kadiyska , gerome miklau , peter mork",charu c. aggarwal,acm sigmod record,1997.0,1
7,"clustering validity checking methods : part ii michalis vazirgiannis , maria halkidi , yannis batistakis sigmod record",nan,sigmod record,2003.0,"the piazza peer data management project igor tatarinov , zachary ives , jayant madhavan , alon halevy , dan suciu , nilesh dalvi , xin ( luna ) dong , yana kadiyska , gerome miklau , peter mork",charu c. aggarwal,acm sigmod record,1997.0,1
8,"clustering validity checking methods : part ii michalis vazirgiannis , maria halkidi , yannis batistakis sigmod record",nan,vldb j.,2002.0,"the piazza peer data management project igor tatarinov , zachary ives , jayant madhavan , alon halevy , dan suciu , nilesh dalvi , xin ( luna ) dong , yana kadiyska , gerome miklau , peter mork",nan,acm sigmod record,2003.0,0
9,coss : the common object services specifications sigmod conference 1994,nan,sigmod record,2003.0,"the piazza peer data management project igor tatarinov , zachary ives , jayant madhavan , alon halevy , dan suciu , nilesh dalvi , xin ( luna ) dong , yana kadiyska , gerome miklau , peter mork",nan,acm sigmod record,2003.0,1
