,label,ltable_name,ltable_addr,ltable_city,ltable_phone,ltable_res_type,ltable_class,rtable_name,rtable_addr,rtable_city,rtable_phone,rtable_res_type,rtable_class,alteredAttributes,droppedValues,copiedValues,classes,labels,nomatch_score,match_score,attr_count
34,,` beesley \ 's of buckhead ',' 260 e. paces ferry road ',atlanta,404/264 -1334,continental,384,` beesley \ 's of buckhead ',' 490 e. paces ferry rd. ne ',atlanta,404/264 -1334,continental,82,"('rtable_name', 'rtable_phone')","[""` hedgerose heights inn the '"", '404-233-7673']","[""` beesley \\ 's of buckhead '"", '404/264 -1334']",1,0,0.17435953,0.8256405,2
14,,` beesley \ 's of buckhead ',' 260 e. paces ferry road ',atlanta,404/264 -1334,continental,384,` hedgerose heights inn the ',' 260 e. paces ferry road ',atlanta,404/264 -1334,continental,82,"('rtable_addr', 'rtable_phone')","[""' 490 e. paces ferry rd. ne '"", '404-233-7673']","[""' 260 e. paces ferry road '"", '404/264 -1334']",1,0,0.099256955,0.900743,2
13,,` beesley \ 's of buckhead ',' 260 e. paces ferry road ',atlanta,404/264 -1334,continental,384,` beesley \ 's of,' 490 e. paces ferry rd. ne ',atlanta,404/264 -1334,continental,82,"('rtable_name', 'rtable_phone')","[""` hedgerose heights inn the '"", '404-233-7673']","[""` beesley \\ 's of"", '404/264 -1334']",1,0,0.37101525,0.62898475,2
36,,` beesley \ 's of buckhead ',' 260 e. paces ferry road ',atlanta,404/264 -1334,continental,384,` beesley \ 's of buckhead ',' 490 e. paces ferry rd. ne ',atlanta,404/264 -1334,continental,384,"('rtable_name', 'rtable_phone', 'rtable_class')","[""` hedgerose heights inn the '"", '404-233-7673', 82]","[""` beesley \\ 's of buckhead '"", '404/264 -1334', 384]",1,0,0.24132049,0.75867945,3
35,,` beesley \ 's of buckhead ',' 260 e. paces ferry road ',atlanta,404/264 -1334,continental,384,` beesley \ 's of buckhead ',ferry road ',atlanta,404/264 -1334,continental,82,"('rtable_name', 'rtable_addr', 'rtable_phone')","[""` hedgerose heights inn the '"", ""' 490 e. paces ferry rd. ne '"", '404-233-7673']","[""` beesley \\ 's of buckhead '"", ""ferry road '"", '404/264 -1334']",1,0,0.31269056,0.68730944,3
16,,` beesley \ 's of buckhead ',' 260 e. paces ferry road ',atlanta,404/264 -1334,continental,384,` beesley \ 's of,' 490 e. paces ferry rd. ne ',atlanta,404/264 -1334,continental,384,"('rtable_name', 'rtable_phone', 'rtable_class')","[""` hedgerose heights inn the '"", '404-233-7673', 82]","[""` beesley \\ 's of"", '404/264 -1334', 384]",1,0,0.282403,0.71759695,3
15,,` beesley \ 's of buckhead ',' 260 e. paces ferry road ',atlanta,404/264 -1334,continental,384,` beesley \ 's of,' 260 e. paces ferry road ',atlanta,404/264 -1334,continental,82,"('rtable_name', 'rtable_addr', 'rtable_phone')","[""` hedgerose heights inn the '"", ""' 490 e. paces ferry rd. ne '"", '404-233-7673']","[""` beesley \\ 's of"", ""' 260 e. paces ferry road '"", '404/264 -1334']",1,0,0.10090471,0.89909536,3
0,,` beesley \ 's of buckhead ',' 260 e. paces ferry road ',atlanta,404/264 -1334,continental,384,` hedgerose heights inn the ',' 260 e. paces ferry road ',atlanta,404/264,continental,384,"('rtable_addr', 'rtable_phone', 'rtable_class')","[""' 490 e. paces ferry rd. ne '"", '404-233-7673', 82]","[""' 260 e. paces ferry road '"", '404/264', 384]",1,0,0.48478636,0.51521367,3
17,,` beesley \ 's of buckhead ',' 260 e. paces ferry road ',atlanta,404/264 -1334,continental,384,` hedgerose heights inn the ',' 260 e. paces ferry road ',atlanta,404/264 -1334,continental,384,"('rtable_addr', 'rtable_phone', 'rtable_class')","[""' 490 e. paces ferry rd. ne '"", '404-233-7673', 82]","[""' 260 e. paces ferry road '"", '404/264 -1334', 384]",1,0,0.23922935,0.7607707,3
1,,` beesley \ 's of buckhead ',' 260 e. paces ferry road ',atlanta,404/264 -1334,continental,384,` beesley \ 's of buckhead ',' 260 e. paces ferry road ',atlanta,404/264,continental,82,"('rtable_name', 'rtable_addr', 'rtable_city', 'rtable_phone')","[""` hedgerose heights inn the '"", ""' 490 e. paces ferry rd. ne '"", 'atlanta', '404-233-7673']","[""` beesley \\ 's of buckhead '"", ""' 260 e. paces ferry road '"", 'atlanta', '404/264']",1,0,0.019841328,0.9801587,4
37,,` beesley \ 's of buckhead ',' 260 e. paces ferry road ',atlanta,404/264 -1334,continental,384,` beesley \ 's of buckhead ',ferry road ',atlanta,404/264 -1334,continental,82,"('rtable_name', 'rtable_addr', 'rtable_city', 'rtable_phone')","[""` hedgerose heights inn the '"", ""' 490 e. paces ferry rd. ne '"", 'atlanta', '404-233-7673']","[""` beesley \\ 's of buckhead '"", ""ferry road '"", 'atlanta', '404/264 -1334']",1,0,0.013895615,0.9861044,4
38,,` beesley \ 's of buckhead ',' 260 e. paces ferry road ',atlanta,404/264 -1334,continental,384,` beesley \ 's of buckhead ',ferry road ',atlanta,404/264 -1334,continental,82,"('rtable_name', 'rtable_addr', 'rtable_phone', 'rtable_res_type')","[""` hedgerose heights inn the '"", ""' 490 e. paces ferry rd. ne '"", '404-233-7673', 'continental']","[""` beesley \\ 's of buckhead '"", ""ferry road '"", '404/264 -1334', 'continental']",1,0,0.03580309,0.964197,4
39,,` beesley \ 's of buckhead ',' 260 e. paces ferry road ',atlanta,404/264 -1334,continental,384,` beesley \ 's of buckhead ',ferry road ',atlanta,404/264 -1334,continental,384,"('rtable_name', 'rtable_addr', 'rtable_phone', 'rtable_class')","[""` hedgerose heights inn the '"", ""' 490 e. paces ferry rd. ne '"", '404-233-7673', 82]","[""` beesley \\ 's of buckhead '"", ""ferry road '"", '404/264 -1334', 384]",1,0,0.010635604,0.9893644,4
40,,` beesley \ 's of buckhead ',' 260 e. paces ferry road ',atlanta,404/264 -1334,continental,384,` beesley \ 's of buckhead ',' 490 e. paces ferry rd. ne ',atlanta,404/264 -1334,continental,82,"('rtable_name', 'rtable_city', 'rtable_phone', 'rtable_res_type')","[""` hedgerose heights inn the '"", 'atlanta', '404-233-7673', 'continental']","[""` beesley \\ 's of buckhead '"", 'atlanta', '404/264 -1334', 'continental']",1,0,0.4887844,0.5112156,4
41,,` beesley \ 's of buckhead ',' 260 e. paces ferry road ',atlanta,404/264 -1334,continental,384,` beesley \ 's of buckhead ',' 490 e. paces ferry rd. ne ',atlanta,404/264 -1334,continental,384,"('rtable_name', 'rtable_city', 'rtable_phone', 'rtable_class')","[""` hedgerose heights inn the '"", 'atlanta', '404-233-7673', 82]","[""` beesley \\ 's of buckhead '"", 'atlanta', '404/264 -1334', 384]",1,0,0.07444044,0.9255595,4
42,,` beesley \ 's of buckhead ',' 260 e. paces ferry road ',atlanta,404/264 -1334,continental,384,` beesley \ 's of buckhead ',' 490 e. paces ferry rd. ne ',atlanta,404/264 -1334,continental,384,"('rtable_name', 'rtable_phone', 'rtable_res_type', 'rtable_class')","[""` hedgerose heights inn the '"", '404-233-7673', 'continental', 82]","[""` beesley \\ 's of buckhead '"", '404/264 -1334', 'continental', 384]",1,0,0.1556238,0.8443762,4
